ICAO,Airport Name,City,State,Country,Airport Link
SAVR,Alto Rio Senguer/D.Casimiro Szlapelis,Alto Rio Sunguer,U ,ARGENTINA,https://acukwik.com/Airport-Info/SAVR
SAZA,Azul,Azul,B ,ARGENTINA,https://acukwik.com/Airport-Info/SAZA
SAZB,Bahia Blanca/Comandante Espora,Bahia Blanca,B ,ARGENTINA,https://acukwik.com/Airport-Info/SAZB
SAZS,San Carlos de Bariloche,Bariloche,R ,ARGENTINA,https://acukwik.com/Airport-Info/SAZS
SAZI,Bolivar,Bolivar,B ,ARGENTINA,https://acukwik.com/Airport-Info/SAZI
SABE,Buenos Aires/Aeroparque Jorge Newbery,Buenos Aires,C ,ARGENTINA,https://acukwik.com/Airport-Info/SABE
SADP,Buenos Aires/El Palomar,Buenos Aires,B ,ARGENTINA,https://acukwik.com/Airport-Info/SADP
SAEZ,Buenos Aires/Ezeiza - Ministro Pistarini Intl,Buenos Aires,B ,ARGENTINA,https://acukwik.com/Airport-Info/SAEZ
SADM,Buenos Aires/Moron,Buenos Aires,B ,ARGENTINA,https://acukwik.com/Airport-Info/SADM
,Carmen de Patagones,Carmen de Patagones,B ,ARGENTINA,https://acukwik.com/Airport-Info/ACMQQPS
SANC,Catamarca/Col Felipe Varela (S Fernando del Valle),Catamarca,K ,ARGENTINA,https://acukwik.com/Airport-Info/SANC
,Caviahue,Caviahue,Q ,ARGENTINA,https://acukwik.com/Airport-Info/ACKNTKR
SACT,Gobernador Gordillo/Chamical,Chamical,F ,ARGENTINA,https://acukwik.com/Airport-Info/SACT
SANO,Chilecito,Chilecito,F ,ARGENTINA,https://acukwik.com/Airport-Info/SANO
SAHC,Chos Malal,Chos Malal,Q ,ARGENTINA,https://acukwik.com/Airport-Info/SAHC
SAVC,Comodoro Rivadavia/Gen E Mosconi Intl,Comodoro Rivadavia,U ,ARGENTINA,https://acukwik.com/Airport-Info/SAVC
SAAC,Concordia/Comodoro Juan Jose Pierrestegui,Concordia,E ,ARGENTINA,https://acukwik.com/Airport-Info/SAAC
SACA,Cordoba/Cap D Omar Dario Gerardi,Cordoba,C ,ARGENTINA,https://acukwik.com/Airport-Info/SACA
SACE,Cordoba/Escuela De Aviacion Militar,Cordoba,C ,ARGENTINA,https://acukwik.com/Airport-Info/SACE
SACO,Cordoba/Ingeniero Ambrosio Taravella,Cordoba,X ,ARGENTINA,https://acukwik.com/Airport-Info/SACO
SAZC,Brig D H E Ruiz/Coronel Suarez,Coronel Suarez,B ,ARGENTINA,https://acukwik.com/Airport-Info/SAZC
SARC,Corrientes,Corrientes,W ,ARGENTINA,https://acukwik.com/Airport-Info/SARC
SATU,Curuzu Cuatia,Curuzu Cuatia,W ,ARGENTINA,https://acukwik.com/Airport-Info/SATU
SAZW,Cutral Co,Cutral-Co,Q ,ARGENTINA,https://acukwik.com/Airport-Info/SAZW
SAVB,El Bolson,El Bolson,Q ,ARGENTINA,https://acukwik.com/Airport-Info/SAVB
SAWC,El Calafate International,El Calafate,Z ,ARGENTINA,https://acukwik.com/Airport-Info/SAWC
SAVD,El Maiten,El Maiten,U ,ARGENTINA,https://acukwik.com/Airport-Info/SAVD
SAVE,Esquel/Brigadier General Antonio Parodi,Esquel,U ,ARGENTINA,https://acukwik.com/Airport-Info/SAVE
SARF,Formosa International El Pucu,Formosa,P ,ARGENTINA,https://acukwik.com/Airport-Info/SARF
SAZG,General Pico La Pampa,General Pico,L ,ARGENTINA,https://acukwik.com/Airport-Info/SAZG
SAHR,Dr Arturo U Illia/General Roca,General Roca,R ,ARGENTINA,https://acukwik.com/Airport-Info/SAHR
SAWR,Gobernador Gregores,Gob. Gregores,Z ,ARGENTINA,https://acukwik.com/Airport-Info/SAWR
SATG,Goya,Goya,W ,ARGENTINA,https://acukwik.com/Airport-Info/SATG
SAAG,Gualeguaychu,Gualeguaychu,E ,ARGENTINA,https://acukwik.com/Airport-Info/SAAG
SARI,Cataratas Del Iguazu/Mayor D C E Krause,Iguazu,N ,ARGENTINA,https://acukwik.com/Airport-Info/SARI
