ICAO,Airport Name,City,State,Country,Airport Link
FNBG,17 de Setembro/Benguela,Benguela,BGU ,ANGOLA,https://acukwik.com/Airport-Info/FNBG
FNCT,Catumbela/Benguela/Paulo Teixeira,Benguela,BGU ,ANGOLA,https://acukwik.com/Airport-Info/FNCT
FNCA,Cabinda International,Cabinda,CAB ,ANGOLA,https://acukwik.com/Airport-Info/FNCA
FNCP,Capanda (Kapanda),Capanda,MAL ,ANGOLA,https://acukwik.com/Airport-Info/FNCP
FNCZ,Cazombo,Cazombo,MOX ,ANGOLA,https://acukwik.com/Airport-Info/FNCZ
FNDU,Camaquenzo/Dundo,Chitato,LNO ,ANGOLA,https://acukwik.com/Airport-Info/FNDU
FNCV,Cuito Cuanavale,Cuito Cuanavale,CCU ,ANGOLA,https://acukwik.com/Airport-Info/FNCV
FNCH,Chitato,Dundo,LNO ,ANGOLA,https://acukwik.com/Airport-Info/FNCH
FNHU,Albano Machado/Huambo,Huambo,HUA ,ANGOLA,https://acukwik.com/Airport-Info/FNHU
,Jamba,Jamba,HUI ,ANGOLA,https://acukwik.com/Airport-Info/ACMQQOQ
FNKU,Kuito/Joaquim Kapango,Kuito,BIE ,ANGOLA,https://acukwik.com/Airport-Info/FNKU
FNLB,Lobito,Lobito,BGU ,ANGOLA,https://acukwik.com/Airport-Info/FNLB
FNLU,4 de Fevereiro/Luanda,Luanda,LUA ,ANGOLA,https://acukwik.com/Airport-Info/FNLU
FNBJ,Dr Antonio Agostinho Neto Intl,Luanda,BGO ,ANGOLA,https://acukwik.com/Airport-Info/FNBJ
FNUA,Luau International,Luau,MOX ,ANGOLA,https://acukwik.com/Airport-Info/FNUA
FNUB,Lubango/Mukanka,Lubango,HUI ,ANGOLA,https://acukwik.com/Airport-Info/FNUB
FNUE,Luena/Moxico,Luena,MOX ,ANGOLA,https://acukwik.com/Airport-Info/FNUE
FNLZ,Cuango-Luzamba,Luzamba,LNO ,ANGOLA,https://acukwik.com/Airport-Info/FNLZ
FNBC,M'Banza Congo,M'Banza Congo,ZAI ,ANGOLA,https://acukwik.com/Airport-Info/FNBC
FNMA,Malanje,Malanje,MAL ,ANGOLA,https://acukwik.com/Airport-Info/FNMA
FNME,Comandante Cuenha/Menogue,Menongue,CCU ,ANGOLA,https://acukwik.com/Airport-Info/FNME
FNMO,Welwitschia Mirabilis/Moçâmedes/Namibe,Moçâmedes,NAM ,ANGOLA,https://acukwik.com/Airport-Info/FNMO
,N'dalatando,N'dalatando,CNO ,ANGOLA,https://acukwik.com/Airport-Info/ACMQQOR
FNNG,Negage,Negage,UIG ,ANGOLA,https://acukwik.com/Airport-Info/FNNG
FNZG,Nzagi/Andrada,Nzagi,LNO ,ANGOLA,https://acukwik.com/Airport-Info/FNZG
FNGI,Ondjiva-Pereira/11 de Novembro,Ondjiva,CNN ,ANGOLA,https://acukwik.com/Airport-Info/FNGI
FNSA,Saurimo/Deolinda Rodrigues,Saurimo,LSU ,ANGOLA,https://acukwik.com/Airport-Info/FNSA
FNSO,Soyo,Soyo,ZAI ,ANGOLA,https://acukwik.com/Airport-Info/FNSO
FNUG,Uíge/Carmona,Uige,UIG ,ANGOLA,https://acukwik.com/Airport-Info/FNUG
FNXA,Xangongo,Xangongo,CNN ,ANGOLA,https://acukwik.com/Airport-Info/FNXA
