ICAO,Airport Name,City,State,Country,Airport Link
EBAM,Amougies,Amougies, ,BELGIUM,https://acukwik.com/Airport-Info/EBAM
EBAW,Antwerp/Deurne,Antwerp, ,BELGIUM,https://acukwik.com/Airport-Info/EBAW
EBAR,Arlon/Sterpenich,Arlon, ,BELGIUM,https://acukwik.com/Airport-Info/EBAR
EBML,Assesse/Maillen,Assesse, ,BELGIUM,https://acukwik.com/Airport-Info/EBML
EBIS,Ath/Isieres,Ath, ,BELGIUM,https://acukwik.com/Airport-Info/EBIS
EBBX,Bertrix Jehonville AB,B Jehonville, ,BELGIUM,https://acukwik.com/Airport-Info/EBBX
EBKH,Balen/Keiheuvel,Balen, ,BELGIUM,https://acukwik.com/Airport-Info/EBKH
EBBE,Beauvechain AB,Beauvechain, ,BELGIUM,https://acukwik.com/Airport-Info/EBBE
EBBT,Brasschaat,Brasschaat, ,BELGIUM,https://acukwik.com/Airport-Info/EBBT
EBBR,Brussels National,Brussels, ,BELGIUM,https://acukwik.com/Airport-Info/EBBR
EBBN,Bullingen,Bullingen, ,BELGIUM,https://acukwik.com/Airport-Info/EBBN
EBCV,SHAPE at Chievres AB,Casteau, ,BELGIUM,https://acukwik.com/Airport-Info/EBCV
EBCF,Cerfontaine,Cerfontaine, ,BELGIUM,https://acukwik.com/Airport-Info/EBCF
EBCI,Brussels South/Charleroi,Charleroi, ,BELGIUM,https://acukwik.com/Airport-Info/EBCI
EBMG,Doische/Matagne-la-Petite,Doische, ,BELGIUM,https://acukwik.com/Airport-Info/EBMG
EBFS,Florennes AB,Florennes, ,BELGIUM,https://acukwik.com/Airport-Info/EBFS
EBBY,Genappe/Baisy-Thy,Genappe, ,BELGIUM,https://acukwik.com/Airport-Info/EBBY
EBZW,Genk/Zwartberg,Genk, ,BELGIUM,https://acukwik.com/Airport-Info/EBZW
EBGG,Geraardbergen/Overboelare,Geraardbergen, ,BELGIUM,https://acukwik.com/Airport-Info/EBGG
EBTN,Goetsenhoven,Goetsenhoven, ,BELGIUM,https://acukwik.com/Airport-Info/EBTN
EBGB,Grimbergen/Lint,Grimbergen, ,BELGIUM,https://acukwik.com/Airport-Info/EBGB
EBSW,Sint-Pieters-Leeuw,Halle, ,BELGIUM,https://acukwik.com/Airport-Info/EBSW
EBAV,Hannut/Avernas-le-Bauduin,Hannut, ,BELGIUM,https://acukwik.com/Airport-Info/EBAV
EBZH,Hasselt/Kiewit,Hasselt, ,BELGIUM,https://acukwik.com/Airport-Info/EBZH
EBHN,Hoevenen,Hoevenen, ,BELGIUM,https://acukwik.com/Airport-Info/EBHN
EBBL,Kleine Brogel AB,Kleine Brogel, ,BELGIUM,https://acukwik.com/Airport-Info/EBBL
EBFN,Koksijde AB,Koksijde, ,BELGIUM,https://acukwik.com/Airport-Info/EBFN
EBKT,Kortrijk-Wevelgem International (Flanders),Kortrijk, ,BELGIUM,https://acukwik.com/Airport-Info/EBKT
EBLE,Leopoldsburg/Beverlo (Sanicole),Leopoldsburg, ,BELGIUM,https://acukwik.com/Airport-Info/EBLE
EBLG,Liege,Liege, ,BELGIUM,https://acukwik.com/Airport-Info/EBLG
EBMO,Moorsele,Moorsele, ,BELGIUM,https://acukwik.com/Airport-Info/EBMO
EBNM,Suarlee/Namur,Namur, ,BELGIUM,https://acukwik.com/Airport-Info/EBNM
EBNE,Neerpelt,Neerpelt, ,BELGIUM,https://acukwik.com/Airport-Info/EBNE
EBOS,Ostend-Bruges International,Oostende, ,BELGIUM,https://acukwik.com/Airport-Info/EBOS
EBBZ,Pont-a-Celles/Buzet,Pont-a-Celles, ,BELGIUM,https://acukwik.com/Airport-Info/EBBZ
EBSB,Ramillies,Ramillies, ,BELGIUM,https://acukwik.com/Airport-Info/EBSB
EBSG,Saint-Ghislain,Saint-Ghislain, ,BELGIUM,https://acukwik.com/Airport-Info/EBSG
EBSH,Saint-Huber,Saint-Huber, ,BELGIUM,https://acukwik.com/Airport-Info/EBSH
EBST,Sint-Truiden/Brustem (Limberg),Sint Truiden, ,BELGIUM,https://acukwik.com/Airport-Info/EBST
EBSP,Spa-La Sauveniere,Spa, ,BELGIUM,https://acukwik.com/Airport-Info/EBSP
EBTY,Tournai/Maubray,Tournai, ,BELGIUM,https://acukwik.com/Airport-Info/EBTY
EBUL,Ursel AB,Ursel, ,BELGIUM,https://acukwik.com/Airport-Info/EBUL
EBSM,Verrebroek,Verrebroek, ,BELGIUM,https://acukwik.com/Airport-Info/EBSM
EBTX,Verviers/Theux,Verviers, ,BELGIUM,https://acukwik.com/Airport-Info/EBTX
EBOR,Vresse-sur-Semois/Orchimont,Vresse-sur-Semois, ,BELGIUM,https://acukwik.com/Airport-Info/EBOR
EBWE,Weelde AB,Weelde, ,BELGIUM,https://acukwik.com/Airport-Info/EBWE
EBZR,Zoersel AB (Oostmalle),Zoersel, ,BELGIUM,https://acukwik.com/Airport-Info/EBZR
EBZU,Zuienkerke,Zuienkerke, ,BELGIUM,https://acukwik.com/Airport-Info/EBZU
EBSL,Zutendaal,Zutendaal, ,BELGIUM,https://acukwik.com/Airport-Info/EBSL
