ICAO,Airport Name,City,State,Country,Airport Link
FBPM,Francistown/P G Matante Intl,Francistown, ,BOTSWANA,https://acukwik.com/Airport-Info/FBPM
FBSK,Sir Seretse Khama International,Gaborone, ,BOTSWANA,https://acukwik.com/Airport-Info/FBSK
FBGZ,Ghanzi,Ghanzi, ,BOTSWANA,https://acukwik.com/Airport-Info/FBGZ
FBJW,Jwaneng,Jwaneng, ,BOTSWANA,https://acukwik.com/Airport-Info/FBJW
FBKE,Kasane,Kasane, ,BOTSWANA,https://acukwik.com/Airport-Info/FBKE
FBLV,Limpopo Valley,Limpopo Valley, ,BOTSWANA,https://acukwik.com/Airport-Info/FBLV
FBMN,Maun,Maun, ,BOTSWANA,https://acukwik.com/Airport-Info/FBMN
FBTP,Thebephatshwa - Molepolole (MIL),Molepolole, ,BOTSWANA,https://acukwik.com/Airport-Info/FBTP
FBOR,Orapa,Orapa, ,BOTSWANA,https://acukwik.com/Airport-Info/FBOR
FBSP,Selibe Phikwe,Selebi Phikwe, ,BOTSWANA,https://acukwik.com/Airport-Info/FBSP
FBSW,Shakawe,Shakawe, ,BOTSWANA,https://acukwik.com/Airport-Info/FBSW
FBSN,Sua Pan,Sowa Town, ,BOTSWANA,https://acukwik.com/Airport-Info/FBSN
