ICAO,Airport Name,City,State,Country,Airport Link
ZWAK,Aksu,Aksu,65 ,CHINA,https://acukwik.com/Airport-Info/ZWAK
ZSAQ,Anqing Tianzhushan,Anqing,34 ,CHINA,https://acukwik.com/Airport-Info/ZSAQ
ZYAS,Anshan Teng'ao,Anshan,21 ,CHINA,https://acukwik.com/Airport-Info/ZYAS
ZWAT,Awtay,Awtay,65 ,CHINA,https://acukwik.com/Airport-Info/ZWAT
ZYBA,Baicheng Chang'an,Baicheng,22 ,CHINA,https://acukwik.com/Airport-Info/ZYBA
ZGBS,Baise Bama,Baise,45 ,CHINA,https://acukwik.com/Airport-Info/ZGBS
ZYBS,Baishan Changbaishang,Baishan,22 ,CHINA,https://acukwik.com/Airport-Info/ZYBS
ZPBS,Baoshan,Baoshan,53 ,CHINA,https://acukwik.com/Airport-Info/ZPBS
ZBOW,Baotou/Erliban,Baotou,15 ,CHINA,https://acukwik.com/Airport-Info/ZBOW
ZBYZ,Bayan Nur Tianjitai,Bayannur,15 ,CHINA,https://acukwik.com/Airport-Info/ZBYZ
ZUBZ,Bazhong Enyang,Bazhong,51 ,CHINA,https://acukwik.com/Airport-Info/ZUBZ
ZGBH,Beihai - Fucheng,Beihai,45 ,CHINA,https://acukwik.com/Airport-Info/ZGBH
ZBBB,Beijing City / Xijiao,Beijing,11 ,CHINA,https://acukwik.com/Airport-Info/ZBBB
ZBAD,Beijing Daxing International,Beijing,11 ,CHINA,https://acukwik.com/Airport-Info/ZBAD
ZBNY,Beijing Nanyuan,Beijing,11 ,CHINA,https://acukwik.com/Airport-Info/ZBNY
ZBAA,Beijing/Capital International,Beijing,11 ,CHINA,https://acukwik.com/Airport-Info/ZBAA
ZWBL,Bole Alashankou / Alataw Pass,Bole,65 ,CHINA,https://acukwik.com/Airport-Info/ZWBL
ZWKN,Burqin Kanas,Burqin County,65 ,CHINA,https://acukwik.com/Airport-Info/ZWKN
ZYCC,Changchun/Longjiabao Intl,Changchun,22 ,CHINA,https://acukwik.com/Airport-Info/ZYCC
ZGCD,Changde - Taochuayuan,Changde,43 ,CHINA,https://acukwik.com/Airport-Info/ZGCD
ZGHA,Changsha/Huanghua International,Changsha,43 ,CHINA,https://acukwik.com/Airport-Info/ZGHA
ZBCZ,Changzhi Wangcun,Changzhi,14 ,CHINA,https://acukwik.com/Airport-Info/ZBCZ
