ICAO,Airport Name,City,State,Country,Airport Link
MRLR,Abangares/La Roca,Abangares,G ,COSTA RICA,https://acukwik.com/Airport-Info/MRLR
MRMA,Abangares/Monte Alto,Abangares, ,COSTA RICA,https://acukwik.com/Airport-Info/MRMA
MRDK,Osa/Drake (Drake Bay),Agujitas de Drake,P ,COSTA RICA,https://acukwik.com/Airport-Info/MRDK
MRCI,Bagaces/Ciruelas,Bagaces,G ,COSTA RICA,https://acukwik.com/Airport-Info/MRCI
MRPY,Playa Ballena,Ballena,P ,COSTA RICA,https://acukwik.com/Airport-Info/MRPY
MRPD,Bribri/Pandora,Bribri,L ,COSTA RICA,https://acukwik.com/Airport-Info/MRPD
MRHP,Canas/Hacienda La Pacifica,Canas,G ,COSTA RICA,https://acukwik.com/Airport-Info/MRHP
MRLP,Canas/Las Piedras,Canas,G ,COSTA RICA,https://acukwik.com/Airport-Info/MRLP
MRMJ,Canas/Mojica,Canas,G ,COSTA RICA,https://acukwik.com/Airport-Info/MRMJ
MRTG,Canas/Taboga,Canas,G ,COSTA RICA,https://acukwik.com/Airport-Info/MRTG
MREP,Carrillos/El Porvenir,Carrillos,G ,COSTA RICA,https://acukwik.com/Airport-Info/MREP
MRAF,Cobano,Cobano,P ,COSTA RICA,https://acukwik.com/Airport-Info/MRAF
MRTS,Cobano/Santa Teresa,Cobano,P ,COSTA RICA,https://acukwik.com/Airport-Info/MRTS
MRIA,Corozalito/Islita (Punta Islita),Corozalito,G ,COSTA RICA,https://acukwik.com/Airport-Info/MRIA
MRLE,Corredor/Laurel,Corredor,P ,COSTA RICA,https://acukwik.com/Airport-Info/MRLE
MRCD,Corredores/Cangrejo  Verde,Corredores,P ,COSTA RICA,https://acukwik.com/Airport-Info/MRCD
MRCC,Corredores/Coto 47,Corredores,P ,COSTA RICA,https://acukwik.com/Airport-Info/MRCC
MRSV,Coto Brus/San Vito De Java,Coto Brus,P ,COSTA RICA,https://acukwik.com/Airport-Info/MRSV
MRPQ,Filadelfia/Pillique,Filadelfia,G ,COSTA RICA,https://acukwik.com/Airport-Info/MRPQ
MRGF,Golfito,Golfito,P ,COSTA RICA,https://acukwik.com/Airport-Info/MRGF
MRTY,Golfito/Hidro Aerodromo Tranquility,Golfito,G ,COSTA RICA,https://acukwik.com/Airport-Info/MRTY
MRPJ,Golfito/Puerto Jimenez,Golfito,P ,COSTA RICA,https://acukwik.com/Airport-Info/MRPJ
MRYT,Guacimo/Pinera Parismina,Guacimo,L ,COSTA RICA,https://acukwik.com/Airport-Info/MRYT
MRSO,Santa Maria de Guacimo,Guacimo,L ,COSTA RICA,https://acukwik.com/Airport-Info/MRSO
MRCA,Guapiles/Codela,Guapiles,G ,COSTA RICA,https://acukwik.com/Airport-Info/MRCA
MRDC,Guapiles/Duacari 2,Guapiles,L ,COSTA RICA,https://acukwik.com/Airport-Info/MRDC
MRMC,La Cruz/Murcielago,La Cruz,G ,COSTA RICA,https://acukwik.com/Airport-Info/MRMC
MRAN,La Fortuna/Arenal,La Fortuna,A ,COSTA RICA,https://acukwik.com/Airport-Info/MRAN
MREL,La Pithaya/El Palmar,La Pithaya,P ,COSTA RICA,https://acukwik.com/Airport-Info/MREL
MRCT,Liberia/Catsa,Liberia,G ,COSTA RICA,https://acukwik.com/Airport-Info/MRCT
MRCL,Liberia/Coyolar,Liberia,G ,COSTA RICA,https://acukwik.com/Airport-Info/MRCL
MRCO,Liberia/El Cerrito,Liberia,G ,COSTA RICA,https://acukwik.com/Airport-Info/MRCO
MRLB,Liberia/Guanacaste/Daniel Oduber Quiros Intl,Liberia,G ,COSTA RICA,https://acukwik.com/Airport-Info/MRLB
MRHM,Liberia/Hacienda Rancho Monterreal,Liberia,G ,COSTA RICA,https://acukwik.com/Airport-Info/MRHM
MRHR,Liberia/Hacienda Rosa Maria,Liberia,G ,COSTA RICA,https://acukwik.com/Airport-Info/MRHR
MRLV,Liberia/La Cueva,Liberia,G ,COSTA RICA,https://acukwik.com/Airport-Info/MRLV
MRPN,Liberia/Pelon Nuevo,Liberia,G ,COSTA RICA,https://acukwik.com/Airport-Info/MRPN
MRLC,Los Chiles,Los Chiles,A ,COSTA RICA,https://acukwik.com/Airport-Info/MRLC
MREA,Los Chiles/San José del Amporo,Los Chiles,A ,COSTA RICA,https://acukwik.com/Airport-Info/MREA
MRFM,Matama/Finca Manu,Matama,L ,COSTA RICA,https://acukwik.com/Airport-Info/MRFM
MRBN,Matina/Bataan (Monte Libano),Matina,L ,COSTA RICA,https://acukwik.com/Airport-Info/MRBN
MRMV,Matina/Monteverde,Matina,L ,COSTA RICA,https://acukwik.com/Airport-Info/MRMV
MRAJ,Miramar/Aranjuez Airpark,Miramar,P ,COSTA RICA,https://acukwik.com/Airport-Info/MRAJ
MRJT,Canjelito,Nandayure,G ,COSTA RICA,https://acukwik.com/Airport-Info/MRJT
MRLJ,Nandayure/La Javilla,Nandayure,G ,COSTA RICA,https://acukwik.com/Airport-Info/MRLJ
MRLD,Naranjo/Loma Linda,Naranjo,A ,COSTA RICA,https://acukwik.com/Airport-Info/MRLD
MRPT,Nicoya/Agropecuaria  Playa Caletas,Nicoya,G ,COSTA RICA,https://acukwik.com/Airport-Info/MRPT
MRCV,Nicoya/Cabo de Velas,Nicoya,G ,COSTA RICA,https://acukwik.com/Airport-Info/MRCV
MRFC,Nicoya/Flying Crocodile,Nicoya,G ,COSTA RICA,https://acukwik.com/Airport-Info/MRFC
MRLN,Nicoya/La Guinea,Nicoya,G ,COSTA RICA,https://acukwik.com/Airport-Info/MRLN
MRNC,Nicoya/Miguel Angel Castillo Zumbado,Nicoya,G ,COSTA RICA,https://acukwik.com/Airport-Info/MRNC
MRMR,Nicoya/Monte Reina,Nicoya,G ,COSTA RICA,https://acukwik.com/Airport-Info/MRMR
MRNS,Nicoya/Nosara Beach,Nicoya,G ,COSTA RICA,https://acukwik.com/Airport-Info/MRNS
MRSL,Nicoya/San Lazaro,Nicoya,G ,COSTA RICA,https://acukwik.com/Airport-Info/MRSL
MRDO,Osa/Dieciocho,Osa,P ,COSTA RICA,https://acukwik.com/Airport-Info/MRDO
MRPM,Palmar Sur,Palmar Norte,P ,COSTA RICA,https://acukwik.com/Airport-Info/MRPM
MRLI,Parrita/La Ligia,Parrita,P ,COSTA RICA,https://acukwik.com/Airport-Info/MRLI
MRLY,Parrita/La Yolanda,Parrita,P ,COSTA RICA,https://acukwik.com/Airport-Info/MRLY
MRPR,Parrita/Playon Sur,Parrita,P ,COSTA RICA,https://acukwik.com/Airport-Info/MRPR
MRPV,Pavas/Tobias Bolanos Palma Intl,Pavas,SJ ,COSTA RICA,https://acukwik.com/Airport-Info/MRPV
MRSI,Perez Zeledon/San Isidro del General,Perez Zeledo,SJ ,COSTA RICA,https://acukwik.com/Airport-Info/MRSI
MRDV,Pital/Dole Venecia,Pital,A ,COSTA RICA,https://acukwik.com/Airport-Info/MRDV
MRBP,Pococi/Barra de Parismina,Pococi,L ,COSTA RICA,https://acukwik.com/Airport-Info/MRBP
MRBT,Pococi/Barra de Tortuguero,Pococi,L ,COSTA RICA,https://acukwik.com/Airport-Info/MRBT
MRBC,Pococi/Barra Del Colorado,Pococi,L ,COSTA RICA,https://acukwik.com/Airport-Info/MRBC
MRGP,Pococi/Guapiles,Pococi,L ,COSTA RICA,https://acukwik.com/Airport-Info/MRGP
MRRF,Pococi/Rio Frio,Pococi,L ,COSTA RICA,https://acukwik.com/Airport-Info/MRRF
MRSG,Pococi/Santa Clara De Guapiles,Pococi,L ,COSTA RICA,https://acukwik.com/Airport-Info/MRSG
MRTB,Pococi/Ticaban,Pococi,L ,COSTA RICA,https://acukwik.com/Airport-Info/MRTB
