ICAO,Airport Name,City,State,Country,Airport Link
LKBE,Benesov,Benesov, ,CZECHIA,https://acukwik.com/Airport-Info/LKBE
LKBO,Bohunovice,Bohunovice, ,CZECHIA,https://acukwik.com/Airport-Info/LKBO
LKBA,Breclav,Breclav, ,CZECHIA,https://acukwik.com/Airport-Info/LKBA
LKCM,Brno-Medlanky,Brno, ,CZECHIA,https://acukwik.com/Airport-Info/LKCM
LKTB,Brno/Turany,Brno, ,CZECHIA,https://acukwik.com/Airport-Info/LKTB
LKBR,Broumov,Broumov, ,CZECHIA,https://acukwik.com/Airport-Info/LKBR
LKBU,Bubovice,Bubovice, ,CZECHIA,https://acukwik.com/Airport-Info/LKBU
LKCV,Caslav AB,Caslav, ,CZECHIA,https://acukwik.com/Airport-Info/LKCV
LKPN,Podhorany,Caslav, ,CZECHIA,https://acukwik.com/Airport-Info/LKPN
LKCE,Ceska Lipa,Ceska Lipa, ,CZECHIA,https://acukwik.com/Airport-Info/LKCE
LKCS,Ceske Budejovice,Ceske Budejovice, ,CZECHIA,https://acukwik.com/Airport-Info/LKCS
LKHS,Hosin,Ceske Budejovice, ,CZECHIA,https://acukwik.com/Airport-Info/LKHS
LKCB,Cheb,Cheb, ,CZECHIA,https://acukwik.com/Airport-Info/LKCB
LKCH,Chomutov,Chomutov, ,CZECHIA,https://acukwik.com/Airport-Info/LKCH
LKCT,Chotebor,Chotebor, ,CZECHIA,https://acukwik.com/Airport-Info/LKCT
LKCR,Chrudim,Chrudim, ,CZECHIA,https://acukwik.com/Airport-Info/LKCR
LKDK,Dvur Kralove,Dvur Kralove, ,CZECHIA,https://acukwik.com/Airport-Info/LKDK
LKER,Erpuzice,Erpuzice, ,CZECHIA,https://acukwik.com/Airport-Info/LKER
LKFR,Frydlant nad Ostravici,Frydlant, ,CZECHIA,https://acukwik.com/Airport-Info/LKFR
LKHB,Havlickuv Brod,Havlickuv Brod, ,CZECHIA,https://acukwik.com/Airport-Info/LKHB
