ICAO,Airport Name,City,State,Country,Airport Link
MDBH,Barahona/Maria Montez International,Barahona, ,DOMINICAN REPUBLIC,https://acukwik.com/Airport-Info/MDBH
MDCR,Cabo Rojo,Cabo Rojo, ,DOMINICAN REPUBLIC,https://acukwik.com/Airport-Info/MDCR
MDCZ,Constanza,Constanza, ,DOMINICAN REPUBLIC,https://acukwik.com/Airport-Info/MDCZ
MDPC,Higuey/Punta Cana International,Higuey, ,DOMINICAN REPUBLIC,https://acukwik.com/Airport-Info/MDPC
MDLR,La Romana/Casa de Campo Intl,La Romana, ,DOMINICAN REPUBLIC,https://acukwik.com/Airport-Info/MDLR
MDMC,Montecristi/Osvaldo Virgil,Montecristi, ,DOMINICAN REPUBLIC,https://acukwik.com/Airport-Info/MDMC
MDPP,Puerto Plata/Gregorio Luperon International,Puerto Plata, ,DOMINICAN REPUBLIC,https://acukwik.com/Airport-Info/MDPP
MDAB,Samana/Arroyo Barril International,Samana, ,DOMINICAN REPUBLIC,https://acukwik.com/Airport-Info/MDAB
MDCY,Samana/El Catey Intl (Presidente Juan Bosch),Samana, ,DOMINICAN REPUBLIC,https://acukwik.com/Airport-Info/MDCY
MDST,Santiago/Cibao International,Santiago, ,DOMINICAN REPUBLIC,https://acukwik.com/Airport-Info/MDST
MDJB,La Isabella Dr Joaquin Balaguer International,Santo Domingo, ,DOMINICAN REPUBLIC,https://acukwik.com/Airport-Info/MDJB
MDSD,Santo Domingo/Las Americas International JFPG,Santo Domingo, ,DOMINICAN REPUBLIC,https://acukwik.com/Airport-Info/MDSD
MDSI,Santo Domingo/San Isidro AB,Santo Domingo, ,DOMINICAN REPUBLIC,https://acukwik.com/Airport-Info/MDSI
