ICAO,Airport Name,City,State,Country,Airport Link
SEAM,Ambato/Chachoan,Ambato,T ,ECUADOR,https://acukwik.com/Airport-Info/SEAM
SECO,Coca/Francisco de Orellana,Coca,D ,ECUADOR,https://acukwik.com/Airport-Info/SECO
SECU,Cuenca/Mariscal Lamar,Cuenca,A ,ECUADOR,https://acukwik.com/Airport-Info/SECU
SEST,Galapagos Islands/San Cristobal,Galapagos Isl,W ,ECUADOR,https://acukwik.com/Airport-Info/SEST
SEGU,Guayaquil/Jose Joaquin de Olmedo Intl,Guayaquil,G ,ECUADOR,https://acukwik.com/Airport-Info/SEGU
SETA,Guayaquil/Taura AB,Guayaquil,G ,ECUADOR,https://acukwik.com/Airport-Info/SETA
SEII,Isla Isabela/General Villamil,Isla Isabela,W ,ECUADOR,https://acukwik.com/Airport-Info/SEII
SECA,La Toma/Ciudad de Catamayo,La Toma,L ,ECUADOR,https://acukwik.com/Airport-Info/SECA
SELT,Latacunga/Cotopaxi Intl,Latacunga,X ,ECUADOR,https://acukwik.com/Airport-Info/SELT
SEQE,Los Rios/Quevedo,Los Rios,R ,ECUADOR,https://acukwik.com/Airport-Info/SEQE
SEMA,Macara/Jose Maria Velasco Ibarra,Macara,L ,ECUADOR,https://acukwik.com/Airport-Info/SEMA
SEMC,Macas/Coronel Edmundo Carvajal,Macas,S ,ECUADOR,https://acukwik.com/Airport-Info/SEMC
SEMT,Manta/Eloy Alfaro Intl,Manta,M ,ECUADOR,https://acukwik.com/Airport-Info/SEMT
SEMO,Montalvo/El Carmen,Montalvo,R ,ECUADOR,https://acukwik.com/Airport-Info/SEMO
SEGZ,Morona Santiago/Gualaquiza Mario Madero Jaramillo,Morona Santiago,S ,ECUADOR,https://acukwik.com/Airport-Info/SEGZ
SENL,Nueva Loja/Lago Agrio,Nueva Loja,U ,ECUADOR,https://acukwik.com/Airport-Info/SENL
SEPS,Pasaje/Amable Calle Gutierrez,Pasaje,O ,ECUADOR,https://acukwik.com/Airport-Info/SEPS
SEPC,Patuca,Patuca,S ,ECUADOR,https://acukwik.com/Airport-Info/SEPC
SEPV,Portoviejo/Reales Tamarindos,Portoviejo,M ,ECUADOR,https://acukwik.com/Airport-Info/SEPV
SEGS,Puerto Ayora/Baltra/Seymour - Galapagos Ecological,Puerto Ayora,W ,ECUADOR,https://acukwik.com/Airport-Info/SEGS
SEQM,New Quito International Mariscal Sucre,Quito,P ,ECUADOR,https://acukwik.com/Airport-Info/SEQM
SERB,Riobamba/Chimborazo,Riobamba,H ,ECUADOR,https://acukwik.com/Airport-Info/SERB
SESA,Salinas/Gen Ulpiano Paez AB,Salinas,G ,ECUADOR,https://acukwik.com/Airport-Info/SESA
SESV,San Vicente(Bahia de Caraquez)/Los Perales,San Vicente,M ,ECUADOR,https://acukwik.com/Airport-Info/SESV
SERO,Santa Rosa Regional,Santa Rosa,O ,ECUADOR,https://acukwik.com/Airport-Info/SERO
SESD,Santo Domingo de Los Colorados,Santo Domingo,P ,ECUADOR,https://acukwik.com/Airport-Info/SESD
SESM,Shell Mera/Rio Amazonas,Shell Mera,Y ,ECUADOR,https://acukwik.com/Airport-Info/SESM
SETN,Tachina/Col Carlos Concha Torres,Tachina,E ,ECUADOR,https://acukwik.com/Airport-Info/SETN
SETH,Taisha,Taisha,S ,ECUADOR,https://acukwik.com/Airport-Info/SETH
SETR,Tarapoa,Tarapoa,U ,ECUADOR,https://acukwik.com/Airport-Info/SETR
SEJD,Tena/ Ahuano/Jumandy,Tena,N ,ECUADOR,https://acukwik.com/Airport-Info/SEJD
SETI,Tiputini,Tiputini,D ,ECUADOR,https://acukwik.com/Airport-Info/SETI
SETU,Tulcan/Teniente Coronel Luis A Mantilla,Tulcan,C ,ECUADOR,https://acukwik.com/Airport-Info/SETU
SEBZ,Zamora/Cumbaratza,Zamora,Z ,ECUADOR,https://acukwik.com/Airport-Info/SEBZ
