ICAO,Airport Name,City,State,Country,Airport Link
HAAB,Addis Ababa Bole International,Addis Ababa, ,ETHIOPIA,https://acukwik.com/Airport-Info/HAAB
HAAL,Addis Ababa/Lidetta AB,Addis Ababa, ,ETHIOPIA,https://acukwik.com/Airport-Info/HAAL
HAAM,Arba Minch,Arba Minch, ,ETHIOPIA,https://acukwik.com/Airport-Info/HAAM
HASO,Assosa,Assosa, ,ETHIOPIA,https://acukwik.com/Airport-Info/HASO
HAAX,Axum Emperor Yohannes IV,Axum, ,ETHIOPIA,https://acukwik.com/Airport-Info/HAAX
HABD,Bahir Dar/Ginbot Haya International,Bahir Dar, ,ETHIOPIA,https://acukwik.com/Airport-Info/HABD
HAGB,Robe,Bale Robe, ,ETHIOPIA,https://acukwik.com/Airport-Info/HAGB
HAHM,Bishoftu/Harar Meda AB,Bishoftu, ,ETHIOPIA,https://acukwik.com/Airport-Info/HAHM
HADD,Dembidolo,Dembi Dolo, ,ETHIOPIA,https://acukwik.com/Airport-Info/HADD
HADC,Desse/Kombolcha,Desse, ,ETHIOPIA,https://acukwik.com/Airport-Info/HADC
HADR,Dire Dawa/Aba Tenna Dejaz International,Dire Dawa, ,ETHIOPIA,https://acukwik.com/Airport-Info/HADR
HAGM,Gambella,Gambella, ,ETHIOPIA,https://acukwik.com/Airport-Info/HAGM
HAGO,Gode,Gode, ,ETHIOPIA,https://acukwik.com/Airport-Info/HAGO
HAGN,Gonder/Azezo-Atse Tewodros,Gonder, ,ETHIOPIA,https://acukwik.com/Airport-Info/HAGN
HALA,Hawassa,Hawassa, ,ETHIOPIA,https://acukwik.com/Airport-Info/HALA
HAHU,Humera,Humera, ,ETHIOPIA,https://acukwik.com/Airport-Info/HAHU
HAJJ,Jijiga,Jijiga, ,ETHIOPIA,https://acukwik.com/Airport-Info/HAJJ
HAJM,Jimma/Aba Segud,Jimma, ,ETHIOPIA,https://acukwik.com/Airport-Info/HAJM
HABC,Baco/Jinka,Jinka, ,ETHIOPIA,https://acukwik.com/Airport-Info/HABC
HAKD,Kabri Dehar/Kebridar,Kabri Dehar, ,ETHIOPIA,https://acukwik.com/Airport-Info/HAKD
HALL,Lalibella,Lalibela, ,ETHIOPIA,https://acukwik.com/Airport-Info/HALL
HAMK,Alula Aba Nega/Mekele International,Mekele, ,ETHIOPIA,https://acukwik.com/Airport-Info/HAMK
HASM,Semera,Semera, ,ETHIOPIA,https://acukwik.com/Airport-Info/HASM
HASR,Shire/Inda Salassie,Shire, ,ETHIOPIA,https://acukwik.com/Airport-Info/HASR
HANK,Nekemte Gudina Tumsa,Uke-Karsa, ,ETHIOPIA,https://acukwik.com/Airport-Info/HANK
