ICAO,Airport Name,City,State,Country,Airport Link
NTHE,Ahe,Ahe, ,FRENCH POLYNESIA,https://acukwik.com/Airport-Info/NTHE
NTGA,Anaa,Anaa, ,FRENCH POLYNESIA,https://acukwik.com/Airport-Info/NTGA
NTGD,Apataki,Apataki, ,FRENCH POLYNESIA,https://acukwik.com/Airport-Info/NTGD
NTKH,Fakahina,Fakahina, ,FRENCH POLYNESIA,https://acukwik.com/Airport-Info/NTKH
NTGT,Takapoto,Fakatopatere, ,FRENCH POLYNESIA,https://acukwik.com/Airport-Info/NTGT
NTGJ,Totegegie,Gambiers Island, ,FRENCH POLYNESIA,https://acukwik.com/Airport-Info/NTGJ
NTTO,Hao,Hao/Tuamotu Is, ,FRENCH POLYNESIA,https://acukwik.com/Airport-Info/NTTO
NTKF,Faaite,Hitianau, ,FRENCH POLYNESIA,https://acukwik.com/Airport-Info/NTKF
NTMD,Nuku Hiva,Hiva Isl, ,FRENCH POLYNESIA,https://acukwik.com/Airport-Info/NTMD
NTMN,Hiva Oa/Atuona,Hiva Oa Atuona, ,FRENCH POLYNESIA,https://acukwik.com/Airport-Info/NTMN
NTTH,Huahine/Fare,Huahine Is/Fare, ,FRENCH POLYNESIA,https://acukwik.com/Airport-Info/NTTH
NTKT,Katiu,Katiu, ,FRENCH POLYNESIA,https://acukwik.com/Airport-Info/NTKT
NTGK,Kaukura,Kaukura, ,FRENCH POLYNESIA,https://acukwik.com/Airport-Info/NTGK
NTGM,Makemo,Makemo Isl, ,FRENCH POLYNESIA,https://acukwik.com/Airport-Info/NTGM
NTGQ,Pukarua,Marautagaroa, ,FRENCH POLYNESIA,https://acukwik.com/Airport-Info/NTGQ
NTGV,Mataiva,Mataiva, ,FRENCH POLYNESIA,https://acukwik.com/Airport-Info/NTGV
NTTP,Maupiti,Maupiti, ,FRENCH POLYNESIA,https://acukwik.com/Airport-Info/NTTP
NTKU,Nukutepipi,Nukutepipi, ,FRENCH POLYNESIA,https://acukwik.com/Airport-Info/NTKU
NTGI,Manihi,Paeva, ,FRENCH POLYNESIA,https://acukwik.com/Airport-Info/NTGI
NTKK,Aratika Nord,Paparara, ,FRENCH POLYNESIA,https://acukwik.com/Airport-Info/NTKK
NTTX,Moruroa Atoll (Aopuni),Papeete, ,FRENCH POLYNESIA,https://acukwik.com/Airport-Info/NTTX
NTTE,Onetahi Island/Tetiaroa Atoll,Papeete, ,FRENCH POLYNESIA,https://acukwik.com/Airport-Info/NTTE
NTAA,Tahiti/Faa'a,Papeete, ,FRENCH POLYNESIA,https://acukwik.com/Airport-Info/NTAA
NTAV,Raivavae,Rairua, ,FRENCH POLYNESIA,https://acukwik.com/Airport-Info/NTAV
NTKO,Raroia,Raroia, ,FRENCH POLYNESIA,https://acukwik.com/Airport-Info/NTKO
NTGU,Arutua,Rautini, ,FRENCH POLYNESIA,https://acukwik.com/Airport-Info/NTGU
NTAM,Rimatara,Rimatara, ,FRENCH POLYNESIA,https://acukwik.com/Airport-Info/NTAM
NTGF,Fakarava,Rotoava, ,FRENCH POLYNESIA,https://acukwik.com/Airport-Info/NTGF
NTAR,Rurutu,Rurutu Island, ,FRENCH POLYNESIA,https://acukwik.com/Airport-Info/NTAR
NTTB,Motu-Mute/Bora Bora,Society Is/Motu, ,FRENCH POLYNESIA,https://acukwik.com/Airport-Info/NTTB
NTTM,Temae-Moorea,Society Isl, ,FRENCH POLYNESIA,https://acukwik.com/Airport-Info/NTTM
NTTR,Raiatea/Uturoa,Society/Raiatea, ,FRENCH POLYNESIA,https://acukwik.com/Airport-Info/NTTR
NTKR,Takaroa,Takaroa, ,FRENCH POLYNESIA,https://acukwik.com/Airport-Info/NTKR
NTKM,Takume,Takume, ,FRENCH POLYNESIA,https://acukwik.com/Airport-Info/NTKM
NTGE,Reao,Tapuarava, ,FRENCH POLYNESIA,https://acukwik.com/Airport-Info/NTGE
NTGO,Tatakoto,Tatakoto, ,FRENCH POLYNESIA,https://acukwik.com/Airport-Info/NTGO
NTGW,Nukutavake,Tavananui, ,FRENCH POLYNESIA,https://acukwik.com/Airport-Info/NTGW
NTGB,Fangatau,Teana, ,FRENCH POLYNESIA,https://acukwik.com/Airport-Info/NTGB
NTKA,Kauehi,Tearavero, ,FRENCH POLYNESIA,https://acukwik.com/Airport-Info/NTKA
NTGP,Puka Puka,Teonemahina, ,FRENCH POLYNESIA,https://acukwik.com/Airport-Info/NTGP
NTGN,Napuka,Tepukamaruia, ,FRENCH POLYNESIA,https://acukwik.com/Airport-Info/NTGN
NTGC,Tikehau,Tikehau, ,FRENCH POLYNESIA,https://acukwik.com/Airport-Info/NTGC
NTTG,Rangiroa,Tuamotu Arch Is, ,FRENCH POLYNESIA,https://acukwik.com/Airport-Info/NTTG
NTAT,Mataura/Tubuai,Tubuai Isl, ,FRENCH POLYNESIA,https://acukwik.com/Airport-Info/NTAT
NTKN,Niau,Tupana, ,FRENCH POLYNESIA,https://acukwik.com/Airport-Info/NTKN
NTGH,Hikueru,Tupapati, ,FRENCH POLYNESIA,https://acukwik.com/Airport-Info/NTGH
NTGY,Tureia,Tureia, ,FRENCH POLYNESIA,https://acukwik.com/Airport-Info/NTGY
NTMU,Ua Huka,Ua Huka, ,FRENCH POLYNESIA,https://acukwik.com/Airport-Info/NTMU
NTMP,Ua Pou,Ua Pou, ,FRENCH POLYNESIA,https://acukwik.com/Airport-Info/NTMP
NTUV,Vahitahi,Vahitahi, ,FRENCH POLYNESIA,https://acukwik.com/Airport-Info/NTUV
