ICAO,Airport Name,City,State,Country,Airport Link
VIAX,Adampur AB,Adampur,PB ,INDIA,https://acukwik.com/Airport-Info/VIAX
VEAT,Agartala,Agartala,TR ,INDIA,https://acukwik.com/Airport-Info/VEAT
VOAT,Agatti Island,Agatti Island,LD ,INDIA,https://acukwik.com/Airport-Info/VOAT
VIAG,Agra AB,Agra,UP ,INDIA,https://acukwik.com/Airport-Info/VIAG
VAAH,Ahmedabad Sardar Vallabhbhai Patel International,Ahmedabad,GJ ,INDIA,https://acukwik.com/Airport-Info/VAAH
VELP,Aizwal/Lengpui,Aizawl,MZ ,INDIA,https://acukwik.com/Airport-Info/VELP
VEAZ,Aizwal,Aizwal,MZ ,INDIA,https://acukwik.com/Airport-Info/VEAZ
VAAK,Akola,Akola,MH ,INDIA,https://acukwik.com/Airport-Info/VAAK
VEAN,Along AB/Aalo,Along,AR ,INDIA,https://acukwik.com/Airport-Info/VEAN
VIAM,Ambala AFS,Ambala,HR ,INDIA,https://acukwik.com/Airport-Info/VIAM
VIAR,Amritsar/Sri Guru Ram Dass Jee Intl,Amritsar,PB ,INDIA,https://acukwik.com/Airport-Info/VIAR
VOAR,INS Rajali/Arakkonam Naval Air Station,Arakkonam,TN ,INDIA,https://acukwik.com/Airport-Info/VOAR
VAAU,Aurangabad,Aurangabad,MH ,INDIA,https://acukwik.com/Airport-Info/VAAU
VEAY,Ayodhya/Maharishi Valmiki Intl,Ayodhya,UP ,INDIA,https://acukwik.com/Airport-Info/VEAY
VOBG,HAL Bangalore,Bangalore,KA ,INDIA,https://acukwik.com/Airport-Info/VOBG
VOBL,Kempegowda International Bengaluru,Bangalore,KA ,INDIA,https://acukwik.com/Airport-Info/VOBL
VOYK,Yelahanka AB Bangalore,Bangalore,KA ,INDIA,https://acukwik.com/Airport-Info/VOYK
VIBY,Bareilly AB,Bareli,UP ,INDIA,https://acukwik.com/Airport-Info/VIBY
VOBM,Belgaum,Belgaum,KA ,INDIA,https://acukwik.com/Airport-Info/VOBM
VOBI,Bellary/Bellari,Bellari,KA ,INDIA,https://acukwik.com/Airport-Info/VOBI
VIBT,Bhatinda AB,Bhatinda,PB ,INDIA,https://acukwik.com/Airport-Info/VIBT
VABV,Bhavnagar,Bhavnagar,GJ ,INDIA,https://acukwik.com/Airport-Info/VABV
VABP,Bhopal/Raja Bhoj,Bhopal,MP ,INDIA,https://acukwik.com/Airport-Info/VABP
VEBS,Bhubaneswar/Biju Patnaik,Bhubaneswar,OR ,INDIA,https://acukwik.com/Airport-Info/VEBS
VABJ,Bhuj AB,Bhuj,GJ ,INDIA,https://acukwik.com/Airport-Info/VABJ
VOBR,Bidar AB,Bidar,KA ,INDIA,https://acukwik.com/Airport-Info/VOBR
VIBK,Bikaner - Nal,Bikaner,RJ ,INDIA,https://acukwik.com/Airport-Info/VIBK
VEBU,Bilaspur/Bilasa Devi Kevat,Bilaspur,CT ,INDIA,https://acukwik.com/Airport-Info/VEBU
VEBK,Bokaro,Bokaro,BR ,INDIA,https://acukwik.com/Airport-Info/VEBK
VOCL,Kozhikode/Calicut International ,Calicut,KL ,INDIA,https://acukwik.com/Airport-Info/VOCL
VOCX,Car Nicobar AB,Car Nicobar,AN ,INDIA,https://acukwik.com/Airport-Info/VOCX
VICG,Chandigarh International,Chandigarh,CH ,INDIA,https://acukwik.com/Airport-Info/VICG
VOMM,Chennai International,Chennai,TN ,INDIA,https://acukwik.com/Airport-Info/VOMM
VOTX,Tambaram AB,Chennai,TN ,INDIA,https://acukwik.com/Airport-Info/VOTX
VOCI,Cochin International,Cochin,KL ,INDIA,https://acukwik.com/Airport-Info/VOCI
VOCC,INS Garuda/Cochin Naval AB,Cochin,KL ,INDIA,https://acukwik.com/Airport-Info/VOCC
VOCB,Coimbatore,Coimbatore,TN ,INDIA,https://acukwik.com/Airport-Info/VOCB
VECO,Cooch Behar,Cooch Behar,WB ,INDIA,https://acukwik.com/Airport-Info/VECO
VOCP,Cuddapah,Cuddapah,AP ,INDIA,https://acukwik.com/Airport-Info/VOCP
VADN,Daman,Daman,DD ,INDIA,https://acukwik.com/Airport-Info/VADN
VIDN,Dehradun/Jolly Grant,Dehradun, ,INDIA,https://acukwik.com/Airport-Info/VIDN
VIDD,Delhi/Safdarjung,Delhi,DL ,INDIA,https://acukwik.com/Airport-Info/VIDD
