ICAO,Airport Name,City,State,Country,Airport Link
WATM,Alor/Mali,Alor Island,NT ,INDONESIA,https://acukwik.com/Airport-Info/WATM
WAPA,Amahai,Amahai,MA ,INDONESIA,https://acukwik.com/Airport-Info/WAPA
WAPP,Ambon/Pattimura,Ambon,MA ,INDONESIA,https://acukwik.com/Airport-Info/WAPP
WAFU,Ampana/Tanjung Api (Sulawesi),Ampana,SG ,INDONESIA,https://acukwik.com/Airport-Info/WAFU
WATA,Atambua/A.A. Bere Tallo,Atambua,NT ,INDONESIA,https://acukwik.com/Airport-Info/WATA
WASO,Irian Jaya/Babo,Babo,PA ,INDONESIA,https://acukwik.com/Airport-Info/WASO
WAKE,Bade,Bade,PA ,INDONESIA,https://acukwik.com/Airport-Info/WAKE
WATB,Bajawa/Soa,Bajawa,NT ,INDONESIA,https://acukwik.com/Airport-Info/WATB
WADD,Bali International/I Gusti Ngurah Rai,Bali/Denpasar,BA ,INDONESIA,https://acukwik.com/Airport-Info/WADD
WALL,Balikpapan/Sepinggan,Balikpapan,KI ,INDONESIA,https://acukwik.com/Airport-Info/WALL
WITT,Banda Aceh/Sultan Iskandar Muda,Banda Aceh,AC ,INDONESIA,https://acukwik.com/Airport-Info/WITT
WAPC,Bandanaira/Banda Island,Banda Neira,MA ,INDONESIA,https://acukwik.com/Airport-Info/WAPC
WILL,Bandar Lampung/Radin Inten II,Bandar Lampung,LA ,INDONESIA,https://acukwik.com/Airport-Info/WILL
WICC,Bandung/Husein Sastranegara,Bandung,JB ,INDONESIA,https://acukwik.com/Airport-Info/WICC
WAOO,Banjarmasin/Syamsuddin Noor,Banjarmasin,KS ,INDONESIA,https://acukwik.com/Airport-Info/WAOO
WIGE,Banjarsari/Enggano,Banjarsari,BE ,INDONESIA,https://acukwik.com/Airport-Info/WIGE
WADY,Banyuwangi/Blimbingsari,Banyuwangi,JI ,INDONESIA,https://acukwik.com/Airport-Info/WADY
WIDD,Batam/Hang Nadim-Riau,Batam,RI ,INDONESIA,https://acukwik.com/Airport-Info/WIDD
WAOC,Batu Licin/Bersujud,Batu Licin,KS ,INDONESIA,https://acukwik.com/Airport-Info/WAOC
WAWB,Bau Bau/Betoambari,Bau-Bau,SG ,INDONESIA,https://acukwik.com/Airport-Info/WAWB
WIGG,Bengkulu/Padang Kemiling/Fatmawati Soekarnoputri,Bengkulu,BE ,INDONESIA,https://acukwik.com/Airport-Info/WIGG
WAPK,Benjina/Aru Isl/Benjina-Nangasuri,Benjina/Aru Isl,MA ,INDONESIA,https://acukwik.com/Airport-Info/WAPK
WAWH,Selayar/Haji Aroeppala,Benteng,SN ,INDONESIA,https://acukwik.com/Airport-Info/WAWH
WAQC,Berau/Maratua,Berau,KT ,INDONESIA,https://acukwik.com/Airport-Info/WAQC
WABB,Biak/Frans Kaisiepo,Biak,PA ,INDONESIA,https://acukwik.com/Airport-Info/WABB
WABF,Biak Numfor/Kornasoren,Biak Numfor,PA ,INDONESIA,https://acukwik.com/Airport-Info/WABF
WADB,Bima/Muhammad Salahuddin,Bima/Sumbawa,NB ,INDONESIA,https://acukwik.com/Airport-Info/WADB
WAUB,Bintuni,Bintuni,PA ,INDONESIA,https://acukwik.com/Airport-Info/WAUB
WALC,PT Badak / Bontang,Bontang,KI ,INDONESIA,https://acukwik.com/Airport-Info/WALC
WAEM,Halmahera Island/Buli,Buli, ,INDONESIA,https://acukwik.com/Airport-Info/WAEM
WAFY,Buol/Pogogul(Central Sulawesi),Buol,ST ,INDONESIA,https://acukwik.com/Airport-Info/WAFY
