ICAO,Airport Name,City,State,Country,Airport Link
LLBS,Beer-Sheba/Teyman,Beer-Sheba, ,ISRAEL,https://acukwik.com/Airport-Info/LLBS
LLER,Eilat/Ilan and Assaf Ramon Intl (Timna),Eilat, ,ISRAEL,https://acukwik.com/Airport-Info/LLER
LLOV,Ovda AB,Eilat, ,ISRAEL,https://acukwik.com/Airport-Info/LLOV
LLHA,Haifa/U Michaeli,Haifa, ,ISRAEL,https://acukwik.com/Airport-Info/LLHA
LLHZ,Herzliya Modi Alon,Herzliya, ,ISRAEL,https://acukwik.com/Airport-Info/LLHZ
LLKS,Kiryat Shmona,Kiryat Shmona, ,ISRAEL,https://acukwik.com/Airport-Info/LLKS
LLMG,Megiddo,Megiddo, ,ISRAEL,https://acukwik.com/Airport-Info/LLMG
LLMZ,Metzada/Bar-Yehuda,Metzada, ,ISRAEL,https://acukwik.com/Airport-Info/LLMZ
LLIB,Rosh-Pina/M Ben-Yaakov,Rosh Pina, ,ISRAEL,https://acukwik.com/Airport-Info/LLIB
FYRP,Rosh Pinah/Mahanayim,Rosh Pinah, ,ISRAEL,https://acukwik.com/Airport-Info/FYRP
LLEY,Sapir/Ein Yahav,Sapir, ,ISRAEL,https://acukwik.com/Airport-Info/LLEY
LLBG,Tel Aviv/Ben Gurion International,Tel Aviv, ,ISRAEL,https://acukwik.com/Airport-Info/LLBG
