ICAO,Airport Name,City,State,Country,Airport Link
RORA,Aguni,Aguni Isl, ,JAPAN,https://acukwik.com/Airport-Info/RORA
RJSK,Akita,Akita, ,JAPAN,https://acukwik.com/Airport-Info/RJSK
RJDA,Amakusa,Amakusa, ,JAPAN,https://acukwik.com/Airport-Info/RJDA
RJKA,Amami,Amami Isl, ,JAPAN,https://acukwik.com/Airport-Info/RJKA
RJSA,Aomori,Aomori, ,JAPAN,https://acukwik.com/Airport-Info/RJSA
RJEC,Asahikawa,Asahikawa, ,JAPAN,https://acukwik.com/Airport-Info/RJEC
RJCA,Asahikawa (Mil),Asahikawa, ,JAPAN,https://acukwik.com/Airport-Info/RJCA
RJFA,Ashiya AB,Ashiya, ,JAPAN,https://acukwik.com/Airport-Info/RJFA
,Aso /Yamada-Eastern (Yamada Tobu Ranch),Aso, ,JAPAN,https://acukwik.com/Airport-Info/ACMQNKQ
RJTA,Atsugi AB,Atsugi, ,JAPAN,https://acukwik.com/Airport-Info/RJTA
,Betsukai,Betsukai, ,JAPAN,https://acukwik.com/Airport-Info/ACMQMRM
,Bibai,Bibai, ,JAPAN,https://acukwik.com/Airport-Info/ACMQMQN
,Biei,Biei, ,JAPAN,https://acukwik.com/Airport-Info/ACMQMRN
,Bungo-ono/Oitakenou/Oita Prefecturial Airfield,Bungo-ono, ,JAPAN,https://acukwik.com/Airport-Info/ACMQNLK
RJTF,Chofu,Chofu, ,JAPAN,https://acukwik.com/Airport-Info/RJTF
ROKR,Kerama,Fukaji Isl, ,JAPAN,https://acukwik.com/Airport-Info/ROKR
RJFE,Fukue,Fukue-Jima Isl, ,JAPAN,https://acukwik.com/Airport-Info/RJFE
RJNF,Fukui,Fukui/Honshu, ,JAPAN,https://acukwik.com/Airport-Info/RJNF
RJFF,Fukuoka,Fukuoka, ,JAPAN,https://acukwik.com/Airport-Info/RJFF
RJSF,Fukushima,Fukushima, ,JAPAN,https://acukwik.com/Airport-Info/RJSF
RJNG,Gifu AB,Gifu, ,JAPAN,https://acukwik.com/Airport-Info/RJNG
RJTH,Hachijojima,Hachijojima, ,JAPAN,https://acukwik.com/Airport-Info/RJTH
RJSH,Hachinohe AB,Hachinohe, ,JAPAN,https://acukwik.com/Airport-Info/RJSH
RJCH,Hakodate,Hakodate, ,JAPAN,https://acukwik.com/Airport-Info/RJCH
RJNH,Hamamatsu AB,Hamamatsu, ,JAPAN,https://acukwik.com/Airport-Info/RJNH
RJSI,Hanamaki,Hanamaki, ,JAPAN,https://acukwik.com/Airport-Info/RJSI
RORH,Hateruma,Hateruma, ,JAPAN,https://acukwik.com/Airport-Info/RORH
RJOA,Hiroshima,Hiroshima, ,JAPAN,https://acukwik.com/Airport-Info/RJOA
RJOF,Hofu AB,Hofu, ,JAPAN,https://acukwik.com/Airport-Info/RJOF
RJDB,Iki Island/Iki,Iki Isl, ,JAPAN,https://acukwik.com/Airport-Info/RJDB
RJTJ,Iruma AB,Iruma, ,JAPAN,https://acukwik.com/Airport-Info/RJTJ
RJOE,Ise/Akeno,Ise, ,JAPAN,https://acukwik.com/Airport-Info/RJOE
RJST,Ishinomaki/Matsushima AB,Ishinomaki, ,JAPAN,https://acukwik.com/Airport-Info/RJST
RJOI,Iwakuni AB,Iwakuni, ,JAPAN,https://acukwik.com/Airport-Info/RJOI
RJOW,Hagi Iwami,Iwami, ,JAPAN,https://acukwik.com/Airport-Info/RJOW
RJAW,Iwo Jima/Iwoto (Central) AB,Iwo Jima, ,JAPAN,https://acukwik.com/Airport-Info/RJAW
RJOC,Izumo,Izumo, ,JAPAN,https://acukwik.com/Airport-Info/RJOC
RJFK,Kagoshima,Kagoshima, ,JAPAN,https://acukwik.com/Airport-Info/RJFK
,Kai/Futaba,Kai, ,JAPAN,https://acukwik.com/Airport-Info/ACMQNKS
,Kisogawa (Kiso River Field),Kaizu, ,JAPAN,https://acukwik.com/Airport-Info/ACMQNLP
,Kanbara/Fujikawa,Kanbara, ,JAPAN,https://acukwik.com/Airport-Info/ACMQNLS
RJFY,Kanoya AB,Kanoya, ,JAPAN,https://acukwik.com/Airport-Info/RJFY
,Kasaoka Fureai,Kasaoka, ,JAPAN,https://acukwik.com/Airport-Info/ACMQNLO
RJKI,Kikaigashima Is/Kikai,Kikai-Shima Isl, ,JAPAN,https://acukwik.com/Airport-Info/RJKI
RJTK,Kisarazu AB,Kisarazu, ,JAPAN,https://acukwik.com/Airport-Info/RJTK
RJFR,Kitakyushu,Kitakyushu, ,JAPAN,https://acukwik.com/Airport-Info/RJFR
,Kitami,Kitami, ,JAPAN,https://acukwik.com/Airport-Info/ACMQMRK
RJBE,Kobe,Kobe, ,JAPAN,https://acukwik.com/Airport-Info/RJBE
RJOK,Kochi,Kochi, ,JAPAN,https://acukwik.com/Airport-Info/RJOK
RJNK,Kanazawa/Komatsu,Komatsu, ,JAPAN,https://acukwik.com/Airport-Info/RJNK
RJTI,Tokyo Heliport,Koto, ,JAPAN,https://acukwik.com/Airport-Info/RJTI
RJAZ,Kozushima,Kozushima, ,JAPAN,https://acukwik.com/Airport-Info/RJAZ
RJFT,Kumamoto,Kumamoto, ,JAPAN,https://acukwik.com/Airport-Info/RJFT
,Kumamoto/Shirakawa (JSAF),Kumamoto, ,JAPAN,https://acukwik.com/Airport-Info/ACMQNKP
RJCK,Kushiro,Kushiro, ,JAPAN,https://acukwik.com/Airport-Info/RJCK
RJFS,Ariake/Kyushu Saga International ,Kyushu Isl, ,JAPAN,https://acukwik.com/Airport-Info/RJFS
RJAF,Matsumoto,Matsumoto, ,JAPAN,https://acukwik.com/Airport-Info/RJAF
RJOM,Matsuyama,Matsuyama, ,JAPAN,https://acukwik.com/Airport-Info/RJOM
RJCM,Memanbetsu,Memanbetsu, ,JAPAN,https://acukwik.com/Airport-Info/RJCM
,Miho/Shizuoka Prefectural Miho Airfield,Miho, ,JAPAN,https://acukwik.com/Airport-Info/ACMQNLT
RJAM,Minami Torishima AB,Minami Torishima, ,JAPAN,https://acukwik.com/Airport-Info/RJAM
RJSM,Misawa AB,Misawa, ,JAPAN,https://acukwik.com/Airport-Info/RJSM
,Mishima Mura/Satsumaioujima (Satsuma Iojima),Mishima Mura, ,JAPAN,https://acukwik.com/Airport-Info/ACMQMRP
RJTQ,Miyakejima,Miyake Island, ,JAPAN,https://acukwik.com/Airport-Info/RJTQ
RJFM,Miyazaki,Miyazaki, ,JAPAN,https://acukwik.com/Airport-Info/RJFM
RJBT,Tajima,Miyazuta, ,JAPAN,https://acukwik.com/Airport-Info/RJBT
RJEB,Monbetsu,Monbetsu, ,JAPAN,https://acukwik.com/Airport-Info/RJEB
,Nagano,Nagano, ,JAPAN,https://acukwik.com/Airport-Info/ACMQNKO
RJFU,Nagasaki,Nagasaki, ,JAPAN,https://acukwik.com/Airport-Info/RJFU
RJNA,Nagoya ,Nagoya, ,JAPAN,https://acukwik.com/Airport-Info/RJNA
RJGG,Nagoya/Chubu Centrair International,Nagoya, ,JAPAN,https://acukwik.com/Airport-Info/RJGG
RJCN,Nakashibetsu,Nakashibetsu, ,JAPAN,https://acukwik.com/Airport-Info/RJCN
RJBD,Nanki Shirahama,Nanki Shirahama, ,JAPAN,https://acukwik.com/Airport-Info/RJBD
RJSN,Niigata,Niigata, ,JAPAN,https://acukwik.com/Airport-Info/RJSN
RJAN,Niijima,Niijima, ,JAPAN,https://acukwik.com/Airport-Info/RJAN
RJTU,Nikko/Utsunomiya AB,Nikko, ,JAPAN,https://acukwik.com/Airport-Info/RJTU
RJFG,Kyushu Island/New Tanegashima,Nishinoomote, ,JAPAN,https://acukwik.com/Airport-Info/RJFG
RJFN,Nyutabaru AB,Nyutabaru, ,JAPAN,https://acukwik.com/Airport-Info/RJFN
RJCB,Obihiro,Obihiro, ,JAPAN,https://acukwik.com/Airport-Info/RJCB
RJSR,Odate Noshiro,Odate Noshiro, ,JAPAN,https://acukwik.com/Airport-Info/RJSR
RJFO,Oita,Oita, ,JAPAN,https://acukwik.com/Airport-Info/RJFO
RJDO,Ojika,Ojika, ,JAPAN,https://acukwik.com/Airport-Info/RJDO
RJOB,Okayama,Okayama, ,JAPAN,https://acukwik.com/Airport-Info/RJOB
RJBK,Okayama/Kohnan,Okayama, ,JAPAN,https://acukwik.com/Airport-Info/RJBK
,Okazaki,Okazaki, ,JAPAN,https://acukwik.com/Airport-Info/ACMQNLR
RJNO,Oki-Gunto Isl/Oki,Oki-Gunto Isl, ,JAPAN,https://acukwik.com/Airport-Info/RJNO
RJKB,Okierabu,Okino Isl, ,JAPAN,https://acukwik.com/Airport-Info/RJKB
RJEO,Okushiri,Okushiri Island, ,JAPAN,https://acukwik.com/Airport-Info/RJEO
RJDU,Omura,Omura, ,JAPAN,https://acukwik.com/Airport-Info/RJDU
,Ohno (Ono),Ono, ,JAPAN,https://acukwik.com/Airport-Info/ACMQNLQ
RJOO,Osaka Itami Intl,Osaka, ,JAPAN,https://acukwik.com/Airport-Info/RJOO
RJBB,Osaka/Kansai International,Osaka, ,JAPAN,https://acukwik.com/Airport-Info/RJBB
RJOY,Osaka/Yao,Osaka, ,JAPAN,https://acukwik.com/Airport-Info/RJOY
RJTO,Oshima (Tokyo Oshima Camellia),Oshima, ,JAPAN,https://acukwik.com/Airport-Info/RJTO
RJOZ,Ozuki  AB,Ozuki , ,JAPAN,https://acukwik.com/Airport-Info/RJOZ
RJCR,Rebun,Rebun, ,JAPAN,https://acukwik.com/Airport-Info/RJCR
RJER,Rishiri Island,Rishiri Isl, ,JAPAN,https://acukwik.com/Airport-Info/RJER
RJSD,Sado,Sado, ,JAPAN,https://acukwik.com/Airport-Info/RJSD
RJSY,Sakata/Shonai,Sakata, ,JAPAN,https://acukwik.com/Airport-Info/RJSY
RJCC,Sapporo/New Chitose,Sapporo, ,JAPAN,https://acukwik.com/Airport-Info/RJCC
RJCO,Sapporo/Okadama,Sapporo, ,JAPAN,https://acukwik.com/Airport-Info/RJCO
RJCJ,Sapporor/Chitose Kichi,Sapporo, ,JAPAN,https://acukwik.com/Airport-Info/RJCJ
RJSS,Sendai,Sendai, ,JAPAN,https://acukwik.com/Airport-Info/RJSS
RJSU,Sendai/Kasuminome,Sendai, ,JAPAN,https://acukwik.com/Airport-Info/RJSU
,Shikabe,Shikabe, ,JAPAN,https://acukwik.com/Airport-Info/ACMQMQP
RJTL,Shimofusa AB,Shimofusa, ,JAPAN,https://acukwik.com/Airport-Info/RJTL
RJDK,Shinkamigoto/Kamigoto,Shinkamigoto, ,JAPAN,https://acukwik.com/Airport-Info/RJDK
,Shinshinotsu,Shinshinotsu, ,JAPAN,https://acukwik.com/Airport-Info/ACMQNKM
,Shintoku,Shintoku, ,JAPAN,https://acukwik.com/Airport-Info/ACMQMQR
,Shiraoi,Shiraoi, ,JAPAN,https://acukwik.com/Airport-Info/ACMQNKN
RJNS,Mt Fuji/Shizuoka,Shizuoka, ,JAPAN,https://acukwik.com/Airport-Info/RJNS
RJTY,Tachikawa/Yokota AB,Tachikawa, ,JAPAN,https://acukwik.com/Airport-Info/RJTY
,Hokkaido Spaceport/Taiki,Taiki, ,JAPAN,https://acukwik.com/Airport-Info/ACMQMQT
RJOT,Takamatsu,Takamatsu, ,JAPAN,https://acukwik.com/Airport-Info/RJOT
,Taketa/Kuju,Taketa, ,JAPAN,https://acukwik.com/Airport-Info/ACMQNKR
,Takikawa Sky Park,Takikawa, ,JAPAN,https://acukwik.com/Airport-Info/ACMQMQQ
RJCT,Tokachi AB,Tokachi, ,JAPAN,https://acukwik.com/Airport-Info/RJCT
RJKN,Tokunoshima,Tokunoshima Isl, ,JAPAN,https://acukwik.com/Airport-Info/RJKN
RJOS,Tokushima,Tokushima, ,JAPAN,https://acukwik.com/Airport-Info/RJOS
RJAA,Narita International Tokyo,Tokyo, ,JAPAN,https://acukwik.com/Airport-Info/RJAA
RJTT,Tokyo International Haneda,Tokyo, ,JAPAN,https://acukwik.com/Airport-Info/RJTT
,Tohma (Toma),Toma, ,JAPAN,https://acukwik.com/Airport-Info/ACMQMQS
,Toshima/Suwanosejima Auxiliary Airfield,Toshima, ,JAPAN,https://acukwik.com/Airport-Info/ACMQMRO
RJOR,Tottori Sand Dunes Conan,Tottori, ,JAPAN,https://acukwik.com/Airport-Info/RJOR
RJNT,Toyama,Toyama, ,JAPAN,https://acukwik.com/Airport-Info/RJNT
RJAH,Tsuchiura/Ibaraki/Hyakuri AB,Tsuchiura, ,JAPAN,https://acukwik.com/Airport-Info/RJAH
RJFZ,Nakatsu/Tsuiki AB,Tsuiki , ,JAPAN,https://acukwik.com/Airport-Info/RJFZ
RJDT,Tsushima Yamaneko,Tsushima Isl, ,JAPAN,https://acukwik.com/Airport-Info/RJDT
RJDC,Ube/Yamaguchi Ube,Ube, ,JAPAN,https://acukwik.com/Airport-Info/RJDC
RJNW,Wajima/Noto,Wajima, ,JAPAN,https://acukwik.com/Airport-Info/RJNW
RJCW,Wakkanai,Wakkanai, ,JAPAN,https://acukwik.com/Airport-Info/RJCW
RJNY,Yaizu/Shizuhama AB,Yaizu, ,JAPAN,https://acukwik.com/Airport-Info/RJNY
RJFC,Yakushima,Yakushima Isl, ,JAPAN,https://acukwik.com/Airport-Info/RJFC
RJSC,Yamagata,Yamagata, ,JAPAN,https://acukwik.com/Airport-Info/RJSC
,Yoichi Nodo (Yoichi District Farm Road),Yoichi, ,JAPAN,https://acukwik.com/Airport-Info/ACMQMRL
RJOH,Yonago/Miho,Yonago, ,JAPAN,https://acukwik.com/Airport-Info/RJOH
RJDM,Yoshinogari/Metabaru Hikojo,Yoshinogari, ,JAPAN,https://acukwik.com/Airport-Info/RJDM
