ICAO,Airport Name,City,State,Country,Airport Link
UATE,Aktau,Aktau,MAN ,KAZAKHSTAN,https://acukwik.com/Airport-Info/UATE
UATT,Aktobe International (Aliya Moldagulova),Aktobe,AKT ,KAZAKHSTAN,https://acukwik.com/Airport-Info/UATT
UAAA,Almaty International,Almaty,ALA ,KAZAKHSTAN,https://acukwik.com/Airport-Info/UAAA
UATG,Atyrau,Atyrau,ATY ,KAZAKHSTAN,https://acukwik.com/Airport-Info/UATG
UAOL,Baikonur Krayniy (Extreme),Baikonur,KZY ,KAZAKHSTAN,https://acukwik.com/Airport-Info/UAOL
UAAH,Balkhash,Balkhash,KAR ,KAZAKHSTAN,https://acukwik.com/Airport-Info/UAAH
UAAR,Boralday,Boralday,ALM ,KAZAKHSTAN,https://acukwik.com/Airport-Info/UAAR
UASB,Ekibastuz,Ekibastuz,PAV ,KAZAKHSTAN,https://acukwik.com/Airport-Info/UASB
UAKK,Karagandy Sary Arka International,Karaganda,KAR ,KAZAKHSTAN,https://acukwik.com/Airport-Info/UAKK
UACK,Kokshetau,Kokshetau,AKM ,KAZAKHSTAN,https://acukwik.com/Airport-Info/UACK
UAUU,Kostanay,Kostanay,KUS ,KAZAKHSTAN,https://acukwik.com/Airport-Info/UAUU
UATZ,Tengiz,Kulsary,ATY ,KAZAKHSTAN,https://acukwik.com/Airport-Info/UATZ
UAOO,Kyzylorda,Kyzylorda,KZY ,KAZAKHSTAN,https://acukwik.com/Airport-Info/UAOO
UACC,Nursultan Nazabayev International,Nur-Sultan Astana,AKM ,KAZAKHSTAN,https://acukwik.com/Airport-Info/UACC
UASP,Pavlodar,Pavlodar,PAV ,KAZAKHSTAN,https://acukwik.com/Airport-Info/UASP
UACP,Petropavlovsk (South)/Petropavl,Petropavlovsk,SEV ,KAZAKHSTAN,https://acukwik.com/Airport-Info/UACP
UASS,Semey International,Semey,VOS ,KAZAKHSTAN,https://acukwik.com/Airport-Info/UASS
UAII,Shymkent International,Shymkent,YUZ ,KAZAKHSTAN,https://acukwik.com/Airport-Info/UAII
UAAT,Taldykorgan,Taldykorgan,ALM ,KAZAKHSTAN,https://acukwik.com/Airport-Info/UAAT
UADD,Taraz/Aulie-ata International,Taraz,ZHA ,KAZAKHSTAN,https://acukwik.com/Airport-Info/UADD
UAIT,Hazrat Sultan International (Turkistan),Turkistan,YUZ ,KAZAKHSTAN,https://acukwik.com/Airport-Info/UAIT
UARR,Uralsk,Uralsk,ZAP ,KAZAKHSTAN,https://acukwik.com/Airport-Info/UARR
UASU,Urzhar/Urdzhar,Urdzhar,VOS ,KAZAKHSTAN,https://acukwik.com/Airport-Info/UASU
UAAL,Usharal,Usharal,ALM ,KAZAKHSTAN,https://acukwik.com/Airport-Info/UAAL
UASK,Ust Kamenogorsk,Ust Kamenogorsk,VOS ,KAZAKHSTAN,https://acukwik.com/Airport-Info/UASK
UASZ,Zaysan/Zaisan,Zaisan,VOS ,KAZAKHSTAN,https://acukwik.com/Airport-Info/UASZ
UAKD,Zhezkazgan,Zhezkazgan,KAR ,KAZAKHSTAN,https://acukwik.com/Airport-Info/UAKD
