ICAO,Airport Name,City,State,Country,Airport Link
RKPK,Busan/Gimhae International,Busan, ,KOREA (SOUTH),https://acukwik.com/Airport-Info/RKPK
RKPP,Pusan or Busan AB,Busan, ,KOREA (SOUTH),https://acukwik.com/Airport-Info/RKPP
RKTU,Cheongju International,Cheongju, ,KOREA (SOUTH),https://acukwik.com/Airport-Info/RKTU
RKJU,Chonju/Jeonju,Chonju, ,KOREA (SOUTH),https://acukwik.com/Airport-Info/RKJU
RKTN,Daegu International,Daegu, ,KOREA (SOUTH),https://acukwik.com/Airport-Info/RKTN
RKNN,Gangneung AB,Gangneung , ,KOREA (SOUTH),https://acukwik.com/Airport-Info/RKNN
RKJK,Gunsan,Gunsan, ,KOREA (SOUTH),https://acukwik.com/Airport-Info/RKJK
RKJJ,Gwangju,Gwangju, ,KOREA (SOUTH),https://acukwik.com/Airport-Info/RKJJ
RKNW,Hoengsong/Wonju,Hoengsong, ,KOREA (SOUTH),https://acukwik.com/Airport-Info/RKNW
RKPD,Jeju Island/Jeongseok,Jeju, ,KOREA (SOUTH),https://acukwik.com/Airport-Info/RKPD
RKPC,Jeju Island/Jeju International,Jeju Isl, ,KOREA (SOUTH),https://acukwik.com/Airport-Info/RKPC
RKPE,Jinhae,Jinhae, ,KOREA (SOUTH),https://acukwik.com/Airport-Info/RKPE
RKJM,Mokpo,Mokpo, ,KOREA (SOUTH),https://acukwik.com/Airport-Info/RKJM
RKJB,Muan (GwangJu)/Muan Intl,Muan, ,KOREA (SOUTH),https://acukwik.com/Airport-Info/RKJB
RKTH,Pohang Gyeongju,Pohang, ,KOREA (SOUTH),https://acukwik.com/Airport-Info/RKTH
RKSO,Osan Air Base,Pyeongtaek, ,KOREA (SOUTH),https://acukwik.com/Airport-Info/RKSO
RKPS,Jinju/Sacheon,Sacheon, ,KOREA (SOUTH),https://acukwik.com/Airport-Info/RKPS
RKTE,Seongmu,Seongmu, ,KOREA (SOUTH),https://acukwik.com/Airport-Info/RKTE
RKSI,Incheon International,Seoul, ,KOREA (SOUTH),https://acukwik.com/Airport-Info/RKSI
RKSS,Seoul/Gimpo International,Seoul, ,KOREA (SOUTH),https://acukwik.com/Airport-Info/RKSS
RKSM,Sinchonri/Seoul AB (K-16),Seoul, ,KOREA (SOUTH),https://acukwik.com/Airport-Info/RKSM
RKND,Sokcho,Sokcho, ,KOREA (SOUTH),https://acukwik.com/Airport-Info/RKND
RKSW,Suwon AB,Suwon, ,KOREA (SOUTH),https://acukwik.com/Airport-Info/RKSW
RKTL,Uljin,Uljin, ,KOREA (SOUTH),https://acukwik.com/Airport-Info/RKTL
RKPU,Ulsan,Ulsan, ,KOREA (SOUTH),https://acukwik.com/Airport-Info/RKPU
RKNY,Yangyang International,Yangyang, ,KOREA (SOUTH),https://acukwik.com/Airport-Info/RKNY
RKTY,Yecheon,Yecheon, ,KOREA (SOUTH),https://acukwik.com/Airport-Info/RKTY
RKJY,Yeosu,Yeosu, ,KOREA (SOUTH),https://acukwik.com/Airport-Info/RKJY
