ICAO,Airport Name,City,State,Country,Airport Link
UCFB,Batken,Batken, ,KYRGYZSTAN,https://acukwik.com/Airport-Info/UCFB
UCFW,Bishkek/Kant AB,Bishkek, ,KYRGYZSTAN,https://acukwik.com/Airport-Info/UCFW
UCFM,Bishkek/Manas International,Bishkek, ,KYRGYZSTAN,https://acukwik.com/Airport-Info/UCFM
UCFD,Djalal-Abad,Jalal-Abad, ,KYRGYZSTAN,https://acukwik.com/Airport-Info/UCFD
UCFK,Karakol International,Karakol, ,KYRGYZSTAN,https://acukwik.com/Airport-Info/UCFK
UCFZ,Kazarman,Kazarman, ,KYRGYZSTAN,https://acukwik.com/Airport-Info/UCFZ
UCFV,Karavan (Kerben),Kerben, ,KYRGYZSTAN,https://acukwik.com/Airport-Info/UCFV
UCFN,Naryn,Naryn, ,KYRGYZSTAN,https://acukwik.com/Airport-Info/UCFN
UCFO,Osh International,Osh, ,KYRGYZSTAN,https://acukwik.com/Airport-Info/UCFO
UCFR,Razzakov,Razzakov, ,KYRGYZSTAN,https://acukwik.com/Airport-Info/UCFR
UCFT,Talas,Talas, ,KYRGYZSTAN,https://acukwik.com/Airport-Info/UCFT
UAFT,Talas,Talas, ,KYRGYZSTAN,https://acukwik.com/Airport-Info/UAFT
UCFL,Tamchy/Issyk-Kul,Tamchy, ,KYRGYZSTAN,https://acukwik.com/Airport-Info/UCFL
