ICAO,Airport Name,City,State,Country,Airport Link
FMNE,Ambilobe/Mahavavy,Ambilobe, ,MADAGASCAR,https://acukwik.com/Airport-Info/FMNE
FMNL,Analalavia,Analalavia, ,MADAGASCAR,https://acukwik.com/Airport-Info/FMNL
FMND,Andapa,Andapa, ,MADAGASCAR,https://acukwik.com/Airport-Info/FMND
FMNH,Antalaha/Antsirabato,Antalaha, ,MADAGASCAR,https://acukwik.com/Airport-Info/FMNH
FMMI,Antananarivo/Ivato,Antananarivo, ,MADAGASCAR,https://acukwik.com/Airport-Info/FMMI
FMMA,Arivonimamo AB,Antananarivo, ,MADAGASCAR,https://acukwik.com/Airport-Info/FMMA
FMME,Antsirabe,Antsirabe, ,MADAGASCAR,https://acukwik.com/Airport-Info/FMME
FMNA,Antsiranana/Arrachart,Antsiranana, ,MADAGASCAR,https://acukwik.com/Airport-Info/FMNA
FMNW,Antsohihy/Ambalabe,Antsohihy, ,MADAGASCAR,https://acukwik.com/Airport-Info/FMNW
FMNQ,Besalampy,Besalampy, ,MADAGASCAR,https://acukwik.com/Airport-Info/FMNQ
FMSF,Beravina/Fianarantsoa,Fianarantsoa, ,MADAGASCAR,https://acukwik.com/Airport-Info/FMSF
FMNM,Mahajanga/Philibert Tsiranana (Amborovy),Mahajanga, ,MADAGASCAR,https://acukwik.com/Airport-Info/FMNM
FMSK,Manakara Sud,Manakara, ,MADAGASCAR,https://acukwik.com/Airport-Info/FMSK
FMNC,Mananara - Avaratra,Mananara, ,MADAGASCAR,https://acukwik.com/Airport-Info/FMNC
FMSM,Pangalana/Mananjary,Mananjary, ,MADAGASCAR,https://acukwik.com/Airport-Info/FMSM
FMNR,Soanierama/Maroantsetra,Maroantsetra, ,MADAGASCAR,https://acukwik.com/Airport-Info/FMNR
FMMN,Miandrivazo,Miandrivazo, ,MADAGASCAR,https://acukwik.com/Airport-Info/FMMN
FMFE,Moramanga Ambohibary,Moramanga, ,MADAGASCAR,https://acukwik.com/Airport-Info/FMFE
FMSR,Morombe,Morombe, ,MADAGASCAR,https://acukwik.com/Airport-Info/FMSR
FMMV,Morondava/Tsimahavaokely,Morondava, ,MADAGASCAR,https://acukwik.com/Airport-Info/FMMV
FMNN,Nosy Be/Fascene,Nosy Be, ,MADAGASCAR,https://acukwik.com/Airport-Info/FMNN
FMMS,Sainte Marie,Sainte Marie, ,MADAGASCAR,https://acukwik.com/Airport-Info/FMMS
FMNS,Ambodisatrana/Sambava Sud,Sambava, ,MADAGASCAR,https://acukwik.com/Airport-Info/FMNS
FMMT,Ambalamanasy/Toamasina,Toamasina, ,MADAGASCAR,https://acukwik.com/Airport-Info/FMMT
FMSD,Tolagnaro/Marrillac,Tolagnaro, ,MADAGASCAR,https://acukwik.com/Airport-Info/FMSD
FMST,Akoranga/Toliary,Toliara, ,MADAGASCAR,https://acukwik.com/Airport-Info/FMST
FMNY,Doany,Vohemar, ,MADAGASCAR,https://acukwik.com/Airport-Info/FMNY
FMNV,Vohemar - Vohimarina,Vohemar, ,MADAGASCAR,https://acukwik.com/Airport-Info/FMNV
