ICAO,Airport Name,City,State,Country,Airport Link
WMKA,Alor Setar/Sultan Abdul Halim,Alor Setar, ,MALAYSIA,https://acukwik.com/Airport-Info/WMKA
WBGQ,Ba'kelalan,Ba'kelalan, ,MALAYSIA,https://acukwik.com/Airport-Info/WBGQ
WBGZ,Bario,Bario, ,MALAYSIA,https://acukwik.com/Airport-Info/WBGZ
WBGB,Bintulu,Bintulu, ,MALAYSIA,https://acukwik.com/Airport-Info/WBGB
WMKB,Butterworth AB,Butterworth, ,MALAYSIA,https://acukwik.com/Airport-Info/WMKB
WMKI,Ipoh/Sultan Azlan Shah,Ipoh, ,MALAYSIA,https://acukwik.com/Airport-Info/WMKI
WMGK,Gong Kedak AB,Jertih, ,MALAYSIA,https://acukwik.com/Airport-Info/WMGK
WMKJ,Johor Bahru/Senai International,Johor Bahru, ,MALAYSIA,https://acukwik.com/Airport-Info/WMKJ
WMKE,Kerteh ,Kerteh, ,MALAYSIA,https://acukwik.com/Airport-Info/WMKE
WMKC,Kota Bharu/Sultan Ismail Petra,Kota Bharu, ,MALAYSIA,https://acukwik.com/Airport-Info/WMKC
WBKK,Kota Kinabalu International,Kota Kinabalu, ,MALAYSIA,https://acukwik.com/Airport-Info/WBKK
,Layang-Layang (Swallow Reef),Kota Kinabalu, ,MALAYSIA,https://acukwik.com/Airport-Info/ACMQTSL
WMKF,Kuala Lumpur/Simpang AB,Kuala Lumpur, ,MALAYSIA,https://acukwik.com/Airport-Info/WMKF
WMSA,Kuala Lumpur/Sultan Abdul Aziz Shah/Subang,Kuala Lumpur, ,MALAYSIA,https://acukwik.com/Airport-Info/WMSA
WMKK,Sepang/Kuala Lumpur International,Kuala Lumpur, ,MALAYSIA,https://acukwik.com/Airport-Info/WMKK
WMKN,Kuala Terengganu/Sultan Mahmud,Kuala Terengganu, ,MALAYSIA,https://acukwik.com/Airport-Info/WMKN
WMKD,Kuantan/Sultan Ahmad Shah,Kuantan, ,MALAYSIA,https://acukwik.com/Airport-Info/WMKD
WBGG,Kuching International,Kuching, ,MALAYSIA,https://acukwik.com/Airport-Info/WBGG
WBKT,Kudat,Kudat, ,MALAYSIA,https://acukwik.com/Airport-Info/WBKT
WBKL,Labuan Island,Labuan Island, ,MALAYSIA,https://acukwik.com/Airport-Info/WBKL
WBKD,Lahad Datu,Lahad Datu, ,MALAYSIA,https://acukwik.com/Airport-Info/WBKD
WMKL,Pulau/Langkawi International,Langkawi, ,MALAYSIA,https://acukwik.com/Airport-Info/WMKL
WBGW,Lawas,Lawas, ,MALAYSIA,https://acukwik.com/Airport-Info/WBGW
WBGJ,Limbang,Limbang, ,MALAYSIA,https://acukwik.com/Airport-Info/WBGJ
WBGL,Long Banga,Long Banga, ,MALAYSIA,https://acukwik.com/Airport-Info/WBGL
WBGF,Long Lellang,Long Lellang, ,MALAYSIA,https://acukwik.com/Airport-Info/WBGF
WBGA,Long Akeh,Long San, ,MALAYSIA,https://acukwik.com/Airport-Info/WBGA
WBGI,Long Seridan,Long Seridan, ,MALAYSIA,https://acukwik.com/Airport-Info/WBGI
WMKM,Malacca Intl/(Melaka) Batu Berendam,Malacca, ,MALAYSIA,https://acukwik.com/Airport-Info/WMKM
WBGM,Marudi,Marudi, ,MALAYSIA,https://acukwik.com/Airport-Info/WBGM
WBGR,Miri,Miri, ,MALAYSIA,https://acukwik.com/Airport-Info/WBGR
WBGK,Mukah (New),Mukah, ,MALAYSIA,https://acukwik.com/Airport-Info/WBGK
WBMU,Mulu,Mulu, ,MALAYSIA,https://acukwik.com/Airport-Info/WBMU
WMPA,Pangkor Island,Pangkor, ,MALAYSIA,https://acukwik.com/Airport-Info/WMPA
WMKP,Penang International,Penang, ,MALAYSIA,https://acukwik.com/Airport-Info/WMKP
WMBT,Pulau Tioman,Pulau Tioman, ,MALAYSIA,https://acukwik.com/Airport-Info/WMBT
WMPR,Pulau Redang,Redang, ,MALAYSIA,https://acukwik.com/Airport-Info/WMPR
WBKS,Sandakan,Sandakan, ,MALAYSIA,https://acukwik.com/Airport-Info/WBKS
WBGS,Sibu,Sibu, ,MALAYSIA,https://acukwik.com/Airport-Info/WBGS
WBTM,Tanjung Manis,Tanjung Manis, ,MALAYSIA,https://acukwik.com/Airport-Info/WBTM
WBKW,Tawau,Tawau, ,MALAYSIA,https://acukwik.com/Airport-Info/WBKW
