ICAO,Airport Name,City,State,Country,Airport Link
VRMD,Dharavandhoo Island,Dharavandhoo Island, ,MALDIVES,https://acukwik.com/Airport-Info/VRMD
VRMR,Fuvahmulah,Fuvahmulah, ,MALDIVES,https://acukwik.com/Airport-Info/VRMR
VRMG,Gan/Addu International,Gan Island, ,MALDIVES,https://acukwik.com/Airport-Info/VRMG
VRMH,Hanimaadhoo International,Hanimaadhoo Isl, ,MALDIVES,https://acukwik.com/Airport-Info/VRMH
VRMM,Male (Ibrahim Nasir)/Velana International,Hulhule Island, ,MALDIVES,https://acukwik.com/Airport-Info/VRMM
VREI,Ifuru,Ifuru Island, ,MALDIVES,https://acukwik.com/Airport-Info/VREI
VRMT,Kaadedhdhoo,Kaadedhdhoo Isl, ,MALDIVES,https://acukwik.com/Airport-Info/VRMT
VRMK,Kadhdhoo,Kadhdhoo Isl, ,MALDIVES,https://acukwik.com/Airport-Info/VRMK
VRMO,Kooddoo,Kooddoo Isl, ,MALDIVES,https://acukwik.com/Airport-Info/VRMO
VRMU,Dhaalu,Kudahuvadhoo Island, ,MALDIVES,https://acukwik.com/Airport-Info/VRMU
VRDA,Maafaru International,Maafaru Atoll, ,MALDIVES,https://acukwik.com/Airport-Info/VRDA
VRMV,Villa International Maamigili Island,Maamigli Isl, ,MALDIVES,https://acukwik.com/Airport-Info/VRMV
VRNT,Thimarafushi Island,Thimarafushi, ,MALDIVES,https://acukwik.com/Airport-Info/VRNT
