ICAO,Airport Name,City,State,Country,Airport Link
GMAD,Agadir/Al Massira,Agadir, ,MOROCCO,https://acukwik.com/Airport-Info/GMAD
GMTA,Al Hoceima/Acharif Al Idrissi Intl,Al Hoceima, ,MOROCCO,https://acukwik.com/Airport-Info/GMTA
GMMB,Ben Slimane,Ben Slimane, ,MOROCCO,https://acukwik.com/Airport-Info/GMMB
GMMD,Beni Mellal International,Beni Mellal, ,MOROCCO,https://acukwik.com/Airport-Info/GMMD
GMFB,Bouarfa,Bouarfa, ,MOROCCO,https://acukwik.com/Airport-Info/GMFB
GMMN,Casablanca/Mohammed V Intl,Casablanca, ,MOROCCO,https://acukwik.com/Airport-Info/GMMN
GMMT,Casablanca/Tit Mellil,Casablanca, ,MOROCCO,https://acukwik.com/Airport-Info/GMMT
GMMH,Dakhla International,Dakhla, ,MOROCCO,https://acukwik.com/Airport-Info/GMMH
GMFK,Errachidia/Moulay Ali Cherif,Errachidia, ,MOROCCO,https://acukwik.com/Airport-Info/GMFK
GMMI,Mogador/Essaouira,Essaouira, ,MOROCCO,https://acukwik.com/Airport-Info/GMMI
GMFF,Fès–Saïss,Fes, ,MOROCCO,https://acukwik.com/Airport-Info/GMFF
GMAG,Guelmim/Guélmime,Guelmim, ,MOROCCO,https://acukwik.com/Airport-Info/GMAG
GMFI,Ifrane,Ifrane, ,MOROCCO,https://acukwik.com/Airport-Info/GMFI
GMMY,Kenitra AB,Kenitra , ,MOROCCO,https://acukwik.com/Airport-Info/GMMY
GMML,Laayoune/Hassan I,Laayoune, ,MOROCCO,https://acukwik.com/Airport-Info/GMML
GMMX,Marrakech/Menara,Marrakech, ,MOROCCO,https://acukwik.com/Airport-Info/GMMX
GMFM,Meknes/Bassatine AB,Meknes, ,MOROCCO,https://acukwik.com/Airport-Info/GMFM
GMMW,El Aroui/Nador,Nador, ,MOROCCO,https://acukwik.com/Airport-Info/GMMW
GMMZ,Ouarzazate International,Ouarzazate, ,MOROCCO,https://acukwik.com/Airport-Info/GMMZ
GMFO,Oujda/Angads,Oujda, ,MOROCCO,https://acukwik.com/Airport-Info/GMFO
GMME,Rabat Salé/1st Royal AB,Rabat, ,MOROCCO,https://acukwik.com/Airport-Info/GMME
GMSL,Sidi Slimane AB,Sidi Slimane, ,MOROCCO,https://acukwik.com/Airport-Info/GMSL
GMMA,Smara/Semara,Smara, ,MOROCCO,https://acukwik.com/Airport-Info/GMMA
GMAT,Plage Blanche/Tan Tan,Tan Tan, ,MOROCCO,https://acukwik.com/Airport-Info/GMAT
GMTT,Tanger/Ibn Batouta Intl,Tanger, ,MOROCCO,https://acukwik.com/Airport-Info/GMTT
GMTN,Tétouan/Saniat R'mel International,Tétouan, ,MOROCCO,https://acukwik.com/Airport-Info/GMTN
GMAZ,Zagora,Zagora, ,MOROCCO,https://acukwik.com/Airport-Info/GMAZ
