ICAO,Airport Name,City,State,Country,Airport Link
EHAM,Amsterdam Schiphol,Amsterdam, ,NETHERLANDS,https://acukwik.com/Airport-Info/EHAM
EHDL,Deelen AB,Arnhem, ,NETHERLANDS,https://acukwik.com/Airport-Info/EHDL
EHWO,Bergen/Woensdrecht,Bergen, ,NETHERLANDS,https://acukwik.com/Airport-Info/EHWO
EHSE,Breda International,Breda, ,NETHERLANDS,https://acukwik.com/Airport-Info/EHSE
EHGR,Breda/Gilze-Rijen AB,Breda, ,NETHERLANDS,https://acukwik.com/Airport-Info/EHGR
EHBD,Weert-Budel/Kempen,Budel, ,NETHERLANDS,https://acukwik.com/Airport-Info/EHBD
EHKD,Den Helder/De Kooy,Den Helder, ,NETHERLANDS,https://acukwik.com/Airport-Info/EHKD
EHTE,Deventer/Teuge,Deventer, ,NETHERLANDS,https://acukwik.com/Airport-Info/EHTE
EHDR,Drachten,Drachten, ,NETHERLANDS,https://acukwik.com/Airport-Info/EHDR
EHEH,Eindhoven,Eindhoven, ,NETHERLANDS,https://acukwik.com/Airport-Info/EHEH
EHTW,Enschede/Twente,Enschede, ,NETHERLANDS,https://acukwik.com/Airport-Info/EHTW
EHGG,Groningen Eelde,Groningen, ,NETHERLANDS,https://acukwik.com/Airport-Info/EHGG
EHHO,Hoogeveen,Hoogeveen, ,NETHERLANDS,https://acukwik.com/Airport-Info/EHHO
EHLW,Leeuwarden AB,Leeuwarden, ,NETHERLANDS,https://acukwik.com/Airport-Info/EHLW
EHLE,Lelystad,Lelystad, ,NETHERLANDS,https://acukwik.com/Airport-Info/EHLE
EHBK,Maastricht Aachen,Maastricht, ,NETHERLANDS,https://acukwik.com/Airport-Info/EHBK
EHMZ,Middelburg/Midden-Zeeland,Middelburg, ,NETHERLANDS,https://acukwik.com/Airport-Info/EHMZ
EHOW,Oostwold,Oostwold, ,NETHERLANDS,https://acukwik.com/Airport-Info/EHOW
EHRD,Rotterdam/The Hague,Rotterdam, ,NETHERLANDS,https://acukwik.com/Airport-Info/EHRD
EHTX,Texel,Texel, ,NETHERLANDS,https://acukwik.com/Airport-Info/EHTX
EHVK,Volkel AB,Uden, ,NETHERLANDS,https://acukwik.com/Airport-Info/EHVK
EHSB,Utrecht Soesterberg AB,Utrecht, ,NETHERLANDS,https://acukwik.com/Airport-Info/EHSB
EHDP,De Peel AB,Venray, ,NETHERLANDS,https://acukwik.com/Airport-Info/EHDP
