ICAO,Airport Name,City,State,Country,Airport Link
NZLX,Alexandra,Alexandra,OTA ,NEW ZEALAND,https://acukwik.com/Airport-Info/NZLX
NZAS,Ashburton-Canterbury,Ashburton,CAN ,NEW ZEALAND,https://acukwik.com/Airport-Info/NZAS
NZAR,Ardmore,Auckland,AUK ,NEW ZEALAND,https://acukwik.com/Airport-Info/NZAR
NZAA,Auckland International,Auckland,AUK ,NEW ZEALAND,https://acukwik.com/Airport-Info/NZAA
NZWP,Whenuapai AB,Auckland,AUK ,NEW ZEALAND,https://acukwik.com/Airport-Info/NZWP
NZBA,Balclutha,Balclutha,OTA ,NEW ZEALAND,https://acukwik.com/Airport-Info/NZBA
NZWB,Marlborough Blenheim (Woodbourne),Blenheim,MBH ,NEW ZEALAND,https://acukwik.com/Airport-Info/NZWB
NZOM,Omaka,Blenheim,MBH ,NEW ZEALAND,https://acukwik.com/Airport-Info/NZOM
NZCH,Christchurch International,Christchurch,CAN ,NEW ZEALAND,https://acukwik.com/Airport-Info/NZCH
NZGB,Claris/Great Barrier Island (Aotea),Claris,AUK ,NEW ZEALAND,https://acukwik.com/Airport-Info/NZGB
NZDV,Dannevirke,Dannevirke,MWT ,NEW ZEALAND,https://acukwik.com/Airport-Info/NZDV
NZDN,Dunedin Intl,Dunedin,OTA ,NEW ZEALAND,https://acukwik.com/Airport-Info/NZDN
NZTI,Taieri,Dunedin,OTA ,NEW ZEALAND,https://acukwik.com/Airport-Info/NZTI
NZFI,Feilding,Feilding,MWT ,NEW ZEALAND,https://acukwik.com/Airport-Info/NZFI
NZGS,Gisborne,Gisborne,GIS ,NEW ZEALAND,https://acukwik.com/Airport-Info/NZGS
NZGC,Gore Charlton,Gore,STL ,NEW ZEALAND,https://acukwik.com/Airport-Info/NZGC
NZGM,Greymouth,Greymouth,WTC ,NEW ZEALAND,https://acukwik.com/Airport-Info/NZGM
NZHN,Hamilton,Hamilton,WKO ,NEW ZEALAND,https://acukwik.com/Airport-Info/NZHN
NZTE,Te Kowhai,Hamilton,WKO ,NEW ZEALAND,https://acukwik.com/Airport-Info/NZTE
NZHM,Hanmer Springs River Road,Hanmer Springs,CAN ,NEW ZEALAND,https://acukwik.com/Airport-Info/NZHM
NZHS,Hastings,Hastings,HKB ,NEW ZEALAND,https://acukwik.com/Airport-Info/NZHS
NZHK,Hokitika,Hokitika,WTC ,NEW ZEALAND,https://acukwik.com/Airport-Info/NZHK
NZNV,Invercargill,Invercargill,STL ,NEW ZEALAND,https://acukwik.com/Airport-Info/NZNV
