ICAO,Airport Name,City,State,Country,Airport Link
OOAD,Adam,Adam, ,OMAN,https://acukwik.com/Airport-Info/OOAD
OODQ,Duqm,Duqm, ,OMAN,https://acukwik.com/Airport-Info/OODQ
OOJA,Duqm/Ja'aluni,Duqm, ,OMAN,https://acukwik.com/Airport-Info/OOJA
OOFD,Fahud,Fahud Camp, ,OMAN,https://acukwik.com/Airport-Info/OOFD
OOKB,Khasab AB,Khasab, ,OMAN,https://acukwik.com/Airport-Info/OOKB
OOMX,Marmul,Marmul Camp, ,OMAN,https://acukwik.com/Airport-Info/OOMX
OOMA,Masirah,Masirah Island, ,OMAN,https://acukwik.com/Airport-Info/OOMA
OOMK,Mukhaizna,Mukhaizna, ,OMAN,https://acukwik.com/Airport-Info/OOMK
OOMS,Muscat International,Muscat, ,OMAN,https://acukwik.com/Airport-Info/OOMS
OOGB,Qarn Alam,Qarn Alam Camp, ,OMAN,https://acukwik.com/Airport-Info/OOGB
OOSA,Salalah,Salalah, ,OMAN,https://acukwik.com/Airport-Info/OOSA
OOSH,Suhar (Sohar),Sohar, ,OMAN,https://acukwik.com/Airport-Info/OOSH
OOTH,Thumrait AB,Thumrait, ,OMAN,https://acukwik.com/Airport-Info/OOTH
