ICAO,Airport Name,City,State,Country,Airport Link
SGAS,Luque/Silvio Pettirossi International,Asuncion, ,PARAGUAY,https://acukwik.com/Airport-Info/SGAS
SGAY,Ayolas/Juan De Ayolas,Ayolas, ,PARAGUAY,https://acukwik.com/Airport-Info/SGAY
SGES,Ciudad Del Este/Guarani International,Ciudad Del Este, ,PARAGUAY,https://acukwik.com/Airport-Info/SGES
SGCO,Concepcion/Teniente Col Carmelo Peralta,Concepcion, ,PARAGUAY,https://acukwik.com/Airport-Info/SGCO
SGEN,Tte. Ramon Amin Ayub Gonzalez Internacional,Encarnacion, ,PARAGUAY,https://acukwik.com/Airport-Info/SGEN
SGOL,Fuerte Olimpo/Tte.1ro Inocencio Herebia,Fuerte Olimpo, ,PARAGUAY,https://acukwik.com/Airport-Info/SGOL
SGIB,Hernandarias/Itaipu-Binacional,Hernandarias, ,PARAGUAY,https://acukwik.com/Airport-Info/SGIB
SGME,Mariscal Estigarribia/ProDr Luis Maria Argana Intl,Mariscal Estigarribia, ,PARAGUAY,https://acukwik.com/Airport-Info/SGME
SGPJ,Pedro Juan Caballero/Dr Augusto R Fuster Intl,Pedro Juan Caballero, ,PARAGUAY,https://acukwik.com/Airport-Info/SGPJ
SGPI,Don Carlos Miguel Jimenez,Pilar, ,PARAGUAY,https://acukwik.com/Airport-Info/SGPI
,Puerto Vallemi/Dr. Juan Plate,Puerto Vallemi, ,PARAGUAY,https://acukwik.com/Airport-Info/ACMQTST
SGST,Santa Teresa,Santa Teresa, ,PARAGUAY,https://acukwik.com/Airport-Info/SGST
