ICAO,Airport Name,City,State,Country,Airport Link
SPHY,Andahuaylas,Andahuaylas, ,PERU,https://acukwik.com/Airport-Info/SPHY
SPAS,Andoas,Andoas, ,PERU,https://acukwik.com/Airport-Info/SPAS
SPDN,Angamos/Colonia Angamos,Angamos, ,PERU,https://acukwik.com/Airport-Info/SPDN
SPHZ,Anta Huaraz/Cmdte FAP German Arias Graziani,Anta Huaraz, ,PERU,https://acukwik.com/Airport-Info/SPHZ
SPRF,San Rafael,Antauta, ,PERU,https://acukwik.com/Airport-Info/SPRF
SPQU,Arequipa/Alfredo Rodriguez Ballon,Arequipa, ,PERU,https://acukwik.com/Airport-Info/SPQU
SPAY,Atalaya/Lt Gen Gerardo Perez Pinedo,Atalaya, ,PERU,https://acukwik.com/Airport-Info/SPAY
SPHO,Ayacucho/Col Alfredo Mendivil Duarte,Ayacucho, ,PERU,https://acukwik.com/Airport-Info/SPHO
SPBK,Breu/Tipisha,Breu, ,PERU,https://acukwik.com/Airport-Info/SPBK
SPBC,Caballococha,Caballococha, ,PERU,https://acukwik.com/Airport-Info/SPBC
SPJR,Cajamarca/M. Gen FAP Armando R Iglesias,Cajamarca, ,PERU,https://acukwik.com/Airport-Info/SPJR
SPPY,Chachapoyas,Chachapoyas, ,PERU,https://acukwik.com/Airport-Info/SPPY
SPGL,Chagual,Chagual, ,PERU,https://acukwik.com/Airport-Info/SPGL
SPHI,Chiclayo/Capt Jose A Q Gonzalez,Chiclayo, ,PERU,https://acukwik.com/Airport-Info/SPHI
SPEO,Chimbote/Teniente Jaime A de Montreuil Morales,Chimbote, ,PERU,https://acukwik.com/Airport-Info/SPEO
SPCC,Ciudad Constitucion,Ciudad Constitucion, ,PERU,https://acukwik.com/Airport-Info/SPCC
SPDR,Corrientes/Trompeteros,Corrientes, ,PERU,https://acukwik.com/Airport-Info/SPDR
SPZO,Cusco/Teniente A Velazco Astete Intl,Cusco, ,PERU,https://acukwik.com/Airport-Info/SPZO
SPEE,El Estrecho,El Estrecho, ,PERU,https://acukwik.com/Airport-Info/SPEE
SPEP,Puerto Esperanza,Esperanza, ,PERU,https://acukwik.com/Airport-Info/SPEP
SPIY,Espinar/Yauri,Espinar, ,PERU,https://acukwik.com/Airport-Info/SPIY
SPGB,Galilea,Galilea, ,PERU,https://acukwik.com/Airport-Info/SPGB
SPGP,Gueppi,Gueppi, ,PERU,https://acukwik.com/Airport-Info/SPGP
SPUC,Huamachuco,Huamachuco, ,PERU,https://acukwik.com/Airport-Info/SPUC
SPNC,Huanuco/Alferez FAP David F Fernandini,Huanuco, ,PERU,https://acukwik.com/Airport-Info/SPNC
SPBR,Iberia,Iberia, ,PERU,https://acukwik.com/Airport-Info/SPBR
SPLO,Ilo/Gen Jorge Fernandez Maldon,Ilo, ,PERU,https://acukwik.com/Airport-Info/SPLO
SPIN,Inapari,Inapari, ,PERU,https://acukwik.com/Airport-Info/SPIN
SPQT,Iquitos/Col FAP Francisco Secada Vignetta,Iquitos, ,PERU,https://acukwik.com/Airport-Info/SPQT
SPJE,Jaen/Shumba,Jaen, ,PERU,https://acukwik.com/Airport-Info/SPJE
SPJJ,Francisco Carle/Jauja,Jauja, ,PERU,https://acukwik.com/Airport-Info/SPJJ
SPJI,Juanjui,Juanjui, ,PERU,https://acukwik.com/Airport-Info/SPJI
SPJL,Inca Manco Capac Intl/Juliaca,Juliaca, ,PERU,https://acukwik.com/Airport-Info/SPJL
SPKI,Kiteni,Kiteni, ,PERU,https://acukwik.com/Airport-Info/SPKI
SPLH,Las Dunas,Las Dunas, ,PERU,https://acukwik.com/Airport-Info/SPLH
SPWT,Las Malvinas/Echarate,Las Malvinas, ,PERU,https://acukwik.com/Airport-Info/SPWT
SPJC,Lima Callao/Jorge Chavez Intl,Lima, ,PERU,https://acukwik.com/Airport-Info/SPJC
SPLP,Lima/Las Palmas AB,Lima, ,PERU,https://acukwik.com/Airport-Info/SPLP
SPWB,Walter Braedt Segu,Mancora, ,PERU,https://acukwik.com/Airport-Info/SPWB
SPMF,Mazamari/Mayor PNP Nancy Flores Paucar,Mazamari, ,PERU,https://acukwik.com/Airport-Info/SPMF
SPDO,Mollendo,Mollendo, ,PERU,https://acukwik.com/Airport-Info/SPDO
SPEQ,Moquegua/Cesar Torque Podesta,Moquegua, ,PERU,https://acukwik.com/Airport-Info/SPEQ
SPZA,Nasca/Maria Reiche Neuman,Nasca, ,PERU,https://acukwik.com/Airport-Info/SPZA
SPNM,Nuevo Mundo,Nuevo Mundo, ,PERU,https://acukwik.com/Airport-Info/SPNM
SPOR,Orcopampa,Orcopampa, ,PERU,https://acukwik.com/Airport-Info/SPOR
SPYO,Pacasmayo/Julian Palacin Fernandez,Pacasmayo, ,PERU,https://acukwik.com/Airport-Info/SPYO
SPIR,Patria,Patria, ,PERU,https://acukwik.com/Airport-Info/SPIR
SPIS,Pias,Pias, ,PERU,https://acukwik.com/Airport-Info/SPIS
SPSO,Pisco International,Pisco, ,PERU,https://acukwik.com/Airport-Info/SPSO
SPUR,Piura/Capitan Guillermo Concha Iberico,Piura, ,PERU,https://acukwik.com/Airport-Info/SPUR
SPCL,Cap FAP David Abenzur Rengifo Intl/Pucallpa,Pucallpa, ,PERU,https://acukwik.com/Airport-Info/SPCL
SPTU,Puerto Maldonado/Padre Aldamiz,Puerto Maldonado, ,PERU,https://acukwik.com/Airport-Info/SPTU
SPGA,Pata De Gallo,Quiruvilca, ,PERU,https://acukwik.com/Airport-Info/SPGA
SPJA,Rioja/Juan Simons Vela,Rioja, ,PERU,https://acukwik.com/Airport-Info/SPJA
SPLX,Lib Mandi Metropolitano,San Bartolo, ,PERU,https://acukwik.com/Airport-Info/SPLX
SPJN,San Juan De Marcona/San Juan Aposento,San Juan De Marcona, ,PERU,https://acukwik.com/Airport-Info/SPJN
SPLN,San Nicolas/Rodriguez de Mendoza,San Nicolas, ,PERU,https://acukwik.com/Airport-Info/SPLN
SPAC,Santa Maria de Nieva/Ciro Alegria,Santa Maria de Nieva, ,PERU,https://acukwik.com/Airport-Info/SPAC
SPTN,Tacna/Col Carlos Ciriani Santa Rosa,Tacna, ,PERU,https://acukwik.com/Airport-Info/SPTN
SPYL,Talara/Capitan Montes,Talara, ,PERU,https://acukwik.com/Airport-Info/SPYL
SPST,Cadet FAP G. del Castillo Paredes/Tarapoto,Tarapoto, ,PERU,https://acukwik.com/Airport-Info/SPST
SPGM,Tingo Maria,Tingo Maria, ,PERU,https://acukwik.com/Airport-Info/SPGM
SPCH,Tocache,Tocache, ,PERU,https://acukwik.com/Airport-Info/SPCH
SPRU,Cap Carlos Martinez de Pinillos/Trujillo Intl,Trujillo, ,PERU,https://acukwik.com/Airport-Info/SPRU
SPME,Tumbes/Capt FAP Pedro Canga Rodriguez,Tumbes, ,PERU,https://acukwik.com/Airport-Info/SPME
SPPN,Uchiza/Palmas Del Espino,Uchiza, ,PERU,https://acukwik.com/Airport-Info/SPPN
SPVI,Vicco,Vicco, ,PERU,https://acukwik.com/Airport-Info/SPVI
SPVN,Vilcashuaman,Vilcashuaman, ,PERU,https://acukwik.com/Airport-Info/SPVN
SPMS,Yurimaguas/Moises Benzaguen Rengifo,Yurimaguas, ,PERU,https://acukwik.com/Airport-Info/SPMS
