ICAO,Airport Name,City,State,Country,Airport Link
EPBY,Bydgoszcz,Bydgoszcz, ,POLAND,https://acukwik.com/Airport-Info/EPBY
EPCH,Czestochowa/Rudniki AB,Czestochowa, ,POLAND,https://acukwik.com/Airport-Info/EPCH
EPDE,Deblin AB,Deblin, ,POLAND,https://acukwik.com/Airport-Info/EPDE
EPGD,Gdansk Lech Walesa,Gdansk, ,POLAND,https://acukwik.com/Airport-Info/EPGD
EPOK,Gdynia/Oksywie AB,Gdynia, ,POLAND,https://acukwik.com/Airport-Info/EPOK
EPKM,Katowice Muchowiec,Katowice, ,POLAND,https://acukwik.com/Airport-Info/EPKM
EPKT,Katowice/Pyrzowice International,Katowice, ,POLAND,https://acukwik.com/Airport-Info/EPKT
EPKZ,Koszalin - Zegre Pomorskie,Koszalin, ,POLAND,https://acukwik.com/Airport-Info/EPKZ
EPKK,Krakow/Balice John Paul II Intl,Krakow, ,POLAND,https://acukwik.com/Airport-Info/EPKK
EPLK,Lask AB,Lask, ,POLAND,https://acukwik.com/Airport-Info/EPLK
EPCE,Cewice AB,Lebork, ,POLAND,https://acukwik.com/Airport-Info/EPCE
EPLY,Leczyca AB,Leczyca, ,POLAND,https://acukwik.com/Airport-Info/EPLY
EPLE,Legnica,Legnica, ,POLAND,https://acukwik.com/Airport-Info/EPLE
EPLL,Lodz,Lodz, ,POLAND,https://acukwik.com/Airport-Info/EPLL
EPLU,Lubin,Lubin, ,POLAND,https://acukwik.com/Airport-Info/EPLU
EPLB,Lublin,Lublin, ,POLAND,https://acukwik.com/Airport-Info/EPLB
EPMB,Malbork AB,Malbork, ,POLAND,https://acukwik.com/Airport-Info/EPMB
EPML,Mielec,Mielec, ,POLAND,https://acukwik.com/Airport-Info/EPML
EPMM,Minsk Mazowiecki AB,Minsk Mazowiecki, ,POLAND,https://acukwik.com/Airport-Info/EPMM
EPMI,Miroslawiec AB,Miroslawiec, ,POLAND,https://acukwik.com/Airport-Info/EPMI
EPNT,Nowy Targ,Nowy Targ, ,POLAND,https://acukwik.com/Airport-Info/EPNT
EPKN,Opole/Kamien Slaski,Opole, ,POLAND,https://acukwik.com/Airport-Info/EPKN
EPPI,Pila,Pila, ,POLAND,https://acukwik.com/Airport-Info/EPPI
EPPW,Powidz AB,Powidz, ,POLAND,https://acukwik.com/Airport-Info/EPPW
EPKS,Poznan Krzesiny AB,Poznan, ,POLAND,https://acukwik.com/Airport-Info/EPKS
EPPO,Poznan Lawica,Poznan, ,POLAND,https://acukwik.com/Airport-Info/EPPO
EPPR,Pruszcz Gdanski AB,Pruszcz Gdanski, ,POLAND,https://acukwik.com/Airport-Info/EPPR
EPRA,Radom-Sadkow,Radom, ,POLAND,https://acukwik.com/Airport-Info/EPRA
EPRZ,Rzeszow-Jasionka International,Rzeszow, ,POLAND,https://acukwik.com/Airport-Info/EPRZ
EPSO,Sochaczew AB,Sochaczew , ,POLAND,https://acukwik.com/Airport-Info/EPSO
EPSN,Swidwin AB,Swidwin, ,POLAND,https://acukwik.com/Airport-Info/EPSN
EPSC,Szczecin/Goleniow,Szczecin, ,POLAND,https://acukwik.com/Airport-Info/EPSC
EPSY,Olsztyn-Mazury,Szczytno, ,POLAND,https://acukwik.com/Airport-Info/EPSY
EPTM,Tomaszow Mazowiecki AB,Tomaszow Mazowiecki, ,POLAND,https://acukwik.com/Airport-Info/EPTM
EPTO,Torun,Torun, ,POLAND,https://acukwik.com/Airport-Info/EPTO
EPBC,Warsaw Babice,Warsaw, ,POLAND,https://acukwik.com/Airport-Info/EPBC
EPWA,Warsaw Chopin,Warsaw, ,POLAND,https://acukwik.com/Airport-Info/EPWA
EPMO,Warsaw-Modlin,Warsaw, ,POLAND,https://acukwik.com/Airport-Info/EPMO
EPWR,Wroclaw Strachowice/Copernicus,Wroclaw, ,POLAND,https://acukwik.com/Airport-Info/EPWR
EPZG,Zielona Gora Babimost,Zielona Gora, ,POLAND,https://acukwik.com/Airport-Info/EPZG
