ICAO,Airport Name,City,State,Country,Airport Link
UNAA,Abakan,Abakan, ,RUSSIAN FEDERATION,https://acukwik.com/Airport-Info/UNAA
UEEA,Aldan,Aldan,SAK ,RUSSIAN FEDERATION,https://acukwik.com/Airport-Info/UEEA
UHMA,Anadyr/Ugolny,Anadyr,CHU ,RUSSIAN FEDERATION,https://acukwik.com/Airport-Info/UHMA
URKA,Anapa/Vityazevo,Anapa, ,RUSSIAN FEDERATION,https://acukwik.com/Airport-Info/URKA
ULMK,Kirovsk,Apatity,MUR ,RUSSIAN FEDERATION,https://acukwik.com/Airport-Info/ULMK
ULAA,Arkhangelsk/Talagi,Arkhangelsk,ARK ,RUSSIAN FEDERATION,https://acukwik.com/Airport-Info/ULAA
ULAH,Arkhangelsk/Vaskovo,Arkhangelsk,ARK ,RUSSIAN FEDERATION,https://acukwik.com/Airport-Info/ULAH
URWA,Astrakhan/Narimanovo,Astrakhan,AST ,RUSSIAN FEDERATION,https://acukwik.com/Airport-Info/URWA
UNBB,Barnaul Intl/Mikhaylovka/Gherman Titov,Barnaul, ,RUSSIAN FEDERATION,https://acukwik.com/Airport-Info/UNBB
UEBB,Batagay,Batagay, ,RUSSIAN FEDERATION,https://acukwik.com/Airport-Info/UEBB
UUOB,Belgorod,Belgorod,BEL ,RUSSIAN FEDERATION,https://acukwik.com/Airport-Info/UUOB
UHBB,Blagoveshchensk/Ignatyevo,Blagoveshchensk,AMU ,RUSSIAN FEDERATION,https://acukwik.com/Airport-Info/UHBB
UIBB,Bratsk,Bratsk,IRK ,RUSSIAN FEDERATION,https://acukwik.com/Airport-Info/UIBB
UUBP,Bryansk,Bryansk,BRY ,RUSSIAN FEDERATION,https://acukwik.com/Airport-Info/UUBP
UWKB,Bugulma,Bugulma, ,RUSSIAN FEDERATION,https://acukwik.com/Airport-Info/UWKB
UWKS,Cheboksary/Senyaly,Cheboksary, ,RUSSIAN FEDERATION,https://acukwik.com/Airport-Info/UWKS
USCC,Chelyabinsk-Balandino,Chelyabinsk,CHE ,RUSSIAN FEDERATION,https://acukwik.com/Airport-Info/USCC
ULWC,Cherepovets,Cherepovets,VLG ,RUSSIAN FEDERATION,https://acukwik.com/Airport-Info/ULWC
UESS,Chersky/Cherskiy,Chersky, ,RUSSIAN FEDERATION,https://acukwik.com/Airport-Info/UESS
UIAA,Chita/Kadala,Chita, ,RUSSIAN FEDERATION,https://acukwik.com/Airport-Info/UIAA
URWI,Elista,Elista, ,RUSSIAN FEDERATION,https://acukwik.com/Airport-Info/URWI
URKG,Gelendzhik,Gelendzhik, ,RUSSIAN FEDERATION,https://acukwik.com/Airport-Info/URKG
URMG,Grozny - Severny,Grozny, ,RUSSIAN FEDERATION,https://acukwik.com/Airport-Info/URMG
UIII,Irkutsk,Irkutsk,IRK ,RUSSIAN FEDERATION,https://acukwik.com/Airport-Info/UIII
UUBI,Ivanovo/Yuzhny,Ivanovo,IVA ,RUSSIAN FEDERATION,https://acukwik.com/Airport-Info/UUBI
USII,Izhevsk,Izhevsk, ,RUSSIAN FEDERATION,https://acukwik.com/Airport-Info/USII
UMKK,Kaliningrad/Khrabrovo,Kaliningrad,KGD ,RUSSIAN FEDERATION,https://acukwik.com/Airport-Info/UMKK
UUBC,Kaluga/Grabtsevo,Kaluga, ,RUSSIAN FEDERATION,https://acukwik.com/Airport-Info/UUBC
UWKD,Kazan,Kazan, ,RUSSIAN FEDERATION,https://acukwik.com/Airport-Info/UWKD
UNEE,Kemerovo International/Alexei Leonov,Kemerovo,KEM ,RUSSIAN FEDERATION,https://acukwik.com/Airport-Info/UNEE
UHHH,Khabarovsk/Novy,Khabarovsk, ,RUSSIAN FEDERATION,https://acukwik.com/Airport-Info/UHHH
USHH,Khanty Mansiysk,Khanty Mansiysk, ,RUSSIAN FEDERATION,https://acukwik.com/Airport-Info/USHH
UOHH,Khatanga,Khatanga, ,RUSSIAN FEDERATION,https://acukwik.com/Airport-Info/UOHH
