ICAO,Airport Name,City,State,Country,Airport Link
GOTB,Bakel,Bakel, ,SENEGAL,https://acukwik.com/Airport-Info/GOTB
GOGS,Cap Skiring,Cap Skiring, ,SENEGAL,https://acukwik.com/Airport-Info/GOGS
GOBD,Dakar/Blaise Diagne (Diass) International,Dakar, ,SENEGAL,https://acukwik.com/Airport-Info/GOBD
GOOY,Dakar/Leopold Sedar Senghor Intl,Dakar-Yoff, ,SENEGAL,https://acukwik.com/Airport-Info/GOOY
GOTK,Kedougou,Kedougou, ,SENEGAL,https://acukwik.com/Airport-Info/GOTK
GODK,Kolda North,Kolda, ,SENEGAL,https://acukwik.com/Airport-Info/GODK
GOSM,Ouro Sogui/Matam,Matam, ,SENEGAL,https://acukwik.com/Airport-Info/GOSM
GOSS,Saint Louis,Saint Louis, ,SENEGAL,https://acukwik.com/Airport-Info/GOSS
GOTT,Tambacounda,Tambacounda, ,SENEGAL,https://acukwik.com/Airport-Info/GOTT
GOGG,Ziguinchor,Ziguinchor, ,SENEGAL,https://acukwik.com/Airport-Info/GOGG
