ICAO,Airport Name,City,State,Country,Airport Link
LEAB,Albacete Los Llanos,Albacete, ,SPAIN,https://acukwik.com/Airport-Info/LEAB
LEAL,Alicante/Elche Miguel Hernández,Alicante, ,SPAIN,https://acukwik.com/Airport-Info/LEAL
LEAM,Almeria,Almeria, ,SPAIN,https://acukwik.com/Airport-Info/LEAM
LECD,La Cerdana,Alp, ,SPAIN,https://acukwik.com/Airport-Info/LECD
LEAS,Asturias,Asturias, ,SPAIN,https://acukwik.com/Airport-Info/LEAS
LEMR,Asturias/La Morgal,Asturias, ,SPAIN,https://acukwik.com/Airport-Info/LEMR
LEBZ,Badajoz/Talavera La Real,Badajoz, ,SPAIN,https://acukwik.com/Airport-Info/LEBZ
LEBL,Josep Tarradellas Barcelona-El Prat,Barcelona, ,SPAIN,https://acukwik.com/Airport-Info/LEBL
LEBB,Bilbao,Bilbao, ,SPAIN,https://acukwik.com/Airport-Info/LEBB
LEBG,Burgos Villafria,Burgos, ,SPAIN,https://acukwik.com/Airport-Info/LEBG
LERT,Cadiz Rota AB,Cadiz, ,SPAIN,https://acukwik.com/Airport-Info/LERT
LEMT,Casarrubios Del Monte,Casarrubios Del Monte, ,SPAIN,https://acukwik.com/Airport-Info/LEMT
LECH,Castellon Costa Azahar,Castellon, ,SPAIN,https://acukwik.com/Airport-Info/LECH
LECN,Castellon-Pinar,Castellon De La Plana, ,SPAIN,https://acukwik.com/Airport-Info/LECN
LERL,Ciudad Real Central,Ciudad Real, ,SPAIN,https://acukwik.com/Airport-Info/LERL
LEPZ,Ciudad Real/Pozuelos De Calatrav,Ciudad Real, ,SPAIN,https://acukwik.com/Airport-Info/LEPZ
LEIZ,La Perdiz,Ciudad Real, ,SPAIN,https://acukwik.com/Airport-Info/LEIZ
LEBA,Cordoba,Cordoba, ,SPAIN,https://acukwik.com/Airport-Info/LEBA
LEGE,Girona/Costa Brava,Girona, ,SPAIN,https://acukwik.com/Airport-Info/LEGE
LEGR,Federico Garcia Lorca Granada-Jaen,Granada, ,SPAIN,https://acukwik.com/Airport-Info/LEGR
LEGA,Granada Armilla AB,Granada, ,SPAIN,https://acukwik.com/Airport-Info/LEGA
LERM,Guadalajara/Robledillo De Mohernando,Guadalajara, ,SPAIN,https://acukwik.com/Airport-Info/LERM
LEHC,Huesca/(Monflorite-Alcala) Pirineos,Huesca, ,SPAIN,https://acukwik.com/Airport-Info/LEHC
LEIB,Ibiza,Ibiza, ,SPAIN,https://acukwik.com/Airport-Info/LEIB
LEJR,Jerez de la Frontera,Jerez, ,SPAIN,https://acukwik.com/Airport-Info/LEJR
LECO,A Coruna,La Coruna, ,SPAIN,https://acukwik.com/Airport-Info/LECO
LETI,El Tietar (La Iglesuela),La Iglesuela del Tietar, ,SPAIN,https://acukwik.com/Airport-Info/LETI
LERJ,La Rioja/Logrono-Agoncillo,La Rioja, ,SPAIN,https://acukwik.com/Airport-Info/LERJ
LESU,Andorra-La Seu d'Urgell,La Seu D'Urgell, ,SPAIN,https://acukwik.com/Airport-Info/LESU
LELN,Leon,Leon, ,SPAIN,https://acukwik.com/Airport-Info/LELN
LELT,Lillo,Lillo, ,SPAIN,https://acukwik.com/Airport-Info/LELT
LEDA,Lleida Alguaire,Lleida, ,SPAIN,https://acukwik.com/Airport-Info/LEDA
LERO,Lugo/Rozas,Lugo, ,SPAIN,https://acukwik.com/Airport-Info/LERO
LEGT,Madrid Getafe AB,Madrid, ,SPAIN,https://acukwik.com/Airport-Info/LEGT
LETO,Madrid Torrejon,Madrid, ,SPAIN,https://acukwik.com/Airport-Info/LETO
LEMD,Madrid/Adolfo Suarez Madrid Barajas,Madrid, ,SPAIN,https://acukwik.com/Airport-Info/LEMD
LECU,Madrid/Cuatro Vientos,Madrid, ,SPAIN,https://acukwik.com/Airport-Info/LECU
LESL,Mahon/San Luis,Mahón Menorca, ,SPAIN,https://acukwik.com/Airport-Info/LESL
LEMG,Malaga/Costa del Sol,Malaga, ,SPAIN,https://acukwik.com/Airport-Info/LEMG
GEML,Melilla,Melilla, ,SPAIN,https://acukwik.com/Airport-Info/GEML
LEMH,Menorca/Minorca-Mahon,Menorca, ,SPAIN,https://acukwik.com/Airport-Info/LEMH
LEDC,Montiel/La Cuesta,Montiel, ,SPAIN,https://acukwik.com/Airport-Info/LEDC
LELH,Alhama de Murcia,Murcia, ,SPAIN,https://acukwik.com/Airport-Info/LELH
LERI,Murcia Alcantarilla AB,Murcia, ,SPAIN,https://acukwik.com/Airport-Info/LERI
