ICAO,Airport Name,City,State,Country,Airport Link
OMAA,Abu Dhabi International,Abu Dhabi,AZ ,UNITED ARAB EMIRATES,https://acukwik.com/Airport-Info/OMAA
OMAM,Abu Dhabi/(Muqatra)Al Dhafra AB,Abu Dhabi,AZ ,UNITED ARAB EMIRATES,https://acukwik.com/Airport-Info/OMAM
OMAD,Al Bateen Executive International,Abu Dhabi,AZ ,UNITED ARAB EMIRATES,https://acukwik.com/Airport-Info/OMAD
OMAL,Al Ain International,Al Ain,AZ ,UNITED ARAB EMIRATES,https://acukwik.com/Airport-Info/OMAL
OMAJ,Jebel Dhana,Al Dhannah,AZ ,UNITED ARAB EMIRATES,https://acukwik.com/Airport-Info/OMAJ
OMAZ,Zirku,Al Zarqa Island,AZ ,UNITED ARAB EMIRATES,https://acukwik.com/Airport-Info/OMAZ
OMAR,Arzanah,Arzanah,AZ ,UNITED ARAB EMIRATES,https://acukwik.com/Airport-Info/OMAR
OMAS,Das Island,Das Island,AZ ,UNITED ARAB EMIRATES,https://acukwik.com/Airport-Info/OMAS
OMDL,Delma Island (Dalma),Delma Island,AZ ,UNITED ARAB EMIRATES,https://acukwik.com/Airport-Info/OMDL
OMDW,Al Maktoum International - Dubai South,Dubai,DU ,UNITED ARAB EMIRATES,https://acukwik.com/Airport-Info/OMDW
OMDB,Dubai International,Dubai,DU ,UNITED ARAB EMIRATES,https://acukwik.com/Airport-Info/OMDB
OMDM,Minhad AB,Dubai,DU ,UNITED ARAB EMIRATES,https://acukwik.com/Airport-Info/OMDM
OMFJ,Fujairah International,Fujairah,FU ,UNITED ARAB EMIRATES,https://acukwik.com/Airport-Info/OMFJ
OMAG,Kizad,Kizad,AZ ,UNITED ARAB EMIRATES,https://acukwik.com/Airport-Info/OMAG
OMRK,Ras Al Khaimah International,Ras Al Khaimah,RK ,UNITED ARAB EMIRATES,https://acukwik.com/Airport-Info/OMRK
OMSJ,Sharjah International,Sharjah,SH ,UNITED ARAB EMIRATES,https://acukwik.com/Airport-Info/OMSJ
OMBY,Sir Bani Yas,Sir Bani Yas Isl,AZ ,UNITED ARAB EMIRATES,https://acukwik.com/Airport-Info/OMBY
OMUQ,Umm al Quwain,Umm al Quwain,UQ ,UNITED ARAB EMIRATES,https://acukwik.com/Airport-Info/OMUQ
