ICAO,Airport Name,City,State,Country,Airport Link
SUAG,Artigas International,Artigas, ,URUGUAY,https://acukwik.com/Airport-Info/SUAG
SUCM,Carmelo International/Zagarzazu,Carmelo, ,URUGUAY,https://acukwik.com/Airport-Info/SUCM
SUCA,Colonia/Laguna de Los Patos,Colonia, ,URUGUAY,https://acukwik.com/Airport-Info/SUCA
SUDU,Durazno/Santa Bernardina Intl de Alternativa,Durazno, ,URUGUAY,https://acukwik.com/Airport-Info/SUDU
SUMO,Melo/Cerro Largo International,Melo, ,URUGUAY,https://acukwik.com/Airport-Info/SUMO
SUME,Mercedes/Ricardo Detomasi,Mercedes, ,URUGUAY,https://acukwik.com/Airport-Info/SUME
SUAA,Montevideo/Angel S Adami International,Montevideo, ,URUGUAY,https://acukwik.com/Airport-Info/SUAA
SUMU,Montevideo/Gen Cesareo L Berisso-Carrasco Intl,Montevideo, ,URUGUAY,https://acukwik.com/Airport-Info/SUMU
SUPU,Paysandù/Tydeo Larre Borges International,Paysandu, ,URUGUAY,https://acukwik.com/Airport-Info/SUPU
SUPE,Punta Del Este/El Jaguel,Punta Del Este, ,URUGUAY,https://acukwik.com/Airport-Info/SUPE
SULS,Punta del Este/Laguna del Sauce/Capt C Curbelo,Punta del Este, ,URUGUAY,https://acukwik.com/Airport-Info/SULS
SURB,Rio Branco,Rio Branco, ,URUGUAY,https://acukwik.com/Airport-Info/SURB
SURV,Presidente Gen Oscar D Gestico/Rivera Intl,Rivera, ,URUGUAY,https://acukwik.com/Airport-Info/SURV
SUSO,Salto/Nueva Hesperides International,Salto, ,URUGUAY,https://acukwik.com/Airport-Info/SUSO
SUTB,Tacuarembó,Tacuarembo, ,URUGUAY,https://acukwik.com/Airport-Info/SUTB
SUTR,Treinta Y Tres,Treinta Y Tres, ,URUGUAY,https://acukwik.com/Airport-Info/SUTR
SUVO,Vichadero,Vichadero, ,URUGUAY,https://acukwik.com/Airport-Info/SUVO
