ICAO,Airport Name,City,State,Country,Airport Link
,Johns Hopkins Hospital Critical Care Tower,Baltimore,MD ,USA,https://acukwik.com/Airport-Info/17MD
,Marriott Parking Garage Rooftop,Baltimore,MD ,USA,https://acukwik.com/Airport-Info/24MD
KMTN,Martin State,Baltimore,MD ,USA,https://acukwik.com/Airport-Info/KMTN
,Medstar Franklin,Baltimore,MD ,USA,https://acukwik.com/Airport-Info/90MD
,Miller Farm Landing Strip,Baltimore,OH ,USA,https://acukwik.com/Airport-Info/7B4
,Montebello Filtration Plant,Baltimore,MD ,USA,https://acukwik.com/Airport-Info/8MD2
,Pier 7,Baltimore,MD ,USA,https://acukwik.com/Airport-Info/4MD
,Sinai Ii,Baltimore,MD ,USA,https://acukwik.com/Airport-Info/8MD3
,St Agnes Health Care,Baltimore,MD ,USA,https://acukwik.com/Airport-Info/12MD
,Union Memorial Hospital,Baltimore,MD ,USA,https://acukwik.com/Airport-Info/44MD
,University Of Maryland Shock Trauma Center,Baltimore,MD ,USA,https://acukwik.com/Airport-Info/MD71
,Bamberg County,Bamberg,SC ,USA,https://acukwik.com/Airport-Info/99N
,Bamberg County Memorial Hospital,Bamberg,SC ,USA,https://acukwik.com/Airport-Info/SC49
,Bancroft Municipal,Bancroft,ID ,USA,https://acukwik.com/Airport-Info/U51
,Bains Private,Bandera,TX ,USA,https://acukwik.com/Airport-Info/20TS
,Baltzell's Las Brisas,Bandera,TX ,USA,https://acukwik.com/Airport-Info/3TA3
,Bandera State,Bandera,WA ,USA,https://acukwik.com/Airport-Info/4W0
,Flying L,Bandera,TX ,USA,https://acukwik.com/Airport-Info/TE90
,Lobo Mountain Ranch,Bandera,TX ,USA,https://acukwik.com/Airport-Info/TE21
,Bandon State,Bandon,OR ,USA,https://acukwik.com/Airport-Info/S05
KBGR,Bangor International,Bangor,ME ,USA,https://acukwik.com/Airport-Info/KBGR
,Eastern Maine Medical Center,Bangor,ME ,USA,https://acukwik.com/Airport-Info/ME02
,Hallett's,Bangor,PA ,USA,https://acukwik.com/Airport-Info/8PN2
,Lucky Landing Marina,Bangor,ME ,USA,https://acukwik.com/Airport-Info/06B
,Chadwick,Banks,OR ,USA,https://acukwik.com/Airport-Info/OR27
,Fishback,Banks,OR ,USA,https://acukwik.com/Airport-Info/9OR7
,Rieben,Banks,OR ,USA,https://acukwik.com/Airport-Info/OG02
,Charles A Cannon Jr Memorial Hospital,Banner Elk,NC ,USA,https://acukwik.com/Airport-Info/NC07
,Diamond Creek #1,Banner Elk,NC ,USA,https://acukwik.com/Airport-Info/1NC7
,Diamond Creek #2,Banner Elk,NC ,USA,https://acukwik.com/Airport-Info/7NC8
,Elk River,Banner Elk,NC ,USA,https://acukwik.com/Airport-Info/NC06
KBNG,Banning Municipal,Banning,CA ,USA,https://acukwik.com/Airport-Info/KBNG
,San Gorgonio Memorial Hospital,Banning,CA ,USA,https://acukwik.com/Airport-Info/60CN
,Shady Lawn Field,Bannister,MI ,USA,https://acukwik.com/Airport-Info/4M4
,Bannock,Bannock,OH ,USA,https://acukwik.com/Airport-Info/2D6
,Acadian,Bar Harbor,ME ,USA,https://acukwik.com/Airport-Info/ME07
,Bar Harbor,Bar Harbor,ME ,USA,https://acukwik.com/Airport-Info/22ME
KBHB,Hancock County/Bar Harbor,Bar Harbor,ME ,USA,https://acukwik.com/Airport-Info/KBHB
KDLL,Baraboo/Wisconsin Dells Regional,Baraboo,WI ,USA,https://acukwik.com/Airport-Info/KDLL
,St Clare Hospital,Baraboo,WI ,USA,https://acukwik.com/Airport-Info/WI30
,Thiessen Field,Baraboo,WI ,USA,https://acukwik.com/Airport-Info/34WI
,Baranof Warm Springs Float And Seaplane Float,Baranof,AK ,USA,https://acukwik.com/Airport-Info/BNF
,Barbourville Arh,Barbourville,KY ,USA,https://acukwik.com/Airport-Info/7KY5
,Flaget Memorial Hospital,Bardstown,KY ,USA,https://acukwik.com/Airport-Info/5KY1
KBRY,Samuels Field,Bardstown,KY ,USA,https://acukwik.com/Airport-Info/KBRY
,Flying O,Bardwell,TX ,USA,https://acukwik.com/Airport-Info/TX29
,Bronson,Bargersville,IN ,USA,https://acukwik.com/Airport-Info/II93
,Kephart Field,Bargersville,IN ,USA,https://acukwik.com/Airport-Info/IN01
,Flying Bull Ranch,Barksdale,TX ,USA,https://acukwik.com/Airport-Info/TA52
,Dixon,Barlow,MS ,USA,https://acukwik.com/Airport-Info/20MS
,Rod's Sod,Barlow,OH ,USA,https://acukwik.com/Airport-Info/OH55
,Monsalvat Farm Holdings Llc,Barnard,VT ,USA,https://acukwik.com/Airport-Info/19VT
,Barnes Air Field,Barnes,TX ,USA,https://acukwik.com/Airport-Info/65XA
,Ag Spray Inc,Barnesville,MN ,USA,https://acukwik.com/Airport-Info/94MN
,Antique Acres,Barnesville,GA ,USA,https://acukwik.com/Airport-Info/GA59
,Barnesville Municipal,Barnesville,MN ,USA,https://acukwik.com/Airport-Info/9MN3
,Barnesville/Bradfield,Barnesville,OH ,USA,https://acukwik.com/Airport-Info/6G5
,Janssen,Barnesville,MN ,USA,https://acukwik.com/Airport-Info/9MN5
,Little Tobesofkee Creek Ranch,Barnesville,GA ,USA,https://acukwik.com/Airport-Info/GA86
,Goerger,Barney,ND ,USA,https://acukwik.com/Airport-Info/0NA1
,Hager Strip,Barney,ND ,USA,https://acukwik.com/Airport-Info/NA55
,Moffet Airstrip,Barney,ND ,USA,https://acukwik.com/Airport-Info/NA56
,Seapuit,Barnstable,MA ,USA,https://acukwik.com/Airport-Info/3MA3
KBNL,Barnwell Regional,Barnwell,SC ,USA,https://acukwik.com/Airport-Info/KBNL
,Baroda,Baroda,MI ,USA,https://acukwik.com/Airport-Info/MI68
,Barre-Bassett,Barre,MA ,USA,https://acukwik.com/Airport-Info/24MA
,Central Vermont Medical Center,Barre,VT ,USA,https://acukwik.com/Airport-Info/VT65
KMPV,Edward F Knapp State,Barre-Montpelier,VT ,USA,https://acukwik.com/Airport-Info/KMPV
,Advocate Good Shepherd Hospital,Barrington,IL ,USA,https://acukwik.com/Airport-Info/IL08
,Barron Municipal,Barron,WI ,USA,https://acukwik.com/Airport-Info/9Y7
,Mayo Clinic Health System-Northland,Barron,WI ,USA,https://acukwik.com/Airport-Info/WI34
PABR,Wiley Post/Will Rogers Memorial,Barrow,AK ,USA,https://acukwik.com/Airport-Info/PABR
,Air Methods Barstow,Barstow,CA ,USA,https://acukwik.com/Airport-Info/30CN
,Barstow Community Hospital,Barstow,CA ,USA,https://acukwik.com/Airport-Info/CL17
,Barstow Service Center,Barstow,CA ,USA,https://acukwik.com/Airport-Info/9CA1
,Goldstone /GTS,Barstow,CA ,USA,https://acukwik.com/Airport-Info/00CA
,Ludlow,Barstow,CA ,USA,https://acukwik.com/Airport-Info/5CA4
,Ord Mountain,Barstow,CA ,USA,https://acukwik.com/Airport-Info/5CA2
KBVO,Bartlesville Municipal,Bartlesville,OK ,USA,https://acukwik.com/Airport-Info/KBVO
,Flying Eagle Estates,Bartlesville,OK ,USA,https://acukwik.com/Airport-Info/9OK3
,Jane Phillips,Bartlesville,OK ,USA,https://acukwik.com/Airport-Info/58OK
,Viskup Family Field,Bartlesville,OK ,USA,https://acukwik.com/Airport-Info/0OK2
,7up Ranch,Bartlett,KS ,USA,https://acukwik.com/Airport-Info/75KS
,Landgren Ranch,Bartlett,NE ,USA,https://acukwik.com/Airport-Info/40NE
,Ranger,Bartlett,TN ,USA,https://acukwik.com/Airport-Info/TN61
,Urso,Bartlett,IL ,USA,https://acukwik.com/Airport-Info/IS12
,Bartlett Cove,Bartlett Cove,AK ,USA,https://acukwik.com/Airport-Info/BQV
,Lee Field,Bartley,NE ,USA,https://acukwik.com/Airport-Info/6NE7
,Raymond Field,Barton City,MI ,USA,https://acukwik.com/Airport-Info/MI58
,Carrington,Bartonville,TX ,USA,https://acukwik.com/Airport-Info/TX06
,Barton Regional Medical Center,Bartow,FL ,USA,https://acukwik.com/Airport-Info/1FL7
KBOW,Bartow Executive,Bartow,FL ,USA,https://acukwik.com/Airport-Info/KBOW
,Bartow High School,Bartow,FL ,USA,https://acukwik.com/Airport-Info/FD65
,Hoelting,Basehor,KS ,USA,https://acukwik.com/Airport-Info/SN22
,Neu Field,Basehor,KS ,USA,https://acukwik.com/Airport-Info/8KS1
,Lejeune Aerial Applications,Basile,LA ,USA,https://acukwik.com/Airport-Info/10LS
,Millers Flying Service,Basile,LA ,USA,https://acukwik.com/Airport-Info/LA01
,Dorsey Creek Ranch,Basin,WY ,USA,https://acukwik.com/Airport-Info/0WY1
,Klies Air Strip,Basin,MT ,USA,https://acukwik.com/Airport-Info/MT43
,Green Acres,Basin City,WA ,USA,https://acukwik.com/Airport-Info/6WA3
,Engstrom Field,Basin Creek,AK ,USA,https://acukwik.com/Airport-Info/Z47
,Greg's Flying Service,Baskin,LA ,USA,https://acukwik.com/Airport-Info/05LA
,At&t Helistop,Basking Ridge,NJ ,USA,https://acukwik.com/Airport-Info/9NJ3
KRBE,Rock County,Bassett,NE ,USA,https://acukwik.com/Airport-Info/KRBE
,Ascension Seton Neighborhood Hospital,Bastrop,TX ,USA,https://acukwik.com/Airport-Info/TT13
KBQP,Morehouse Memorial,Bastrop,LA ,USA,https://acukwik.com/Airport-Info/KBQP
,Travis,Bastrop,LA ,USA,https://acukwik.com/Airport-Info/LA63
,Utley,Bastrop,TX ,USA,https://acukwik.com/Airport-Info/68XA
,Sky Bryce,Basye,VA ,USA,https://acukwik.com/Airport-Info/VG18
,Clermont County,Batavia,OH ,USA,https://acukwik.com/Airport-Info/I69
KGVQ,Genesee County,Batavia,NY ,USA,https://acukwik.com/Airport-Info/KGVQ
,Mercy Clermont Hospital,Batavia,OH ,USA,https://acukwik.com/Airport-Info/5OH0
,Troop A Headquarters,Batavia,NY ,USA,https://acukwik.com/Airport-Info/22NY
,Batchtown,Batchtown,IL ,USA,https://acukwik.com/Airport-Info/36IL
,Harry S Truman Regional,Bates City,MO ,USA,https://acukwik.com/Airport-Info/2M1
,House Movers Field,Batesburg,SC ,USA,https://acukwik.com/Airport-Info/SC46
KHLB,Batesville,Batesville,IN ,USA,https://acukwik.com/Airport-Info/KHLB
KBVX,Batesville Regional,Batesville,AR ,USA,https://acukwik.com/Airport-Info/KBVX
,Dm Ranch,Batesville,TX ,USA,https://acukwik.com/Airport-Info/XA88
KPMU,Panola County,Batesville,MS ,USA,https://acukwik.com/Airport-Info/KPMU
,Panola Medical Center,Batesville,MS ,USA,https://acukwik.com/Airport-Info/MS31
,White River Medical Center,Batesville,AR ,USA,https://acukwik.com/Airport-Info/AR24
,Jolamtra Landing Area,Bath,NY ,USA,https://acukwik.com/Airport-Info/23NY
,University Airpark,Bath,MI ,USA,https://acukwik.com/Airport-Info/41G
,Craig Private,Bathgate,ND ,USA,https://acukwik.com/Airport-Info/5ND3
,Andre Smith Aviation,Baton Rouge,LA ,USA,https://acukwik.com/Airport-Info/LS32
,Baton Rouge,Baton Rouge,LA ,USA,https://acukwik.com/Airport-Info/LA05
,Baton Rouge General Hospital,Baton Rouge,LA ,USA,https://acukwik.com/Airport-Info/27LA
,Baton Rouge General Medical Center,Baton Rouge,LA ,USA,https://acukwik.com/Airport-Info/LA00
KBTR,Baton Rouge Metro Ryan Field,Baton Rouge,LA ,USA,https://acukwik.com/Airport-Info/KBTR
,Baton Rouge Police,Baton Rouge,LA ,USA,https://acukwik.com/Airport-Info/49LA
,Celtic,Baton Rouge,LA ,USA,https://acukwik.com/Airport-Info/63LA
,Cosmar Styrene Plant,Baton Rouge,LA ,USA,https://acukwik.com/Airport-Info/1LS1
,Jenkins,Baton Rouge,LA ,USA,https://acukwik.com/Airport-Info/LA69
,La Dotd Hq,Baton Rouge,LA ,USA,https://acukwik.com/Airport-Info/27LS
,La Ntl Guard,Baton Rouge,LA ,USA,https://acukwik.com/Airport-Info/04LS
,La State Police Troop A,Baton Rouge,LA ,USA,https://acukwik.com/Airport-Info/96LA
,Louisiana State Police Headquarters,Baton Rouge,LA ,USA,https://acukwik.com/Airport-Info/LA28
,Medical Center Of Baton Rouge,Baton Rouge,LA ,USA,https://acukwik.com/Airport-Info/LA99
,Olol Children's,Baton Rouge,LA ,USA,https://acukwik.com/Airport-Info/23LS
,Our Lady Of The Lake Regional Medical Center,Baton Rouge,LA ,USA,https://acukwik.com/Airport-Info/29LA
,Southern Helicopters,Baton Rouge,LA ,USA,https://acukwik.com/Airport-Info/21LA
,Spencer Calahan Office Building,Baton Rouge,LA ,USA,https://acukwik.com/Airport-Info/85LA
,Woman's Hospital,Baton Rouge,LA ,USA,https://acukwik.com/Airport-Info/1LA0
KBTL,Battle Creek Executive,Battle Creek,MI ,USA,https://acukwik.com/Airport-Info/KBTL
,Becker Field,Battle Ground,WA ,USA,https://acukwik.com/Airport-Info/59AS
,Cedars North,Battle Ground,WA ,USA,https://acukwik.com/Airport-Info/W58
,Goheen,Battle Ground,WA ,USA,https://acukwik.com/Airport-Info/W52
,Parkside Airpark,Battle Ground,WA ,USA,https://acukwik.com/Airport-Info/WA87
,Battle Lake Municipal,Battle Lake,MN ,USA,https://acukwik.com/Airport-Info/00MN
KBAM,Battle Mountain,Battle Mountain,NV ,USA,https://acukwik.com/Airport-Info/KBAM
,Battle Mountain Ems,Battle Mountain,NV ,USA,https://acukwik.com/Airport-Info/53NV
,Swanson Ranch 3,Battle Mountain,NV ,USA,https://acukwik.com/Airport-Info/NV64
KBDE,Baudette International,Baudette,MN ,USA,https://acukwik.com/Airport-Info/KBDE
,Lakewood Health Center,Baudette,MN ,USA,https://acukwik.com/Airport-Info/34MN
,Appling General Hospital,Baxley,GA ,USA,https://acukwik.com/Airport-Info/GA78
KBHC,Baxley Municipal,Baxley,GA ,USA,https://acukwik.com/Airport-Info/KBHC
,Miller Farm,Bay,MO ,USA,https://acukwik.com/Airport-Info/MU21
KBYY,Bay City Regional,Bay City,TX ,USA,https://acukwik.com/Airport-Info/KBYY
,Cig 809,Bay City,TX ,USA,https://acukwik.com/Airport-Info/TS12
,Claytime,Bay City,TX ,USA,https://acukwik.com/Airport-Info/XS74
,Harold Miller,Bay City,MI ,USA,https://acukwik.com/Airport-Info/03MI
,James Clements Municipal,Bay City,MI ,USA,https://acukwik.com/Airport-Info/3CM
,Matagorda Regional Medical Center,Bay City,TX ,USA,https://acukwik.com/Airport-Info/3XA2
,Midmichigan Health Park,Bay City,MI ,USA,https://acukwik.com/Airport-Info/8MI0
,Bay Minette Municipal,Bay Minette,AL ,USA,https://acukwik.com/Airport-Info/1R8
,Bent Oak,Bay Minette,AL ,USA,https://acukwik.com/Airport-Info/96AL
,Mega Site Helipad,Bay Minette,AL ,USA,https://acukwik.com/Airport-Info/6AL9
,Thigpen Field,Bay Springs,MS ,USA,https://acukwik.com/Airport-Info/00M
KHSA,Stennis International,Bay St Louis,MS ,USA,https://acukwik.com/Airport-Info/KHSA
,Rancho Buena Vista,Bay View,TX ,USA,https://acukwik.com/Airport-Info/TS94
,Petit Cache,Bayfield,WI ,USA,https://acukwik.com/Airport-Info/WS19
,Bayonne Golf Club,Bayonne,NJ ,USA,https://acukwik.com/Airport-Info/2NJ9
,Roy E Ray,Bayou La Batre,AL ,USA,https://acukwik.com/Airport-Info/5R7
,Bayport Aerodrome,Bayport,NY ,USA,https://acukwik.com/Airport-Info/23N
,Chevron Chemical Company,Baytown,TX ,USA,https://acukwik.com/Airport-Info/TA98
,Ferris,Baytown,TX ,USA,https://acukwik.com/Airport-Info/25TA
,Houston Methodist Baytown,Baytown,TX ,USA,https://acukwik.com/Airport-Info/44TT
,Patients Emergency Room,Baytown,TX ,USA,https://acukwik.com/Airport-Info/TX73
,R W J Airpark,Baytown,TX ,USA,https://acukwik.com/Airport-Info/54T
,San Jacinto Methodist Hospital - Alexander,Baytown,TX ,USA,https://acukwik.com/Airport-Info/21TS
,Reynolds Ranch,Bayview,TX ,USA,https://acukwik.com/Airport-Info/73TA
,Berkeley Township Police,Bayville,NJ ,USA,https://acukwik.com/Airport-Info/0NJ1
,Beach,Beach,ND ,USA,https://acukwik.com/Airport-Info/20U
,Beach City,Beach City,OH ,USA,https://acukwik.com/Airport-Info/2D7
,Ahuja Medical Center,Beachwood,OH ,USA,https://acukwik.com/Airport-Info/9OH9
,Cloud 9 Aerodrome,Bean Station,TN ,USA,https://acukwik.com/Airport-Info/40TN
,Bear Creek 1,Bear Creek,AK ,USA,https://acukwik.com/Airport-Info/AK02
,Bear Creek 3,Bear Creek,AK ,USA,https://acukwik.com/Airport-Info/Z48
,Johnsons Landing,Bear Lake,AK ,USA,https://acukwik.com/Airport-Info/Z52
,Bear Valley,Bear Valley,CA ,USA,https://acukwik.com/Airport-Info/73CA
,Greater Beardstown,Beardstown,IL ,USA,https://acukwik.com/Airport-Info/K06
,Krohe,Beardstown,IL ,USA,https://acukwik.com/Airport-Info/IL86
,Stiffs Airpark,Beasley,TX ,USA,https://acukwik.com/Airport-Info/72XA
KBIE,Beatrice Municipal,Beatrice,NE ,USA,https://acukwik.com/Airport-Info/KBIE
KBTY,Beatty,Beatty,NV ,USA,https://acukwik.com/Airport-Info/KBTY
,Beatty Medical Clinic,Beatty,NV ,USA,https://acukwik.com/Airport-Info/NV81
,Moondance Ranch,Beatty,OR ,USA,https://acukwik.com/Airport-Info/87OR
,Planet 13 Ems,Beatty,NV ,USA,https://acukwik.com/Airport-Info/NV45
,Wild Billy,Beatty,OR ,USA,https://acukwik.com/Airport-Info/OR29
,Beaufort County Memorial Hospital,Beaufort,SC ,USA,https://acukwik.com/Airport-Info/SC02
KARW,Beaufort Exec,Beaufort,SC ,USA,https://acukwik.com/Airport-Info/KARW
KNBC,Beaufort MCAS (Merritt Field),Beaufort,SC ,USA,https://acukwik.com/Airport-Info/KNBC
,Dead Cow Field,Beaufort,NC ,USA,https://acukwik.com/Airport-Info/05NC
,Findley Field,Beaufort,MO ,USA,https://acukwik.com/Airport-Info/16MO
,Marsh Point,Beaufort,SC ,USA,https://acukwik.com/Airport-Info/SC74
KMRH,Michael J. Smith Field,Beaufort,NC ,USA,https://acukwik.com/Airport-Info/KMRH
,Riviere Ranch,Beaufort,NC ,USA,https://acukwik.com/Airport-Info/NR92
,Baptist Hospital Of Se Texas,Beaumont,TX ,USA,https://acukwik.com/Airport-Info/TS09
,Beaumont Hotel,Beaumont,KS ,USA,https://acukwik.com/Airport-Info/07S
KBMT,Beaumont Municipal,Beaumont,TX ,USA,https://acukwik.com/Airport-Info/KBMT
,Sheraton Spindletop Hotel,Beaumont,TX ,USA,https://acukwik.com/Airport-Info/TS10
,Stonecipher,Beaumont,TX ,USA,https://acukwik.com/Airport-Info/55TX
KBPT,Jack Brooks Regional,Beaumont/Port Arthur,TX ,USA,https://acukwik.com/Airport-Info/KBPT
PAWB,Beaver,Beaver,AK ,USA,https://acukwik.com/Airport-Info/PAWB
,Beaver,Beaver,PA ,USA,https://acukwik.com/Airport-Info/75PN
,Beaver Municipal,Beaver,OK ,USA,https://acukwik.com/Airport-Info/K44
,Beaver Municipal,Beaver,UT ,USA,https://acukwik.com/Airport-Info/U52
,Don Brown Field,Beaver,OK ,USA,https://acukwik.com/Airport-Info/3OK6
