ICAO,Airport Name,City,State,Country,Airport Link
,Pluff Mud Field,Charleston,SC ,USA,https://acukwik.com/Airport-Info/SC06
,State Police,Charleston,WV ,USA,https://acukwik.com/Airport-Info/WV07
,The Ranch,Charleston,NY ,USA,https://acukwik.com/Airport-Info/3NY0
KCRW,West Virginia International Yeager,Charleston,WV ,USA,https://acukwik.com/Airport-Info/KCRW
,East Arnolda Farm,Charlestown,RI ,USA,https://acukwik.com/Airport-Info/RI30
,Charlevoix Area Hospital,Charlevoix,MI ,USA,https://acukwik.com/Airport-Info/70MI
KCVX,Charlevoix Municipal,Charlevoix,MI ,USA,https://acukwik.com/Airport-Info/KCVX
,Dvoracek Field,Charlevoix,MI ,USA,https://acukwik.com/Airport-Info/23MI
,C H S-Pineville,Charlotte,NC ,USA,https://acukwik.com/Airport-Info/67NC
,Carolinas Medical Center,Charlotte,NC ,USA,https://acukwik.com/Airport-Info/34NC
KCLT,Charlotte Douglas International,Charlotte,NC ,USA,https://acukwik.com/Airport-Info/KCLT
,Crippen Field,Charlotte,MI ,USA,https://acukwik.com/Airport-Info/MI11
,Delta Air Base,Charlotte,NC ,USA,https://acukwik.com/Airport-Info/NC24
,E A Deeds Farm,Charlotte,VT ,USA,https://acukwik.com/Airport-Info/VT12
,El Tesoro Ranch,Charlotte,TX ,USA,https://acukwik.com/Airport-Info/02TS
KFPK,Fitch H Beach,Charlotte,MI ,USA,https://acukwik.com/Airport-Info/KFPK
,Fly I,Charlotte,NC ,USA,https://acukwik.com/Airport-Info/99NA
,Flying Ed,Charlotte,ME ,USA,https://acukwik.com/Airport-Info/ME06
,Henley Aerodrome,Charlotte,AR ,USA,https://acukwik.com/Airport-Info/28AR
,Meridian Corporate Center,Charlotte,NC ,USA,https://acukwik.com/Airport-Info/2NC5
,Novant Health Ballantyne Medical Center,Charlotte,NC ,USA,https://acukwik.com/Airport-Info/77NR
,Presbyterian Hospital,Charlotte,NC ,USA,https://acukwik.com/Airport-Info/9NC0
,Steele Creek,Charlotte,NC ,USA,https://acukwik.com/Airport-Info/40NR
,Wbtv,Charlotte,NC ,USA,https://acukwik.com/Airport-Info/NC90
,Wend Valley,Charlotte,MI ,USA,https://acukwik.com/Airport-Info/49G
KCHO,Charlottesville Albemarle,Charlottesville,VA ,USA,https://acukwik.com/Airport-Info/KCHO
,Morven Farms,Charlottesville,VA ,USA,https://acukwik.com/Airport-Info/VA21
,Oakes Field,Charlottesville,IN ,USA,https://acukwik.com/Airport-Info/66IN
,Snow Hill,Charlottesville,VA ,USA,https://acukwik.com/Airport-Info/VA19
,University Of Virginia Hospital,Charlottesville,VA ,USA,https://acukwik.com/Airport-Info/8VA5
,Dresser Hill,Charlton,MA ,USA,https://acukwik.com/Airport-Info/MA30
,Westwind Farm,Charlton,NY ,USA,https://acukwik.com/Airport-Info/0NK2
KCXE,Chase City Municipal,Chase City,VA ,USA,https://acukwik.com/Airport-Info/KCXE
,Hazelswart,Chase City,VA ,USA,https://acukwik.com/Airport-Info/1VA8
,Twin Towers,Chase City,VA ,USA,https://acukwik.com/Airport-Info/VA25
,Lake Pierson,Chaska,MN ,USA,https://acukwik.com/Airport-Info/MN04
,Hackberry,Chatfield,TX ,USA,https://acukwik.com/Airport-Info/1XA8
,Schulze's,Chatfield,OH ,USA,https://acukwik.com/Airport-Info/69OI
,Chatham,Chatham,AK ,USA,https://acukwik.com/Airport-Info/05AA
KCQX,Chatham Municipal,Chatham,MA ,USA,https://acukwik.com/Airport-Info/KCQX
,North Chatham,Chatham,MA ,USA,https://acukwik.com/Airport-Info/3MA4
,Shag Bark Farms,Chatham,IL ,USA,https://acukwik.com/Airport-Info/25IS
,Soaring Horse,Chatham Township,OH ,USA,https://acukwik.com/Airport-Info/33OI
,Hawthorn Pines,Chatom,AL ,USA,https://acukwik.com/Airport-Info/6AL6
,Roy Wilcox,Chatom,AL ,USA,https://acukwik.com/Airport-Info/5R1
,Washington County Hospital Er,Chatom,AL ,USA,https://acukwik.com/Airport-Info/39AL
,Coyle Field,Chatsworth,NJ ,USA,https://acukwik.com/Airport-Info/NJ20
,Mga Chatsworth,Chatsworth,CA ,USA,https://acukwik.com/Airport-Info/CL89
,Omninet West Valley Lp,Chatsworth,CA ,USA,https://acukwik.com/Airport-Info/CL26
,Florida State Hospital,Chattahoochee,FL ,USA,https://acukwik.com/Airport-Info/31FD
,Chattanooga Sky Harbor,Chattanooga,OK ,USA,https://acukwik.com/Airport-Info/92F
,Dallas Bay Sky Park,Chattanooga,TN ,USA,https://acukwik.com/Airport-Info/1AA0
,Erlanger Medical Center,Chattanooga,TN ,USA,https://acukwik.com/Airport-Info/0TN8
KCHA,Lovell Field,Chattanooga,TN ,USA,https://acukwik.com/Airport-Info/KCHA
,Mathews,Chattanooga,TN ,USA,https://acukwik.com/Airport-Info/TN90
,Memorial Health Care System,Chattanooga,TN ,USA,https://acukwik.com/Airport-Info/TN03
,Duff,Chavies,KY ,USA,https://acukwik.com/Airport-Info/44KY
,Chebeague Island School,Chebeague Island,ME ,USA,https://acukwik.com/Airport-Info/ME21
KSLH,Cheboygan County,Cheboygan,MI ,USA,https://acukwik.com/Airport-Info/KSLH
,Hoffman's Black Mountain Aerodrome,Cheboygan,MI ,USA,https://acukwik.com/Airport-Info/2M7
PACK,Chefornak,Chefornak,AK ,USA,https://acukwik.com/Airport-Info/PACK
KCLS,Chehalis-Centralia,Chehalis,WA ,USA,https://acukwik.com/Airport-Info/KCLS
,Dwight Field,Chehalis,WA ,USA,https://acukwik.com/Airport-Info/0WA1
,Fantasy Field Airstrip,Chehalis,WA ,USA,https://acukwik.com/Airport-Info/FA99
,Lake Chelan,Chelan,WA ,USA,https://acukwik.com/Airport-Info/S10
,Riverview Airpark,Chelan,WA ,USA,https://acukwik.com/Airport-Info/91WT
,Seaplane Landing Area,Chelan,WA ,USA,https://acukwik.com/Airport-Info/WA13
,Chelsea Hospital,Chelsea,MI ,USA,https://acukwik.com/Airport-Info/7MI5
,Delozier,Chelsea,OK ,USA,https://acukwik.com/Airport-Info/OK78
,White O'morn,Chelsea,MI ,USA,https://acukwik.com/Airport-Info/MI20
,Winters Field,Chelsea,MI ,USA,https://acukwik.com/Airport-Info/8MI9
,Chemehuevi Valley,Chemehuevi Valley,CA ,USA,https://acukwik.com/Airport-Info/49X
,Chena Hot Springs,Chena Hot Springs,AK ,USA,https://acukwik.com/Airport-Info/AK13
PFCB,Chenega Bay,Chenega,AK ,USA,https://acukwik.com/Airport-Info/PFCB
,Albers,Cheney,KS ,USA,https://acukwik.com/Airport-Info/SN13
,Flying R Ranch,Cheney,WA ,USA,https://acukwik.com/Airport-Info/WA49
,Homeport,Cheney,WA ,USA,https://acukwik.com/Airport-Info/11WA
,Mono Aircraft,Cheney,KS ,USA,https://acukwik.com/Airport-Info/0KS7
,Reed,Cheney,WA ,USA,https://acukwik.com/Airport-Info/WT24
,Silverbird,Cheney,WA ,USA,https://acukwik.com/Airport-Info/WT04
,Thacker,Chenoa,IL ,USA,https://acukwik.com/Airport-Info/11LL
KCQW,Cheraw Municipal/Lynch Bellinger Field,Cheraw,SC ,USA,https://acukwik.com/Airport-Info/KCQW
,Wild Irish Rose,Cheraw,SC ,USA,https://acukwik.com/Airport-Info/SC61
,Airduce,Cheriton,VA ,USA,https://acukwik.com/Airport-Info/7VA0
,Cherrystone,Cheriton,VA ,USA,https://acukwik.com/Airport-Info/24VA
,Eagles Nest,Cheriton,VA ,USA,https://acukwik.com/Airport-Info/21VA
KCKP,Cherokee County Regional,Cherokee,IA ,USA,https://acukwik.com/Airport-Info/KCKP
,Cherokee Indian Hospital,Cherokee,NC ,USA,https://acukwik.com/Airport-Info/NR01
,Cherokee Municipal,Cherokee,OK ,USA,https://acukwik.com/Airport-Info/4O5
,Cherokee Regional Medical Center,Cherokee,IA ,USA,https://acukwik.com/Airport-Info/IA13
,J Ranch,Cherokee,TX ,USA,https://acukwik.com/Airport-Info/41TX
KCKA,Kegelman AF Aux Field,Cherokee,OK ,USA,https://acukwik.com/Airport-Info/KCKA
,Rocket Shoals,Cherokee,AL ,USA,https://acukwik.com/Airport-Info/AL68
,Jefferson Cherry Hill Hospital,Cherry Hill,NJ ,USA,https://acukwik.com/Airport-Info/31NJ
KNKT,Cherry Point MCAS (Cunningham Field),Cherry Point,NC ,USA,https://acukwik.com/Airport-Info/KNKT
,Laughing Crow Airpark,Cherryville,NC ,USA,https://acukwik.com/Airport-Info/NR42
,Howard Nixon Memorial,Chesaning,MI ,USA,https://acukwik.com/Airport-Info/50G
,Maple Grove Airpark,Chesaning,MI ,USA,https://acukwik.com/Airport-Info/MI83
,Chesapeake General Hospital,Chesapeake,VA ,USA,https://acukwik.com/Airport-Info/11VA
,Division Five,Chesapeake,VA ,USA,https://acukwik.com/Airport-Info/47VA
,Island,Chesapeake,WV ,USA,https://acukwik.com/Airport-Info/WV08
KHTW,Lawrence County Airpark,Chesapeake,OH ,USA,https://acukwik.com/Airport-Info/KHTW
,Chesapeake City,Chesapeake City,MD ,USA,https://acukwik.com/Airport-Info/04MD
,Paradise Landing,Chesnee,SC ,USA,https://acukwik.com/Airport-Info/SC36
,Turner Field,Chesnee,SC ,USA,https://acukwik.com/Airport-Info/SC88
KSNC,Chester,Chester,CT ,USA,https://acukwik.com/Airport-Info/KSNC
KDCM,Chester Catawba Regional,Chester,SC ,USA,https://acukwik.com/Airport-Info/KDCM
,Chester Regional Medical Center,Chester,SC ,USA,https://acukwik.com/Airport-Info/SC85
,Crozer-Chester,Chester,PA ,USA,https://acukwik.com/Airport-Info/PS65
,Doms,Chester,NY ,USA,https://acukwik.com/Airport-Info/NK86
,High View Too,Chester,NY ,USA,https://acukwik.com/Airport-Info/2NY2
,Holloway,Chester,VT ,USA,https://acukwik.com/Airport-Info/VT13
KLTY,Liberty County,Chester,MT ,USA,https://acukwik.com/Airport-Info/KLTY
,Mc Laughlin,Chester,VA ,USA,https://acukwik.com/Airport-Info/2G6
,Memorial Hospital,Chester,IL ,USA,https://acukwik.com/Airport-Info/4IS2
,New Poverty Flats,Chester,NH ,USA,https://acukwik.com/Airport-Info/NH61
,Orange Poultry Farm,Chester,NY ,USA,https://acukwik.com/Airport-Info/4NY1
,Rogers Field,Chester,CA ,USA,https://acukwik.com/Airport-Info/O05
,Sutton,Chester,NE ,USA,https://acukwik.com/Airport-Info/NE35
,Trust Landing,Chester,OK ,USA,https://acukwik.com/Airport-Info/OK72
,Usfs Chester,Chester,CA ,USA,https://acukwik.com/Airport-Info/5Q2
,St Lukes Hospital West,Chesterfield,MO ,USA,https://acukwik.com/Airport-Info/MO12
,Bodin,Chesterton,IN ,USA,https://acukwik.com/Airport-Info/IN70
,Breezecroft,Chestertown,MD ,USA,https://acukwik.com/Airport-Info/05MD
,Breezecroft,Chestertown,MD ,USA,https://acukwik.com/Airport-Info/23MD
,Chester River Hospital,Chestertown,MD ,USA,https://acukwik.com/Airport-Info/MD51
,Cromwell Farm,Chestertown,MD ,USA,https://acukwik.com/Airport-Info/MD63
,Hybarc Farm,Chestertown,MD ,USA,https://acukwik.com/Airport-Info/MD19
,Wright Field,Chestertown,MD ,USA,https://acukwik.com/Airport-Info/MD11
,Beaver Creek,Chesterville,ME ,USA,https://acukwik.com/Airport-Info/51ME
,Chesuncook Forestry District,Chesuncook,ME ,USA,https://acukwik.com/Airport-Info/ME18
,Chesuncook Lake House,Chesuncook,ME ,USA,https://acukwik.com/Airport-Info/1ME
,Nugent Chamberlain Lake,Chesuncook,ME ,USA,https://acukwik.com/Airport-Info/39B
,Chetek Municipal/Southworth,Chetek,WI ,USA,https://acukwik.com/Airport-Info/Y23
,Cloud Dancer Pvt,Chetek,WI ,USA,https://acukwik.com/Airport-Info/WS13
,Knutson Farms,Chetek,WI ,USA,https://acukwik.com/Airport-Info/3WN6
PAVA,Chevak,Chevak,AK ,USA,https://acukwik.com/Airport-Info/PAVA
,Prince George's Hospital Center,Cheverly,MD ,USA,https://acukwik.com/Airport-Info/1MD4
,Chewelah Municipal,Chewelah,WA ,USA,https://acukwik.com/Airport-Info/1S9
,St Joseph's Hospital,Chewelah,WA ,USA,https://acukwik.com/Airport-Info/6WA0
,Cheyenne Echo,Cheyenne,WY ,USA,https://acukwik.com/Airport-Info/WY50
KCYS,Cheyenne Regional/Jerry Olson Field,Cheyenne,WY ,USA,https://acukwik.com/Airport-Info/KCYS
KFEW,Francis E Warren Afb,Cheyenne,WY ,USA,https://acukwik.com/Airport-Info/KFEW
,L J Pankey,Cheyenne,OK ,USA,https://acukwik.com/Airport-Info/OL08
,Mignon Laird Municipal,Cheyenne,OK ,USA,https://acukwik.com/Airport-Info/93F
,Radio Ranch,Cheyenne,WY ,USA,https://acukwik.com/Airport-Info/WY46
,Skyview Airpark,Cheyenne,WY ,USA,https://acukwik.com/Airport-Info/WY05
,Windy Plains,Cheyenne Wells,CO ,USA,https://acukwik.com/Airport-Info/5CO0
KPWK,Chicago Executive,Chicago,IL ,USA,https://acukwik.com/Airport-Info/KPWK
,Chicago Fire Dept Air Sea Rescue,Chicago,IL ,USA,https://acukwik.com/Airport-Info/LL35
KMDW,Chicago Midway International,Chicago,IL ,USA,https://acukwik.com/Airport-Info/KMDW
KORD,Chicago O'Hare International,Chicago,IL ,USA,https://acukwik.com/Airport-Info/KORD
,Chicago Police Marine,Chicago,IL ,USA,https://acukwik.com/Airport-Info/10LL
KARR,Chicago/Aurora Municipal,Chicago,IL ,USA,https://acukwik.com/Airport-Info/KARR
KUGN,Chicago/Waukegan Regional,Chicago,IL ,USA,https://acukwik.com/Airport-Info/KUGN
KDPA,DuPage,Chicago,IL ,USA,https://acukwik.com/Airport-Info/KDPA
,First Area Police Hdqtrs,Chicago,IL ,USA,https://acukwik.com/Airport-Info/IL69
,John H Stroger Hospital Of Cook County,Chicago,IL ,USA,https://acukwik.com/Airport-Info/IL75
,Lake In The Hills,Chicago,IL ,USA,https://acukwik.com/Airport-Info/3CK
KIGQ,Lansing Municipal,Chicago,IL ,USA,https://acukwik.com/Airport-Info/KIGQ
,Lurie Childrens Hospital,Chicago,IL ,USA,https://acukwik.com/Airport-Info/75IS
,Presence Resurrection Medical Center,Chicago,IL ,USA,https://acukwik.com/Airport-Info/IL79
,Presence Sts Mary And Elizabeth Medical Center,Chicago,IL ,USA,https://acukwik.com/Airport-Info/6IS7
,Schaumburg Regional,Chicago,IL ,USA,https://acukwik.com/Airport-Info/06C
,The University Of Chicago Medicine,Chicago,IL ,USA,https://acukwik.com/Airport-Info/4IS3
,Vertiport Chicago,Chicago,IL ,USA,https://acukwik.com/Airport-Info/43IL
,Wgn-Tv,Chicago,IL ,USA,https://acukwik.com/Airport-Info/IL70
,Advocate Christ Medical Center,Chicago/Oak Lawn,IL ,USA,https://acukwik.com/Airport-Info/IL77
KLOT,Lewis University Chicago Romeoville,Chicago/Romeoville,IL ,USA,https://acukwik.com/Airport-Info/KLOT
,Schaumburg Municipal Helistop,Chicago/Schaumburg,IL ,USA,https://acukwik.com/Airport-Info/4H1
,Tinley Park Helistop,Chicago/Tinley Park,IL ,USA,https://acukwik.com/Airport-Info/TF8
,John Harris Field,Chickala,AR ,USA,https://acukwik.com/Airport-Info/AR05
,Castle Mountain Airstrip,Chickaloon,AK ,USA,https://acukwik.com/Airport-Info/48AK
,Twin Forks,Chickamauga,GA ,USA,https://acukwik.com/Airport-Info/GA77
KCHK,Chickasha Municipal,Chickasha,OK ,USA,https://acukwik.com/Airport-Info/KCHK
,Drifting G Ranch,Chickasha,OK ,USA,https://acukwik.com/Airport-Info/OK60
,Good Life Ranch,Chickasha,OK ,USA,https://acukwik.com/Airport-Info/17OK
,Redhills,Chickasha,OK ,USA,https://acukwik.com/Airport-Info/6OK2
,Chicken,Chicken,AK ,USA,https://acukwik.com/Airport-Info/CKX
KCIC,Chico Regional,Chico,CA ,USA,https://acukwik.com/Airport-Info/KCIC
,Enloe Hospital,Chico,CA ,USA,https://acukwik.com/Airport-Info/CL37
,Johnsen,Chico,CA ,USA,https://acukwik.com/Airport-Info/4CA7
,Ranchaero,Chico,CA ,USA,https://acukwik.com/Airport-Info/CL56
,Spectre Field,Chico,TX ,USA,https://acukwik.com/Airport-Info/XA07
,Chicopee,Chicopee,MA ,USA,https://acukwik.com/Airport-Info/MA47
KCEF,Westover ARB/Westover Metropolitan,Chicopee,MA ,USA,https://acukwik.com/Airport-Info/KCEF
,Waltman,Chicora,PA ,USA,https://acukwik.com/Airport-Info/87PA
,Brookins Air Strip,Chiefland,FL ,USA,https://acukwik.com/Airport-Info/73FD
,Chiefland Sky Ranch,Chiefland,FL ,USA,https://acukwik.com/Airport-Info/51FL
,Neal Field,Chiefland,FL ,USA,https://acukwik.com/Airport-Info/79FL
,White Farms,Chiefland,FL ,USA,https://acukwik.com/Airport-Info/FA36
,Windy Acres,Chiefland,FL ,USA,https://acukwik.com/Airport-Info/6FD0
PAJC,Chignik,Chignik,AK ,USA,https://acukwik.com/Airport-Info/PAJC
,Chignik Bay,Chignik,AK ,USA,https://acukwik.com/Airport-Info/Z78
,Chignik Lagoon,Chignik Lagoon,AK ,USA,https://acukwik.com/Airport-Info/KCL
,Chignik Lake,Chignik Lake,AK ,USA,https://acukwik.com/Airport-Info/A79
,Bodad,Chilcoot,CA ,USA,https://acukwik.com/Airport-Info/CA11
KCDS,Childress Municipal,Childress,TX ,USA,https://acukwik.com/Airport-Info/KCDS
,Childress Regional Medical Center,Childress,TX ,USA,https://acukwik.com/Airport-Info/TA91
,Chiles Airpark,Chiles,KS ,USA,https://acukwik.com/Airport-Info/69KS
,White Oak Stand,Chilhowie,VA ,USA,https://acukwik.com/Airport-Info/VA11
,Adena Regional Medical Cntr,Chillicothe,OH ,USA,https://acukwik.com/Airport-Info/OH91
KCHT,Chillicothe Municipal,Chillicothe,MO ,USA,https://acukwik.com/Airport-Info/KCHT
,District 9,Chillicothe,OH ,USA,https://acukwik.com/Airport-Info/OH47
KRZT,Ross County,Chillicothe,OH ,USA,https://acukwik.com/Airport-Info/KRZT
,Va Hospital,Chillicothe,OH ,USA,https://acukwik.com/Airport-Info/OI21
,Chiloquin State,Chiloquin,OR ,USA,https://acukwik.com/Airport-Info/2S7
,Flying Feathers,Chilton,WI ,USA,https://acukwik.com/Airport-Info/11Y
,Teconnet,China,ME ,USA,https://acukwik.com/Airport-Info/29ME
,Bradley Field,China Grove,NC ,USA,https://acukwik.com/Airport-Info/NC29
KNID,China Lake NAWS (Armitage Field),China Lake,CA ,USA,https://acukwik.com/Airport-Info/KNID
,Pocock,China Spring,TX ,USA,https://acukwik.com/Airport-Info/04TX
,V-Bar,China Spring,TX ,USA,https://acukwik.com/Airport-Info/4TA2
,Wildcat Canyon,China Spring,TX ,USA,https://acukwik.com/Airport-Info/3T8
,Chinle Municipal,Chinle,AZ ,USA,https://acukwik.com/Airport-Info/E91
KCNO,Chino,Chino,CA ,USA,https://acukwik.com/Airport-Info/KCNO
,Robin,Chino Valley,AZ ,USA,https://acukwik.com/Airport-Info/59AZ
,Edgar G Obie,Chinook,MT ,USA,https://acukwik.com/Airport-Info/S71
