ICAO,Airport Name,City,State,Country,Airport Link
,Marriott Parking Garage Rooftop,Baltimore,MD ,USA,https://acukwik.com/Airport-Info/24MD
,Miller Farm Landing Strip,Baltimore,OH ,USA,https://acukwik.com/Airport-Info/7B4
,Pier 7,Baltimore,MD ,USA,https://acukwik.com/Airport-Info/4MD
,St Agnes Health Care,Baltimore,MD ,USA,https://acukwik.com/Airport-Info/12MD
,University Of Maryland Shock Trauma Center,Baltimore,MD ,USA,https://acukwik.com/Airport-Info/MD71
,Bamberg County Memorial Hospital,Bamberg,SC ,USA,https://acukwik.com/Airport-Info/SC49
,Bancroft Municipal,Bancroft,ID ,USA,https://acukwik.com/Airport-Info/U51
,Baltzell's Las Brisas,Bandera,TX ,USA,https://acukwik.com/Airport-Info/3TA3
,Flying L,Bandera,TX ,USA,https://acukwik.com/Airport-Info/TE90
,Bandon State,Bandon,OR ,USA,https://acukwik.com/Airport-Info/S05
,Eastern Maine Medical Center,Bangor,ME ,USA,https://acukwik.com/Airport-Info/ME02
,Lucky Landing Marina,Bangor,ME ,USA,https://acukwik.com/Airport-Info/06B
,Fishback,Banks,OR ,USA,https://acukwik.com/Airport-Info/9OR7
,Charles A Cannon Jr Memorial Hospital,Banner Elk,NC ,USA,https://acukwik.com/Airport-Info/NC07
,Diamond Creek #2,Banner Elk,NC ,USA,https://acukwik.com/Airport-Info/7NC8
KBNG,Banning Municipal,Banning,CA ,USA,https://acukwik.com/Airport-Info/KBNG
,Shady Lawn Field,Bannister,MI ,USA,https://acukwik.com/Airport-Info/4M4
,Acadian,Bar Harbor,ME ,USA,https://acukwik.com/Airport-Info/ME07
KBHB,Hancock County/Bar Harbor,Bar Harbor,ME ,USA,https://acukwik.com/Airport-Info/KBHB
KDLL,Baraboo/Wisconsin Dells Regional,Baraboo,WI ,USA,https://acukwik.com/Airport-Info/KDLL
,Thiessen Field,Baraboo,WI ,USA,https://acukwik.com/Airport-Info/34WI
,Barbourville Arh,Barbourville,KY ,USA,https://acukwik.com/Airport-Info/7KY5
KBRY,Samuels Field,Bardstown,KY ,USA,https://acukwik.com/Airport-Info/KBRY
,Bronson,Bargersville,IN ,USA,https://acukwik.com/Airport-Info/II93
,Kephart Field,Bargersville,IN ,USA,https://acukwik.com/Airport-Info/IN01
,Dixon,Barlow,MS ,USA,https://acukwik.com/Airport-Info/20MS
,Monsalvat Farm Holdings Llc,Barnard,VT ,USA,https://acukwik.com/Airport-Info/19VT
,Ag Spray Inc,Barnesville,MN ,USA,https://acukwik.com/Airport-Info/94MN
,Barnesville Municipal,Barnesville,MN ,USA,https://acukwik.com/Airport-Info/9MN3
,Janssen,Barnesville,MN ,USA,https://acukwik.com/Airport-Info/9MN5
,Goerger,Barney,ND ,USA,https://acukwik.com/Airport-Info/0NA1
,Moffet Airstrip,Barney,ND ,USA,https://acukwik.com/Airport-Info/NA56
KBNL,Barnwell Regional,Barnwell,SC ,USA,https://acukwik.com/Airport-Info/KBNL
,Barre-Bassett,Barre,MA ,USA,https://acukwik.com/Airport-Info/24MA
KMPV,Edward F Knapp State,Barre-Montpelier,VT ,USA,https://acukwik.com/Airport-Info/KMPV
,Barron Municipal,Barron,WI ,USA,https://acukwik.com/Airport-Info/9Y7
PABR,Wiley Post/Will Rogers Memorial,Barrow,AK ,USA,https://acukwik.com/Airport-Info/PABR
,Barstow Community Hospital,Barstow,CA ,USA,https://acukwik.com/Airport-Info/CL17
,Goldstone /GTS,Barstow,CA ,USA,https://acukwik.com/Airport-Info/00CA
,Ord Mountain,Barstow,CA ,USA,https://acukwik.com/Airport-Info/5CA2
,Flying Eagle Estates,Bartlesville,OK ,USA,https://acukwik.com/Airport-Info/9OK3
,Viskup Family Field,Bartlesville,OK ,USA,https://acukwik.com/Airport-Info/0OK2
,7up Ranch,Bartlett,KS ,USA,https://acukwik.com/Airport-Info/75KS
,Ranger,Bartlett,TN ,USA,https://acukwik.com/Airport-Info/TN61
