ICAO,Airport Name,City,State,Country,Airport Link
,White Willow,Great Meadows,NJ ,USA,https://acukwik.com/Airport-Info/JY27
,Great Valley,Great Valley,NY ,USA,https://acukwik.com/Airport-Info/N56
,Ajc,Greeley,CO ,USA,https://acukwik.com/Airport-Info/CO66
,Easton/Valley View,Greeley,CO ,USA,https://acukwik.com/Airport-Info/11V
,Greeley Municipal,Greeley,NE ,USA,https://acukwik.com/Airport-Info/NE46
KGXY,Greeley-Weld County,Greeley,CO ,USA,https://acukwik.com/Airport-Info/KGXY
,Ncmc,Greeley,CO ,USA,https://acukwik.com/Airport-Info/98CO
,Green Bank Observatory,Green Bank,WV ,USA,https://acukwik.com/Airport-Info/WV52
,Aegis,Green Bay,WI ,USA,https://acukwik.com/Airport-Info/4WN7
KGRB,Green Bay/Austin Straubel International,Green Bay,WI ,USA,https://acukwik.com/Airport-Info/KGRB
,Martins Aerodrome,Green Bay,WI ,USA,https://acukwik.com/Airport-Info/WI78
,Nicolet,Green Bay,WI ,USA,https://acukwik.com/Airport-Info/88WI
,St Mary's Hospital,Green Bay,WI ,USA,https://acukwik.com/Airport-Info/33WI
,St Vincent Hospital,Green Bay,WI ,USA,https://acukwik.com/Airport-Info/7WI3
,Haller Airpark,Green Cove Springs,FL ,USA,https://acukwik.com/Airport-Info/7FL4
,Reynolds Airpark,Green Cove Springs,FL ,USA,https://acukwik.com/Airport-Info/FL60
,Paramount Air,Green Creek,NJ ,USA,https://acukwik.com/Airport-Info/JY04
,Hostetler's Airfield,Green Forest,AR ,USA,https://acukwik.com/Airport-Info/5AR8
,Green River Municipal,Green River,UT ,USA,https://acukwik.com/Airport-Info/U34
,Gtr Green River Intergalactic Spaceport,Green River,WY ,USA,https://acukwik.com/Airport-Info/48U
,Green Sea,Green Sea,SC ,USA,https://acukwik.com/Airport-Info/79SC
,Ruby Star Airpark,Green Valley,AZ ,USA,https://acukwik.com/Airport-Info/14AZ
,Santa Cruz Valley Regional Hospital,Green Valley,AZ ,USA,https://acukwik.com/Airport-Info/AZ69
,Mcgraw's Backyard,Greenback,TN ,USA,https://acukwik.com/Airport-Info/5TN4
,Village,Greenback,TN ,USA,https://acukwik.com/Airport-Info/0TN2
,Ira's Airstrip,Greenbrier,AR ,USA,https://acukwik.com/Airport-Info/52AR
,Greencastle Usar Center,Greencastle,PA ,USA,https://acukwik.com/Airport-Info/52PN
,Hampton Field,Greencastle,IN ,USA,https://acukwik.com/Airport-Info/38II
,Jj & Pk,Greencastle,PA ,USA,https://acukwik.com/Airport-Info/PA08
KGPC,Putnam County Regional,Greencastle,IN ,USA,https://acukwik.com/Airport-Info/KGPC
,Greene,Greene,NY ,USA,https://acukwik.com/Airport-Info/4N7
