ICAO,Airport Name,City,State,Country,Airport Link
LOXA,Aigen AB,Aigen, ,AUSTRIA,https://acukwik.com/Airport-Info/LOXA
LOAR,Altlichtenwarth,Altlichtenwarth, ,AUSTRIA,https://acukwik.com/Airport-Info/LOAR
LOAB,Dobersberg,Dobersberg, ,AUSTRIA,https://acukwik.com/Airport-Info/LOAB
LOIH,Hohenems-Dornbirn,Dornbirn, ,AUSTRIA,https://acukwik.com/Airport-Info/LOIH
LOLE,Eferding,Eferding, ,AUSTRIA,https://acukwik.com/Airport-Info/LOLE
LOKF,Feldkirchen-Ossiacher See,Feldkirchen, ,AUSTRIA,https://acukwik.com/Airport-Info/LOKF
LOKG,Ferlach-Glainach,Ferlach, ,AUSTRIA,https://acukwik.com/Airport-Info/LOKG
LOLF,Freistadt,Freistadt, ,AUSTRIA,https://acukwik.com/Airport-Info/LOLF
LOKH,Friesach/Hirt,Friesach, ,AUSTRIA,https://acukwik.com/Airport-Info/LOKH
LOGF,Furstenfeld,Furstenfeld, ,AUSTRIA,https://acukwik.com/Airport-Info/LOGF
LOLU,Gmunden-Laakirchen,Gmunden, ,AUSTRIA,https://acukwik.com/Airport-Info/LOLU
LOWG,Graz International,Graz, ,AUSTRIA,https://acukwik.com/Airport-Info/LOWG
LOIR,Reutte-Hofen,Hofen, ,AUSTRIA,https://acukwik.com/Airport-Info/LOIR
LOLH,Hofkirchen,Hofkirchen, ,AUSTRIA,https://acukwik.com/Airport-Info/LOLH
LOAS,Hundsheim/Spitzerberg,Hundsheim, ,AUSTRIA,https://acukwik.com/Airport-Info/LOAS
LOWI,Innsbruck,Innsbruck, ,AUSTRIA,https://acukwik.com/Airport-Info/LOWI
LOGK,Kapfenberg,Kapfenberg, ,AUSTRIA,https://acukwik.com/Airport-Info/LOGK
LOAY,Kilb Heliport,Kilb, ,AUSTRIA,https://acukwik.com/Airport-Info/LOAY
LOLK,Ried-Kirchheim,Kirchheim in Innkreis, ,AUSTRIA,https://acukwik.com/Airport-Info/LOLK
LOWK,Klagenfurt ,Klagenfurt, ,AUSTRIA,https://acukwik.com/Airport-Info/LOWK
LOIK,Kufstein-Langkampfen,Kufstein, ,AUSTRIA,https://acukwik.com/Airport-Info/LOIK
LOAG,Langenlois/Krems,Langenlois, ,AUSTRIA,https://acukwik.com/Airport-Info/LOAG
LOKL,Lienz-Nikolsdorf,Lienz, ,AUSTRIA,https://acukwik.com/Airport-Info/LOKL
LOWL,Linz,Linz, ,AUSTRIA,https://acukwik.com/Airport-Info/LOWL
LOLO,Linz-Ost (Linz East),Linz, ,AUSTRIA,https://acukwik.com/Airport-Info/LOLO
LOGM,Mariazell,Mariazell, ,AUSTRIA,https://acukwik.com/Airport-Info/LOGM
LOSM,Mauterndorf,Mauterndorf, ,AUSTRIA,https://acukwik.com/Airport-Info/LOSM
LOLM,Micheldorf,Micheldorf, ,AUSTRIA,https://acukwik.com/Airport-Info/LOLM
LOGO,Niederoblarn,Niederoblarn, ,AUSTRIA,https://acukwik.com/Airport-Info/LOGO
LOKN,Notsch im Gailtal,Notsch im Gailtal, ,AUSTRIA,https://acukwik.com/Airport-Info/LOKN
LOAD,Ober-Grafendorf/Voltendorf,Ober-Grafendorf, ,AUSTRIA,https://acukwik.com/Airport-Info/LOAD
LOAA,Ottenschlag,Ottenschlag, ,AUSTRIA,https://acukwik.com/Airport-Info/LOAA
LOGP,Pinkafeld,Pinkafeld, ,AUSTRIA,https://acukwik.com/Airport-Info/LOGP
LOGG,Punitz-Gussing,Punitz-Gussing, ,AUSTRIA,https://acukwik.com/Airport-Info/LOGG
LOWS,Salzburg - W A Mozart,Salzburg, ,AUSTRIA,https://acukwik.com/Airport-Info/LOWS
LOLG,Sankt Georgen am Ybbsfeld,Sankt Georgen am Ybbsfeld, ,AUSTRIA,https://acukwik.com/Airport-Info/LOLG
LOLS,Scharding-Suben,Scharding, ,AUSTRIA,https://acukwik.com/Airport-Info/LOLS
LOLC,Scharnstein,Scharnstein, ,AUSTRIA,https://acukwik.com/Airport-Info/LOLC
LOLT,Seitenstetten,Seitenstetten, ,AUSTRIA,https://acukwik.com/Airport-Info/LOLT
LOKR,St Donat/Mairist,St Donat, ,AUSTRIA,https://acukwik.com/Airport-Info/LOKR
LOIJ,St. Johann/Tirol,St. Johann, ,AUSTRIA,https://acukwik.com/Airport-Info/LOIJ
LOKM,Mayerhofen Friesach,St. Salvator, ,AUSTRIA,https://acukwik.com/Airport-Info/LOKM
