ICAO,Airport Name,City,State,Country,Airport Link
SNUC,Acu,Acu,RN ,BRAZIL,https://acukwik.com/Airport-Info/SNUC
SDAD,Adamantina/Everaldo Moraes Barreto,Adamantina,SP ,BRAZIL,https://acukwik.com/Airport-Info/SDAD
SSLT,Alegrete Novo/Gaudencio Machado Ramos,Alegrete Novo,RS ,BRAZIL,https://acukwik.com/Airport-Info/SSLT
SNFE,Alfenas/Paschoal Petrocino Filho,Alfenas,MG ,BRAZIL,https://acukwik.com/Airport-Info/SNFE
SBMD,Almeirim/Monte Dourado,Almeirim,PA ,BRAZIL,https://acukwik.com/Airport-Info/SBMD
SNAR,Cirilo Queiroz/Almenara,Almenara,MG ,BRAZIL,https://acukwik.com/Airport-Info/SNAR
SBAT,Alta Floresta/Piloto Osvaldo Marques Dias,Alta Floresta,MT ,BRAZIL,https://acukwik.com/Airport-Info/SBAT
SBHT,Altamira,Altamira,PA ,BRAZIL,https://acukwik.com/Airport-Info/SBHT
SBAM,Amapa,Amapa,AP ,BRAZIL,https://acukwik.com/Airport-Info/SBAM
SBAN,Anapolis AB,Anapolis,GO ,BRAZIL,https://acukwik.com/Airport-Info/SBAN
SDDN,Paulino Ribeiro de Andrade/Andradina,Andradina,SP ,BRAZIL,https://acukwik.com/Airport-Info/SDDN
SDAG,Angra Dos Reis,Angra Dos Reis,RJ ,BRAZIL,https://acukwik.com/Airport-Info/SDAG
SSAP,Apucarana/Capitao Joao Busse,Apucarana,PR ,BRAZIL,https://acukwik.com/Airport-Info/SSAP
SBAR,Aracaju/Santa Maria,Aracaju,SE ,BRAZIL,https://acukwik.com/Airport-Info/SBAR
SBAU,Dario Guarita/Aracatuba,Aracatuba,SP ,BRAZIL,https://acukwik.com/Airport-Info/SBAU
SNUI,Aracuai,Aracuai,MG ,BRAZIL,https://acukwik.com/Airport-Info/SNUI
SWAC,Aragarcas,Aragarcas,GO ,BRAZIL,https://acukwik.com/Airport-Info/SWAC
