ICAO,Airport Name,City,State,Country,Airport Link
LBWB,Balchik,Balchik, ,BULGARIA,https://acukwik.com/Airport-Info/LBWB
LBBG,Burgas/Bourgas,Burgas, ,BULGARIA,https://acukwik.com/Airport-Info/LBBG
LBDR,Draganovtsi,Gabrova, ,BULGARIA,https://acukwik.com/Airport-Info/LBDR
LBGO,Gorna Oryahovitsa,Gorna Oryahovitsa, ,BULGARIA,https://acukwik.com/Airport-Info/LBGO
LBHT,Ihtiman,Ihtiman, ,BULGARIA,https://acukwik.com/Airport-Info/LBHT
LBLS,Lesnovo,Lesnovo, ,BULGARIA,https://acukwik.com/Airport-Info/LBLS
LBSW,Sofia West,Pernik, ,BULGARIA,https://acukwik.com/Airport-Info/LBSW
LBPD,Plovdiv-Krumovo,Plovdiv, ,BULGARIA,https://acukwik.com/Airport-Info/LBPD
LBPR,Primorsko,Primorsko, ,BULGARIA,https://acukwik.com/Airport-Info/LBPR
LBRS,Pyce/Ruse,Ruse, ,BULGARIA,https://acukwik.com/Airport-Info/LBRS
LBSP,Sapareva Banya,Sapareva Banya, ,BULGARIA,https://acukwik.com/Airport-Info/LBSP
LBSF,Sofia International,Sofia, ,BULGARIA,https://acukwik.com/Airport-Info/LBSF
LBWN,Varna,Varna, ,BULGARIA,https://acukwik.com/Airport-Info/LBWN
