ICAO,Airport Name,City,State,Country,Airport Link
VDRK,Ban Lung/Ratanakiri,Ban Lung, ,CAMBODIA,https://acukwik.com/Airport-Info/VDRK
VDBG,Battambang,Battambang, ,CAMBODIA,https://acukwik.com/Airport-Info/VDBG
VDKH,Kampong Chhnang,Kampong Chna, ,CAMBODIA,https://acukwik.com/Airport-Info/VDKH
VDKK,Koh Kong,Koh Kong, ,CAMBODIA,https://acukwik.com/Airport-Info/VDKK
VDMK,Mondulkiri,Mondulkiri, ,CAMBODIA,https://acukwik.com/Airport-Info/VDMK
VDPP,Phnom Penh Intl,Phnom Penh, ,CAMBODIA,https://acukwik.com/Airport-Info/VDPP
VDSR,Angkor Siem Reap International,Siem Reap, ,CAMBODIA,https://acukwik.com/Airport-Info/VDSR
VDSA,Siem Reap Angkhor Intl,Siem Reap, ,CAMBODIA,https://acukwik.com/Airport-Info/VDSA
VDSV,Sihanouk International,Sihanoukville, ,CAMBODIA,https://acukwik.com/Airport-Info/VDSV
VDST,Stung Treng,Stung Treng, ,CAMBODIA,https://acukwik.com/Airport-Info/VDST
