ICAO,Airport Name,City,State,Country,Airport Link
FKKU,Bafoussam,Bafoussam, ,CAMEROON,https://acukwik.com/Airport-Info/FKKU
FKKV,Bamenda,Bamenda, ,CAMEROON,https://acukwik.com/Airport-Info/FKKV
FKKO,Bertoua,Bertoua, ,CAMEROON,https://acukwik.com/Airport-Info/FKKO
FKKD,Douala,Douala, ,CAMEROON,https://acukwik.com/Airport-Info/FKKD
FKKM,Foumban/Nkounja,Foumban, ,CAMEROON,https://acukwik.com/Airport-Info/FKKM
FKKR,Garoua,Garoua, ,CAMEROON,https://acukwik.com/Airport-Info/FKKR
FKKF,Mamfe,Mamfe, ,CAMEROON,https://acukwik.com/Airport-Info/FKKF
FKKL,Maroua/Salak,Maroua, ,CAMEROON,https://acukwik.com/Airport-Info/FKKL
FKKN,Ngaoundere,Ngaoundere, ,CAMEROON,https://acukwik.com/Airport-Info/FKKN
FKKC,Tiko,Tiko, ,CAMEROON,https://acukwik.com/Airport-Info/FKKC
FKKY,Yaounde - Ville,Yaounde, ,CAMEROON,https://acukwik.com/Airport-Info/FKKY
FKYS,Yaounde/Nsimalen,Yaounde, ,CAMEROON,https://acukwik.com/Airport-Info/FKYS
