ICAO,Airport Name,City,State,Country,Airport Link
LDSB,Brac International,Brac, ,CROATIA,https://acukwik.com/Airport-Info/LDSB
LDRG,Cavle/Grobnik (Grobnicko Polje),Cavle, ,CROATIA,https://acukwik.com/Airport-Info/LDRG
LDDU,Dubrovnik Cilipi/Ruder Boskovic,Dubrovnik, ,CROATIA,https://acukwik.com/Airport-Info/LDDU
LDRI,Rijeka,Krk Island, ,CROATIA,https://acukwik.com/Airport-Info/LDRI
LDLO,Losinj/Losinj Island,Mali Losinj, ,CROATIA,https://acukwik.com/Airport-Info/LDLO
LDOS,Osijek (Klisa),Osijek, ,CROATIA,https://acukwik.com/Airport-Info/LDOS
LDOC,Osijek-Cepin,Osijek, ,CROATIA,https://acukwik.com/Airport-Info/LDOC
LDPL,Pula,Pula, ,CROATIA,https://acukwik.com/Airport-Info/LDPL
LDSP,Split (Saint Jerome),Split, ,CROATIA,https://acukwik.com/Airport-Info/LDSP
LDZU,Udbina AB,Udbina, ,CROATIA,https://acukwik.com/Airport-Info/LDZU
LDVA,Varazdin,Varazdin, ,CROATIA,https://acukwik.com/Airport-Info/LDVA
LDZD,Zadar (Zemunik),Zadar, ,CROATIA,https://acukwik.com/Airport-Info/LDZD
LDZA,Zagreb (Franjo Tudman),Zagreb, ,CROATIA,https://acukwik.com/Airport-Info/LDZA
