ICAO,Airport Name,City,State,Country,Airport Link
MUBA,Baracoa/Gustavo Rizo,Baracoa, ,CUBA,https://acukwik.com/Airport-Info/MUBA
MUBY,Bayamo/Carlos Manuel De Cespedes,Bayamo, ,CUBA,https://acukwik.com/Airport-Info/MUBY
MUCM,Camaguey/Ignacio Agramonte International,Camaguey, ,CUBA,https://acukwik.com/Airport-Info/MUCM
MUCC,Cayo Coco/Jardines Del Rey International,Cayo Coco, ,CUBA,https://acukwik.com/Airport-Info/MUCC
MUCL,Cayo Largo Del Sur - Vilo Acuna Intl,Cayo Largo del Sur, ,CUBA,https://acukwik.com/Airport-Info/MUCL
MUBR,Cayo Las Brujas/Las Brujas,Cayo Las Brujas, ,CUBA,https://acukwik.com/Airport-Info/MUBR
MUCA,Ciego De Avila/Maximo Gomez,Ciego De Avila, ,CUBA,https://acukwik.com/Airport-Info/MUCA
MUCF,Cienfuegos/Jaime Gonzalez Intl,Cienfuegos, ,CUBA,https://acukwik.com/Airport-Info/MUCF
MUGT,Guantanamo/Mariana Grajales,Guantanamo, ,CUBA,https://acukwik.com/Airport-Info/MUGT
MUGM,Leeward Point Field/Guantanamo Bay AB,Guantanamo Bay, ,CUBA,https://acukwik.com/Airport-Info/MUGM
MULB,Havana/Ciudad Libertad,Havana, ,CUBA,https://acukwik.com/Airport-Info/MULB
MUHA,Havana/Jose Marti International,Havana, ,CUBA,https://acukwik.com/Airport-Info/MUHA
MUPB,Havana/Playa Baracoa,Havana, ,CUBA,https://acukwik.com/Airport-Info/MUPB
MUHG,Holguin/Frank Pais International,Holguin, ,CUBA,https://acukwik.com/Airport-Info/MUHG
MUSN,Isla de La Juventud/Siguanea,Isla de La Juventud, ,CUBA,https://acukwik.com/Airport-Info/MUSN
MUVT,Las Tunas/Hermanos Ameijeiras,Las Tunas, ,CUBA,https://acukwik.com/Airport-Info/MUVT
MUMG,Managua AB,Managua, ,CUBA,https://acukwik.com/Airport-Info/MUMG
MUMZ,Manzanillo/Sierra Maestra,Manzanillo, ,CUBA,https://acukwik.com/Airport-Info/MUMZ
MUMO,Moa/Orestes Acosta,Moa, ,CUBA,https://acukwik.com/Airport-Info/MUMO
MUNG,Nueva Gerona/Rafael Cabrera,Nueva Gerona, ,CUBA,https://acukwik.com/Airport-Info/MUNG
MULM,Pinar Del Rio/La Coloma,Pinar Del Rio, ,CUBA,https://acukwik.com/Airport-Info/MULM
MUSL,Santa Lucia/Joaquin de Aguero,Playa Santa Lucia, ,CUBA,https://acukwik.com/Airport-Info/MUSL
MUSA,San Antonio De Los Banos AB,San Antonio De Los Banos, ,CUBA,https://acukwik.com/Airport-Info/MUSA
MUSJ,San Julian Air Base,San Julian, ,CUBA,https://acukwik.com/Airport-Info/MUSJ
MUSS,Sancti Spiritus,Sancti Spiritus, ,CUBA,https://acukwik.com/Airport-Info/MUSS
MUSC,Santa Clara/Abel Santamaria International,Santa Clara, ,CUBA,https://acukwik.com/Airport-Info/MUSC
MUCU,Santiago de Cuba/Antonio Maceo Internacional,Santiago de Cuba, ,CUBA,https://acukwik.com/Airport-Info/MUCU
MUTD,Trinidad/Alberto Delgado,Trinidad, ,CUBA,https://acukwik.com/Airport-Info/MUTD
MUVR,Varadero/Juan Gualberto Gomez International,Varadero, ,CUBA,https://acukwik.com/Airport-Info/MUVR
MUKW,Varadero/Kawama,Varadero, ,CUBA,https://acukwik.com/Airport-Info/MUKW
