ICAO,Airport Name,City,State,Country,Airport Link
EKYT,Aalborg,Aalborg, ,DENMARK,https://acukwik.com/Airport-Info/EKYT
EKAH,Aarhus,Aarhus, ,DENMARK,https://acukwik.com/Airport-Info/EKAH
EKVH,Aars/Vesthimmerlands,Aars, ,DENMARK,https://acukwik.com/Airport-Info/EKVH
EKBI,Billund,Billund, ,DENMARK,https://acukwik.com/Airport-Info/EKBI
EKCH,Copenhagen/Kastrup,Copenhagen, ,DENMARK,https://acukwik.com/Airport-Info/EKCH
EKRK,Copenhagen/Roskilde,Copenhagen, ,DENMARK,https://acukwik.com/Airport-Info/EKRK
EKEB,Esbjerg ,Esbjerg, ,DENMARK,https://acukwik.com/Airport-Info/EKEB
EKHV,Haderslev,Haderslev, ,DENMARK,https://acukwik.com/Airport-Info/EKHV
EKHG,Herning,Herning, ,DENMARK,https://acukwik.com/Airport-Info/EKHG
EKGH,Groenholt,Hilleroed, ,DENMARK,https://acukwik.com/Airport-Info/EKGH
EKHK,Holbaek,Holbaek, ,DENMARK,https://acukwik.com/Airport-Info/EKHK
EKKL,Kalundborg (Kaldred),Kalundborg, ,DENMARK,https://acukwik.com/Airport-Info/EKKL
EKKA,Karup/Midtjyllands,Karup, ,DENMARK,https://acukwik.com/Airport-Info/EKKA
EKVD,Kolding/Vamdrup,Kolding, ,DENMARK,https://acukwik.com/Airport-Info/EKVD
EKLS,Laeso,Laeso, ,DENMARK,https://acukwik.com/Airport-Info/EKLS
EKMB,Lolland Falster,Maribo, ,DENMARK,https://acukwik.com/Airport-Info/EKMB
EKOD,Odense/Hans Christian Andersen,Odense, ,DENMARK,https://acukwik.com/Airport-Info/EKOD
EKPB,Krusa,Padborg, ,DENMARK,https://acukwik.com/Airport-Info/EKPB
EKRD,Randers,Randers, ,DENMARK,https://acukwik.com/Airport-Info/EKRD
EKVJ,Stauning,Ringkobing, ,DENMARK,https://acukwik.com/Airport-Info/EKVJ
EKRN,Bornholm/Ronne,Ronne, ,DENMARK,https://acukwik.com/Airport-Info/EKRN
EKSN,Sindal,Sindal, ,DENMARK,https://acukwik.com/Airport-Info/EKSN
EKSV,Skive,Skive, ,DENMARK,https://acukwik.com/Airport-Info/EKSV
EKSB,Sonderborg,Sonderborg, ,DENMARK,https://acukwik.com/Airport-Info/EKSB
EKST,Tasinge/Elvira Madigan,Svendborg, ,DENMARK,https://acukwik.com/Airport-Info/EKST
EKTS,Thisted,Thisted, ,DENMARK,https://acukwik.com/Airport-Info/EKTS
EKVB,Viborg,Viborg, ,DENMARK,https://acukwik.com/Airport-Info/EKVB
EKSP,Vojens/Skrydstrup,Vojens, ,DENMARK,https://acukwik.com/Airport-Info/EKSP
