ICAO,Airport Name,City,State,Country,Airport Link
NFNL,Labasa,Labasa, ,FIJI,https://acukwik.com/Airport-Info/NFNL
NFNH,Laucala,Laucala Island, ,FIJI,https://acukwik.com/Airport-Info/NFNH
NFNB,Levuka/Bureta,Levuka, ,FIJI,https://acukwik.com/Airport-Info/NFNB
NFNM,Matei,Matei, ,FIJI,https://acukwik.com/Airport-Info/NFNM
NFFN,Nadi International,Nadi, ,FIJI,https://acukwik.com/Airport-Info/NFFN
NFND,Pacific Harbour (Nanuku),Pacific Harbour, ,FIJI,https://acukwik.com/Airport-Info/NFND
NFNR,Rotuma,Rotuma, ,FIJI,https://acukwik.com/Airport-Info/NFNR
NFNS,Savusavu,Savusavu, ,FIJI,https://acukwik.com/Airport-Info/NFNS
NFNA,Nausori International,Suva, ,FIJI,https://acukwik.com/Airport-Info/NFNA
NFNK,Lakeba Island,Tubou, ,FIJI,https://acukwik.com/Airport-Info/NFNK
NFKD,Kadavu Vunisea,Vunisea, ,FIJI,https://acukwik.com/Airport-Info/NFKD
NFNW,Wakaya Island,Wakaya Resort, ,FIJI,https://acukwik.com/Airport-Info/NFNW
