ICAO,Airport Name,City,State,Country,Airport Link
EFAA,Aaavahelukka,Akaslompolo, ,FINLAND,https://acukwik.com/Airport-Info/EFAA
EFME,Menkijarvi,Alajarvi, ,FINLAND,https://acukwik.com/Airport-Info/EFME
EFAL,Alavus,Alavus, ,FINLAND,https://acukwik.com/Airport-Info/EFAL
EFET,Enontekio,Enontekio, ,FINLAND,https://acukwik.com/Airport-Info/EFET
EFEU,Eura,Eura, ,FINLAND,https://acukwik.com/Airport-Info/EFEU
EFFO,Forssa,Forssa, ,FINLAND,https://acukwik.com/Airport-Info/EFFO
EFRY,Rayskala,Forssa, ,FINLAND,https://acukwik.com/Airport-Info/EFRY
EFHP,Haapavesi,Haapavesi, ,FINLAND,https://acukwik.com/Airport-Info/EFHP
EFHM,Hameenkyro,Hameenkyro, ,FINLAND,https://acukwik.com/Airport-Info/EFHM
EFHN,Hanko,Hanko, ,FINLAND,https://acukwik.com/Airport-Info/EFHN
EFHK,Helsinki Vantaa,Helsinki, ,FINLAND,https://acukwik.com/Airport-Info/EFHK
EFHV,Hyvinkaa,Hyvinkaa, ,FINLAND,https://acukwik.com/Airport-Info/EFHV
EFII,Iisaalmi,Iisaalmi, ,FINLAND,https://acukwik.com/Airport-Info/EFII
EFIM,Immola,Imatra, ,FINLAND,https://acukwik.com/Airport-Info/EFIM
EFIV,Ivalo,Ivalo, ,FINLAND,https://acukwik.com/Airport-Info/EFIV
EFJM,Jamijarvi,Jamijarvi, ,FINLAND,https://acukwik.com/Airport-Info/EFJM
EFHA,Halli AB,Jamsa, ,FINLAND,https://acukwik.com/Airport-Info/EFHA
EFJO,Joensuu,Joensuu, ,FINLAND,https://acukwik.com/Airport-Info/EFJO
EFJY,Jyvaskyla AB,Jyvaskyla, ,FINLAND,https://acukwik.com/Airport-Info/EFJY
EFKI,Kajaani,Kajaani, ,FINLAND,https://acukwik.com/Airport-Info/EFKI
EFKO,Kalajoki,Kalajoki, ,FINLAND,https://acukwik.com/Airport-Info/EFKO
EFKJ,Kauhajoki,Kauhajoki, ,FINLAND,https://acukwik.com/Airport-Info/EFKJ
EFKA,Kauhava,Kauhava, ,FINLAND,https://acukwik.com/Airport-Info/EFKA
EFKE,Kemi-Tornio,Kemi, ,FINLAND,https://acukwik.com/Airport-Info/EFKE
EFKM,Kemijarvi,Kemijarvi, ,FINLAND,https://acukwik.com/Airport-Info/EFKM
EFIK,Kiikala,Kiikala, ,FINLAND,https://acukwik.com/Airport-Info/EFIK
EFIT,Kitee,Kitee, ,FINLAND,https://acukwik.com/Airport-Info/EFIT
EFKT,Kittilä,Kittilä, ,FINLAND,https://acukwik.com/Airport-Info/EFKT
EFRV,Kiuruvesi,Kiuruvesi, ,FINLAND,https://acukwik.com/Airport-Info/EFRV
EFKV,Kivijarvi,Kivijarvi, ,FINLAND,https://acukwik.com/Airport-Info/EFKV
EFPI,Piikajarvi,Kokemaki, ,FINLAND,https://acukwik.com/Airport-Info/EFPI
EFKK,Kokkola-Pietarsaari (Kruunupyy),Kokkola, ,FINLAND,https://acukwik.com/Airport-Info/EFKK
EFKY,Kotka/Kymi,Kotka, ,FINLAND,https://acukwik.com/Airport-Info/EFKY
EFUT,Kouvola/Utti AB,Kouvola, ,FINLAND,https://acukwik.com/Airport-Info/EFUT
EFSE,Selanpaa,Kouvolaselanp, ,FINLAND,https://acukwik.com/Airport-Info/EFSE
