ICAO,Airport Name,City,State,Country,Airport Link
LFOI,Abbeville,Abbeville, ,FRANCE,https://acukwik.com/Airport-Info/LFOI
LFBA,Agen-La Garenne,Agen, ,FRANCE,https://acukwik.com/Airport-Info/LFBA
LFDA,Aire Sur L'Adour,Aire Sur L'Adour, ,FRANCE,https://acukwik.com/Airport-Info/LFDA
LFMA,Aix-les-Milles,Aix-en-Provence, ,FRANCE,https://acukwik.com/Airport-Info/LFMA
LFKJ,Ajaccio Napoleon Bonaparte,Ajaccio, ,FRANCE,https://acukwik.com/Airport-Info/LFKJ
LFAQ,Amiens Henry Potez Intl,Albert, ,FRANCE,https://acukwik.com/Airport-Info/LFAQ
LFKA,Albertville General Pierre,Albertville, ,FRANCE,https://acukwik.com/Airport-Info/LFKA
LFCI,Albi-Le Sequestre,Albi, ,FRANCE,https://acukwik.com/Airport-Info/LFCI
LFMS,Ales-(Deaux) Cevennes,Ales, ,FRANCE,https://acukwik.com/Airport-Info/LFMS
LFXA,Amberieu AB,Amberieu en Bugey, ,FRANCE,https://acukwik.com/Airport-Info/LFXA
LFEF,Amboise Dierre,Amboise, ,FRANCE,https://acukwik.com/Airport-Info/LFEF
LFAY,Amiens/Glisy,Amiens, ,FRANCE,https://acukwik.com/Airport-Info/LFAY
LFFI,Ancenis,Ancensis-Saint-Gereon, ,FRANCE,https://acukwik.com/Airport-Info/LFFI
LFJR,Angers Loire,Angers, ,FRANCE,https://acukwik.com/Airport-Info/LFJR
LFBU,Angouleme-Cognac (Brie-Champniers),Angouleme, ,FRANCE,https://acukwik.com/Airport-Info/LFBU
LFLP,Annecy Mont Blanc (Meythet),Annecy, ,FRANCE,https://acukwik.com/Airport-Info/LFLP
LFLI,Annemasse,Annemasse-Geneva, ,FRANCE,https://acukwik.com/Airport-Info/LFLI
LFCH,Arcachon La Teste de Buch,Arcachon, ,FRANCE,https://acukwik.com/Airport-Info/LFCH
LFHO,Aubenas-Ardeche Meridionale (Vals Lanas),Aubenas, ,FRANCE,https://acukwik.com/Airport-Info/LFHO
LFEH,Aubigny Sur Nere,Aubigny-S-Nere, ,FRANCE,https://acukwik.com/Airport-Info/LFEH
LFDH,Auch Gers,Auch, ,FRANCE,https://acukwik.com/Airport-Info/LFDH
LFLW,Aurillac Tronquieres,Aurillac, ,FRANCE,https://acukwik.com/Airport-Info/LFLW
LFQF,Autun-Bellevue,Autun, ,FRANCE,https://acukwik.com/Airport-Info/LFQF
LFLA,Auxerre-Branches,Auxerre, ,FRANCE,https://acukwik.com/Airport-Info/LFLA
LFMV,Avignon-Provence,Avignon, ,FRANCE,https://acukwik.com/Airport-Info/LFMV
LFOA,Avord AB,Avord, ,FRANCE,https://acukwik.com/Airport-Info/LFOA
LFAO,Bagnoles de L'Orne Couterne,Bagnoles de L'Orne, ,FRANCE,https://acukwik.com/Airport-Info/LFAO
LFEA,Belle-Île,Bangor, ,FRANCE,https://acukwik.com/Airport-Info/LFEA
LFSB,Basel-Mulhouse (BSL/MLH),Basle Mulhouse, ,FRANCE,https://acukwik.com/Airport-Info/LFSB
LFKB,Bastia/Poretta,Bastia, ,FRANCE,https://acukwik.com/Airport-Info/LFKB
LFPA,Persan-Beaumont,Beaumont-sur-Oise, ,FRANCE,https://acukwik.com/Airport-Info/LFPA
LFGF,Beaune-Challanges,Beaune, ,FRANCE,https://acukwik.com/Airport-Info/LFGF
LFOB,Beauvais-Tille,Beauvais, ,FRANCE,https://acukwik.com/Airport-Info/LFOB
LFBE,Bergerac Dordogne Perigord,Bergerac, ,FRANCE,https://acukwik.com/Airport-Info/LFBE
LFPD,Bernay-Saint Martin,Bernay, ,FRANCE,https://acukwik.com/Airport-Info/LFPD
LFNR,Berre-La Fare,Berre, ,FRANCE,https://acukwik.com/Airport-Info/LFNR
LFQM,Besancon-La Veze,Besancon, ,FRANCE,https://acukwik.com/Airport-Info/LFQM
LFMU,Béziers Cap d'Agde en Languedoc,Beziers, ,FRANCE,https://acukwik.com/Airport-Info/LFMU
LFBZ,Biarritz Pays Basque,Biarritz, ,FRANCE,https://acukwik.com/Airport-Info/LFBZ
LFBS,Biscarrosse/Parentis,Biscarrosse, ,FRANCE,https://acukwik.com/Airport-Info/LFBS
LFOQ,Blois Le Breuil,Blois, ,FRANCE,https://acukwik.com/Airport-Info/LFOQ
LFBD,Bordeaux Merignac International,Bordeaux, ,FRANCE,https://acukwik.com/Airport-Info/LFBD
LFHS,Bourg-Ceyzeriat,Bourg-En-Bresse, ,FRANCE,https://acukwik.com/Airport-Info/LFHS
LFLD,Bourges,Bourges, ,FRANCE,https://acukwik.com/Airport-Info/LFLD
LFRB,Brest Bretagne,Brest, ,FRANCE,https://acukwik.com/Airport-Info/LFRB
LFFN,Brienne-Le Chateau,Brienne, ,FRANCE,https://acukwik.com/Airport-Info/LFFN
LFSL,Brive-Souillac Vallee de la Dordogne,Brive-La-Gaillarde, ,FRANCE,https://acukwik.com/Airport-Info/LFSL
LFRK,Caen Carpiquet,Caen, ,FRANCE,https://acukwik.com/Airport-Info/LFRK
LFCC,Cahors/Lalbenque,Cahors, ,FRANCE,https://acukwik.com/Airport-Info/LFCC
LFAC,Calais-Marck,Calais, ,FRANCE,https://acukwik.com/Airport-Info/LFAC
LFKC,Calvi-Sainte Catherine,Calvi, ,FRANCE,https://acukwik.com/Airport-Info/LFKC
LFQI,Cambrai-Epinoy AB,Cambrai, ,FRANCE,https://acukwik.com/Airport-Info/LFQI
LFMD,Cannes-Mandelieu,Cannes, ,FRANCE,https://acukwik.com/Airport-Info/LFMD
LFMK,Carcassonne Salvaza,Carcassonne, ,FRANCE,https://acukwik.com/Airport-Info/LFMK
LFNH,Carpentras/Ventoux,Carpentras, ,FRANCE,https://acukwik.com/Airport-Info/LFNH
LFIG,Cassagnes Begon / du Caucart,Cassagnes Begon, ,FRANCE,https://acukwik.com/Airport-Info/LFIG
LFCK,Castres/Mazamet,Castres, ,FRANCE,https://acukwik.com/Airport-Info/LFCK
LFBC,Cazaux AB,Cazaux, ,FRANCE,https://acukwik.com/Airport-Info/LFBC
LFLH,Chalon Champforgeuil,Chalon-Sur-Saône, ,FRANCE,https://acukwik.com/Airport-Info/LFLH
LFQK,Chalons-Ecury Sur Coole,Chalons, ,FRANCE,https://acukwik.com/Airport-Info/LFQK
LFOK,Paris Vatry (Chalons),Chalons-en-Champagne, ,FRANCE,https://acukwik.com/Airport-Info/LFOK
