ICAO,Airport Name,City,State,Country,Airport Link
BGAA,Aasiaat,Aasiaat, ,GREENLAND,https://acukwik.com/Airport-Info/BGAA
BGJN,Ilulissat,Ilulissat, ,GREENLAND,https://acukwik.com/Airport-Info/BGJN
BGCO,Nerlerit Inaat,Ittoqqortoormiit, ,GREENLAND,https://acukwik.com/Airport-Info/BGCO
BGSF,Kangerlussuaq Sondrestrom,Kangerlussuaq, ,GREENLAND,https://acukwik.com/Airport-Info/BGSF
BGKK,Kulusuk ,Kulusuk, ,GREENLAND,https://acukwik.com/Airport-Info/BGKK
BGMQ,Maniitsoq,Maniitsoq, ,GREENLAND,https://acukwik.com/Airport-Info/BGMQ
BGBW,Narsarsuaq,Narsarsuaq, ,GREENLAND,https://acukwik.com/Airport-Info/BGBW
BGGH,Godthab/Nuuk,Nuuk, ,GREENLAND,https://acukwik.com/Airport-Info/BGGH
BGPT,Paamiut,Paamiut, ,GREENLAND,https://acukwik.com/Airport-Info/BGPT
BGQQ,Qaanaaq,Qaanaaq, ,GREENLAND,https://acukwik.com/Airport-Info/BGQQ
BGTL,Qaanaaq/Pituffik Space Base,Qaanaaq, ,GREENLAND,https://acukwik.com/Airport-Info/BGTL
BGSS,Sisimiut,Sisimiut, ,GREENLAND,https://acukwik.com/Airport-Info/BGSS
BGUK,Upernavik,Upernavik, ,GREENLAND,https://acukwik.com/Airport-Info/BGUK
BGUQ,Qaarsut/Uummannaq,Uummannaq, ,GREENLAND,https://acukwik.com/Airport-Info/BGUQ
