ICAO,Airport Name,City,State,Country,Airport Link
MGBN,Izabal/Bananera,Bananera, ,GUATEMALA,https://acukwik.com/Airport-Info/MGBN
MGCB,Cobán,Cobán, ,GUATEMALA,https://acukwik.com/Airport-Info/MGCB
MGMM,Flores/Mundo Maya International,Flores, ,GUATEMALA,https://acukwik.com/Airport-Info/MGMM
MGGT,Guatemala City/La Aurora International,Guatemala City, ,GUATEMALA,https://acukwik.com/Airport-Info/MGGT
MGPP,Poptún,Poptún, ,GUATEMALA,https://acukwik.com/Airport-Info/MGPP
MGPB,Puerto Barrios,Puerto Barrios, ,GUATEMALA,https://acukwik.com/Airport-Info/MGPB
MGQZ,Quetzaltenango/Los Altos,Quetzaltenango, ,GUATEMALA,https://acukwik.com/Airport-Info/MGQZ
MGRT,Retalhuleu,Retalhuleu, ,GUATEMALA,https://acukwik.com/Airport-Info/MGRT
MGRB,Rubelsanto,Rubelsanto, ,GUATEMALA,https://acukwik.com/Airport-Info/MGRB
MGSJ,Puerto de San Jose Escuintla,San Jose, ,GUATEMALA,https://acukwik.com/Airport-Info/MGSJ
MGCQ,Quiché,Santa Cruz del Quiché, ,GUATEMALA,https://acukwik.com/Airport-Info/MGCQ
