ICAO,Airport Name,City,State,Country,Airport Link
EIBN,Bantry,Bantry, ,IRELAND,https://acukwik.com/Airport-Info/EIBN
EIKN,Ireland West Knock,Charlestown, ,IRELAND,https://acukwik.com/Airport-Info/EIKN
EICK,Cork,Cork, ,IRELAND,https://acukwik.com/Airport-Info/EICK
EIDL,Donegal,Donegal, ,IRELAND,https://acukwik.com/Airport-Info/EIDL
EIME,Baldonnel/Casement AB,Dublin, ,IRELAND,https://acukwik.com/Airport-Info/EIME
EIDW,Dublin,Dublin, ,IRELAND,https://acukwik.com/Airport-Info/EIDW
EIWT,Dublin/Weston,Dublin, ,IRELAND,https://acukwik.com/Airport-Info/EIWT
EICA,Connemara/Spiddal,Galway, ,IRELAND,https://acukwik.com/Airport-Info/EICA
EICM,Galway Carnmore,Galway, ,IRELAND,https://acukwik.com/Airport-Info/EICM
EIIR,Inisheer,Galway, ,IRELAND,https://acukwik.com/Airport-Info/EIIR
EIMN,Inishmaan/Inis Meáin Island,Galway, ,IRELAND,https://acukwik.com/Airport-Info/EIMN
EIIM,Inishmore,Galway, ,IRELAND,https://acukwik.com/Airport-Info/EIIM
EIKY,Killarney/Kerry,Killarney, ,IRELAND,https://acukwik.com/Airport-Info/EIKY
EILT,Letterkenny/Stevenson's,Letterkenny, ,IRELAND,https://acukwik.com/Airport-Info/EILT
EINN,Shannon International,Shannon, ,IRELAND,https://acukwik.com/Airport-Info/EINN
EISG,Strandhill Sligo,Sligo, ,IRELAND,https://acukwik.com/Airport-Info/EISG
EIWF,Waterford,Waterford, ,IRELAND,https://acukwik.com/Airport-Info/EIWF
