ICAO,Airport Name,City,State,Country,Airport Link
LIMG,Albenga/Riviera Villanova d'Albenga Intl,Albenga, ,ITALY,https://acukwik.com/Airport-Info/LIMG
LIEA,Alghero/Fertilia,Alghero, ,ITALY,https://acukwik.com/Airport-Info/LIEA
LILA,Allesandria,Allesandria, ,ITALY,https://acukwik.com/Airport-Info/LILA
LILB,Alzate Brianza,Alzate Brianza, ,ITALY,https://acukwik.com/Airport-Info/LILB
LIPY,Ancona/Marche,Ancona, ,ITALY,https://acukwik.com/Airport-Info/LIPY
LIMW,Aosta,Aosta, ,ITALY,https://acukwik.com/Airport-Info/LIMW
LIAQ,Aquino,Aquino, ,ITALY,https://acukwik.com/Airport-Info/LIAQ
LIET,Arbatax/Tortoli,Arbatax, ,ITALY,https://acukwik.com/Airport-Info/LIET
LIQB,Arezzo/Molin Blanco,Arezzo, ,ITALY,https://acukwik.com/Airport-Info/LIQB
LIBD,Palese/Bari-Karol Wojtyla,Bari, ,ITALY,https://acukwik.com/Airport-Info/LIBD
LIDB,Belluno / Arturo Dell'Orro,Belluno, ,ITALY,https://acukwik.com/Airport-Info/LIDB
LIME,Milan Bergamo (Orio Al Serio),Bergamo, ,ITALY,https://acukwik.com/Airport-Info/LIME
LILE,Biella/Cerrione Pietro Venanzi,Biella, ,ITALY,https://acukwik.com/Airport-Info/LILE
LIPE,Bologna/Guglielmo Marconi,Bologna, ,ITALY,https://acukwik.com/Airport-Info/LIPE
LIPB,Bolzano Bozen,Bolzano, ,ITALY,https://acukwik.com/Airport-Info/LIPB
LIPO,Brescia/Montichiari,Brescia, ,ITALY,https://acukwik.com/Airport-Info/LIPO
LIBR,Brindisi/Papola-Casale/Salento,Brindisi, ,ITALY,https://acukwik.com/Airport-Info/LIBR
LIEE,Cagliari/Elmas,Cagliari, ,ITALY,https://acukwik.com/Airport-Info/LIEE
LIMN,Cameri AB,Cameri, ,ITALY,https://acukwik.com/Airport-Info/LIMN
LIAU,Capua,Capua, ,ITALY,https://acukwik.com/Airport-Info/LIAU
LILM,Casale Monferrato / F. Cappa,Casale Monferrato, ,ITALY,https://acukwik.com/Airport-Info/LILM
LICC,Catania Fontanarossa/Vincenzo Bellini,Catania, ,ITALY,https://acukwik.com/Airport-Info/LICC
LICZ,Catania/Sigonella Navy AB,Catania, ,ITALY,https://acukwik.com/Airport-Info/LICZ
LIPC,Cervia AB,Cervia, ,ITALY,https://acukwik.com/Airport-Info/LIPC
LILQ,Cinquale/Massa Cinquale,Cinquale, ,ITALY,https://acukwik.com/Airport-Info/LILQ
LICB,Comiso Pio La Torre,Comiso, ,ITALY,https://acukwik.com/Airport-Info/LICB
LILY,Como,Como, ,ITALY,https://acukwik.com/Airport-Info/LILY
LILR,Cremona / Migliaro,Cremona, ,ITALY,https://acukwik.com/Airport-Info/LILR
LIBC,Crotone,Crotone, ,ITALY,https://acukwik.com/Airport-Info/LIBC
LIMZ,Cuneo/Levaldigi,Cuneo, ,ITALY,https://acukwik.com/Airport-Info/LIMZ
LIED,Decimomannu AB,Decimomannu, ,ITALY,https://acukwik.com/Airport-Info/LIED
LIRJ,Elba Island/Marina Di Campo,Elba Island, ,ITALY,https://acukwik.com/Airport-Info/LIRJ
,Esine,Esine, ,ITALY,https://acukwik.com/Airport-Info/ACMPQOL
LIDF,Fano Airfield,Fano, ,ITALY,https://acukwik.com/Airport-Info/LIDF
LINF,Fermo/Fermano Airfield,Fermo, ,ITALY,https://acukwik.com/Airport-Info/LINF
LIDV,Ferrara/Prati Vecchi D'Aguscello ,Ferrara, ,ITALY,https://acukwik.com/Airport-Info/LIDV
LIPF,Ferrara/San Luca,Ferrara, ,ITALY,https://acukwik.com/Airport-Info/LIPF
LIRQ,Florence/Amerigo Vespucci Peretola (Firenze),Florence, ,ITALY,https://acukwik.com/Airport-Info/LIRQ
LIBF,Foggia Gino Lisa,Foggia, ,ITALY,https://acukwik.com/Airport-Info/LIBF
LIBA,Foggia/32nd Wing - Amendola AB,Foggia, ,ITALY,https://acukwik.com/Airport-Info/LIBA
LIAF,Foligno,Foligno, ,ITALY,https://acukwik.com/Airport-Info/LIAF
LIPK,Forli L Ridolfi,Forli, ,ITALY,https://acukwik.com/Airport-Info/LIPK
LIMJ,Genoa/Sestri (Cristoforo Colombo),Genoa, ,ITALY,https://acukwik.com/Airport-Info/LIMJ
LIPL,Ghedi AB,Ghedi, ,ITALY,https://acukwik.com/Airport-Info/LIPL
LIBV,Gioia Del Colle Antonio Ramirez AB,Gioia Del Colle, ,ITALY,https://acukwik.com/Airport-Info/LIBV
LIPG,Gorizia/ Duca D'Aosta ,Gorizia, ,ITALY,https://acukwik.com/Airport-Info/LIPG
LIRM,Grazzanise AB,Grazzanise, ,ITALY,https://acukwik.com/Airport-Info/LIRM
LIRS,Grosseto (Corrado Baccarini),Grosseto, ,ITALY,https://acukwik.com/Airport-Info/LIRS
LIRG,Rome/Guidonia AB,Guidonia , ,ITALY,https://acukwik.com/Airport-Info/LIRG
LIAP,L'Aquila/Preturo Parchi (Giuliana Tamburro),L'Aquila, ,ITALY,https://acukwik.com/Airport-Info/LIAP
LICA,Lamezia Terme,Lamezia, ,ITALY,https://acukwik.com/Airport-Info/LICA
LICD,Lampedusa,Lampedusa, ,ITALY,https://acukwik.com/Airport-Info/LICD
LIRL,Latina AB,Latina, ,ITALY,https://acukwik.com/Airport-Info/LIRL
LIBN,Galatina/Lecce AB,Lecce, ,ITALY,https://acukwik.com/Airport-Info/LIBN
LINL,Lecce/Lepore,Lecce, ,ITALY,https://acukwik.com/Airport-Info/LINL
LIQL,Lucca/Tassignano,Lucca/Capannori, ,ITALY,https://acukwik.com/Airport-Info/LIQL
LIDG,Lugo/Lugo di Romagna (Francesco Baracca),Lugo, ,ITALY,https://acukwik.com/Airport-Info/LIDG
LIMB,Milan/Bresso,Milan, ,ITALY,https://acukwik.com/Airport-Info/LIMB
LIML,Milan/Linate,Milan, ,ITALY,https://acukwik.com/Airport-Info/LIML
LIMC,Milan/Malpensa,Milan, ,ITALY,https://acukwik.com/Airport-Info/LIMC
LIDU,Modena/Carpi(Budrione),Modena , ,ITALY,https://acukwik.com/Airport-Info/LIDU
LIPM,Modena/Marzaglia,Modena, ,ITALY,https://acukwik.com/Airport-Info/LIPM
LIRN,Naples/Capodichino (Napoli),Naples, ,ITALY,https://acukwik.com/Airport-Info/LIRN
LIMR,Novi Ligure (E Mossi),Novi Ligure, ,ITALY,https://acukwik.com/Airport-Info/LIMR
LIEO,Olbia/Costa Smeralda,Olbia, ,ITALY,https://acukwik.com/Airport-Info/LIEO
LIER,Sardinia/Oristano Fenosu,Oristano, ,ITALY,https://acukwik.com/Airport-Info/LIER
LIPU,Padova/Gino Allegri ,Padova, ,ITALY,https://acukwik.com/Airport-Info/LIPU
LICP,Palermo/Bocca di Falco,Palermo, ,ITALY,https://acukwik.com/Airport-Info/LICP
LICJ,Palermo/Punta Raisi Falcone Borsellino,Palermo, ,ITALY,https://acukwik.com/Airport-Info/LICJ
LICG,Pantelleria AB,Pantelleria, ,ITALY,https://acukwik.com/Airport-Info/LICG
LIMP,Parma G Verdi,Parma, ,ITALY,https://acukwik.com/Airport-Info/LIMP
LIDP,Pavullo,Pavullo, ,ITALY,https://acukwik.com/Airport-Info/LIDP
LIRZ,Umbria-Perugia Intl San Francesco d'Assisi,Perugia, ,ITALY,https://acukwik.com/Airport-Info/LIRZ
LIBP,Pescara/D'Abruzzo Intl,Pescara, ,ITALY,https://acukwik.com/Airport-Info/LIBP
LIMS,Piacenza/Piacenza S.Damiano AB,Piacenza, ,ITALY,https://acukwik.com/Airport-Info/LIMS
LIRP,Pisa International San Giusto Galileo Galilei,Pisa, ,ITALY,https://acukwik.com/Airport-Info/LIRP
LIRE,Pomezia/Pratica Di Mare AB,Pomezia, ,ITALY,https://acukwik.com/Airport-Info/LIRE
LIPA,Pordenone/Aviano MIL,Pordenone, ,ITALY,https://acukwik.com/Airport-Info/LIPA
LIDR,Ravenna,Ravenna, ,ITALY,https://acukwik.com/Airport-Info/LIDR
LICR,Reggio Calabria Tito Minniti,Reggio di Calabria, ,ITALY,https://acukwik.com/Airport-Info/LICR
LIDE,Reggio Emilia,Reggio Emilia, ,ITALY,https://acukwik.com/Airport-Info/LIDE
LIQN,Rieti,Rieti, ,ITALY,https://acukwik.com/Airport-Info/LIQN
