ICAO,Airport Name,City,State,Country,Airport Link
VLAP,Attapeu,Attapeu, ,LAOS,https://acukwik.com/Airport-Info/VLAP
VLHS,Ban Hat Tai/Huoeisay,Ban Hat Tai, ,LAOS,https://acukwik.com/Airport-Info/VLHS
VLLN,Luang Namtha,Luang Namtha, ,LAOS,https://acukwik.com/Airport-Info/VLLN
VLLB,Luang Prabang International,Luang Prabang, ,LAOS,https://acukwik.com/Airport-Info/VLLB
VLOS,Oudomsay,Muang Xai, ,LAOS,https://acukwik.com/Airport-Info/VLOS
VLPS,Pakse International,Pakze, ,LAOS,https://acukwik.com/Airport-Info/VLPS
VLFL,Boun Neua,Phonsaly, ,LAOS,https://acukwik.com/Airport-Info/VLFL
VLSK,Savannakhet,Savannakhet, ,LAOS,https://acukwik.com/Airport-Info/VLSK
VLSB,Sayaboury,Sayaboury, ,LAOS,https://acukwik.com/Airport-Info/VLSB
VLVT,Vientiane/Wattay International,Vientiane, ,LAOS,https://acukwik.com/Airport-Info/VLVT
VLXK,Xieng Khouang/Phonsavan,Xieng Khouang, ,LAOS,https://acukwik.com/Airport-Info/VLXK
