ICAO,Airport Name,City,State,Country,Airport Link
HLZG,Zueitina Oxy 103A,Ajdabiya, ,LIBYA,https://acukwik.com/Airport-Info/HLZG
HLLQ,Al Abraq (Labraq)/El Beida,Al Bayda, ,LIBYA,https://acukwik.com/Airport-Info/HLLQ
HLUB,Ubari ,Awbari, ,LIBYA,https://acukwik.com/Airport-Info/HLUB
HLLB,Benghazi/Benina,Benghazi, ,LIBYA,https://acukwik.com/Airport-Info/HLLB
,Brak (Brach),Brak, ,LIBYA,https://acukwik.com/Airport-Info/ACMQRRP
HLFL,Bu Attifel,Bu Attifel, ,LIBYA,https://acukwik.com/Airport-Info/HLFL
HLRA,Dahra,Dahra, ,LIBYA,https://acukwik.com/Airport-Info/HLRA
HLTD,Ghadames,Ghadamis, ,LIBYA,https://acukwik.com/Airport-Info/HLTD
HLGT,Ghat,Ghat, ,LIBYA,https://acukwik.com/Airport-Info/HLGT
HLON,Hon,Hon, ,LIBYA,https://acukwik.com/Airport-Info/HLON
HLNR,Nafoura (Nafoora) Oil Field,Jakharrah, ,LIBYA,https://acukwik.com/Airport-Info/HLNR
HLBK,Kambut,Kambut, ,LIBYA,https://acukwik.com/Airport-Info/HLBK
HLKF,Kufra International,Kufra, ,LIBYA,https://acukwik.com/Airport-Info/HLKF
HLMB,Marsa Brega,Marsa Brega, ,LIBYA,https://acukwik.com/Airport-Info/HLMB
,Derna / Martuba Intl,Martuba, ,LIBYA,https://acukwik.com/Airport-Info/ACMQRRQ
HLMS,Misurata ,Misurata, ,LIBYA,https://acukwik.com/Airport-Info/HLMS
HLLS,Sebha (Sabha) Intl/Tamanhent AB,Sabha, ,LIBYA,https://acukwik.com/Airport-Info/HLLS
HLGD,Sirte/Ghardabiya Intl,Sirte, ,LIBYA,https://acukwik.com/Airport-Info/HLGD
HLTQ,Tobruk,Tobruk, ,LIBYA,https://acukwik.com/Airport-Info/HLTQ
HLLT,Tripoli International,Tripoli, ,LIBYA,https://acukwik.com/Airport-Info/HLLT
HLLM,Tripoli/Mitiga International,Tripoli, ,LIBYA,https://acukwik.com/Airport-Info/HLLM
HLZN,Alzintan,Zintan, ,LIBYA,https://acukwik.com/Airport-Info/HLZN
HLZU,Zueitina,Zueitina, ,LIBYA,https://acukwik.com/Airport-Info/HLZU
HLZW,Zwara/Zuwarah,Zwara, ,LIBYA,https://acukwik.com/Airport-Info/HLZW
