ICAO,Airport Name,City,State,Country,Airport Link
MMAA,Acapulco/Gen Juan Alvarez International,Acapulco,GRO ,MEXICO,https://acukwik.com/Airport-Info/MMAA
MMAS,Aguascalientes/Jesús Teran Intl,Aguascalientes,AGU ,MEXICO,https://acukwik.com/Airport-Info/MMAS
MM45,Alamos,Alamos,SON ,MEXICO,https://acukwik.com/Airport-Info/MM45
MMAG,Apatzingan/Pablo L. Sidar,Apatzingan,MIC ,MEXICO,https://acukwik.com/Airport-Info/MMAG
MMJC,Atizapan De Zaragoza/Jorge Jimenez Cantu National,Atizapan De Zaragoza,MEX ,MEXICO,https://acukwik.com/Airport-Info/MMJC
MM12,Bacubirito,Bacubirito,SIN ,MEXICO,https://acukwik.com/Airport-Info/MM12
,Bahía de los Ángeles,Bahía de los Ángeles,BCN ,MEXICO,https://acukwik.com/Airport-Info/ACMRLNN
MMBT,Bahias De Huatulco,Bahias del Huatulco,OAX ,MEXICO,https://acukwik.com/Airport-Info/MMBT
MMSL,Cabo San Lucas International,Cabo San Lucas,BCS ,MEXICO,https://acukwik.com/Airport-Info/MMSL
MMCP,Campeche/Ignacio Acuna Ongay Intl,Campeche,CAM ,MEXICO,https://acukwik.com/Airport-Info/MMCP
MMUN,Cancun International,Cancun,ROO ,MEXICO,https://acukwik.com/Airport-Info/MMUN
MMCY,Celaya/ Captain Rogelio Castillo National,Celaya,GUA ,MEXICO,https://acukwik.com/Airport-Info/MMCY
MMCM,Chetumal International,Chetumal,ROO ,MEXICO,https://acukwik.com/Airport-Info/MMCM
MMCT,Nuevo Chichen Itza,Chichen Itza,YUC ,MEXICO,https://acukwik.com/Airport-Info/MMCT
MMCU,Chihuahua/Gen R Fierro Villalobos,Chihuahua,CHH ,MEXICO,https://acukwik.com/Airport-Info/MMCU
MMCC,Ciudad Acuna International,Ciudad Acuna,COA ,MEXICO,https://acukwik.com/Airport-Info/MMCC
MMDA,Ciudad Constitucion,Ciudad Constitucion,BCS ,MEXICO,https://acukwik.com/Airport-Info/MMDA
MMCE,Ciudad Del Carmen,Ciudad del Carmen,CAM ,MEXICO,https://acukwik.com/Airport-Info/MMCE
MMCS,Ciudad Juarez/Abraham Gonzalez Intl,Ciudad Juarez,CHH ,MEXICO,https://acukwik.com/Airport-Info/MMCS
MMCN,Ciudad Obregon International,Ciudad Obregon,SON ,MEXICO,https://acukwik.com/Airport-Info/MMCN
MMCV,General Pedro J Mendez/Ciudad Victoria Intl,Ciudad Victoria,TAM ,MEXICO,https://acukwik.com/Airport-Info/MMCV
MMIA,Colima National,Colima,COL ,MEXICO,https://acukwik.com/Airport-Info/MMIA
MMCZ,Cozumel International,Cozumel,ROO ,MEXICO,https://acukwik.com/Airport-Info/MMCZ
MMCB,Cuernavaca/Gen Mariano Matamoros,Cuernavaca,MOR ,MEXICO,https://acukwik.com/Airport-Info/MMCB
MMCL,Culiacan International,Culiacan,SIN ,MEXICO,https://acukwik.com/Airport-Info/MMCL
MMDO,Durango International,Durango,DUR ,MEXICO,https://acukwik.com/Airport-Info/MMDO
MMES,Ensenada/Gen Alberto Salinas,Ensenada,BCN ,MEXICO,https://acukwik.com/Airport-Info/MMES
MMGL,Guadalajara/Don Miguel Hidalgo y Costilla,Guadalajara,JAL ,MEXICO,https://acukwik.com/Airport-Info/MMGL
MMGM,Guaymas/Gen Jose Maria Yanez International,Guaymas,SON ,MEXICO,https://acukwik.com/Airport-Info/MMGM
MMGR,Guerrero Negro,Guerrero Negro,BCN ,MEXICO,https://acukwik.com/Airport-Info/MMGR
MMHO,Hermosillo/Gen Ignacio Pesquira Garcia Intl,Hermosillo,SON ,MEXICO,https://acukwik.com/Airport-Info/MMHO
MMIM,Isla Mujeres,Isla Mujeres,ROO ,MEXICO,https://acukwik.com/Airport-Info/MMIM
MMJA,Jalapa/Lencero,Jalapa,VER ,MEXICO,https://acukwik.com/Airport-Info/MMJA
MMLP,La Paz/Gen Manuel Marquez de Leon,La Paz,BCS ,MEXICO,https://acukwik.com/Airport-Info/MMLP
MMLC,Lazaro Cardenas,Lazaro Cardenas,MIC ,MEXICO,https://acukwik.com/Airport-Info/MMLC
MMLO,Leon/Bajio/Guanajuato International,Leon,GUA ,MEXICO,https://acukwik.com/Airport-Info/MMLO
MMLT,Loreto,Loreto,BCS ,MEXICO,https://acukwik.com/Airport-Info/MMLT
MMSD,San Jose del Cabo/Los Cabos Intl,Los Cabos,BCS ,MEXICO,https://acukwik.com/Airport-Info/MMSD
MMLM,Los Mochis/Valle Del Fuerte,Los Mochis,SIN ,MEXICO,https://acukwik.com/Airport-Info/MMLM
MMZO,Manzanillo/Playa De Oro Intl,Manzanillo,COL ,MEXICO,https://acukwik.com/Airport-Info/MMZO
MMMA,Matamoros/Gen. Servando Canales,Matamoros,TAM ,MEXICO,https://acukwik.com/Airport-Info/MMMA
