ICAO,Airport Name,City,State,Country,Airport Link
ZMAT,Altai Gobi-Atlai,Altai,65 ,MONGOLIA,https://acukwik.com/Airport-Info/ZMAT
ZMBH,Bayankhongor,Bayankhongor,69 ,MONGOLIA,https://acukwik.com/Airport-Info/ZMBH
ZMCD,Choibalsan/Dornod (Dornod Prov),Choibalsan,61 ,MONGOLIA,https://acukwik.com/Airport-Info/ZMCD
ZMDZ,Dalazadgad (Umnugobi)/Gurvansaikhan,Dalazadgad,53 ,MONGOLIA,https://acukwik.com/Airport-Info/ZMDZ
ZMKB,Khanbumbat/Umnugobi,Khanbumbat,53 ,MONGOLIA,https://acukwik.com/Airport-Info/ZMKB
ZMKD,Khovd,Khovd,43 ,MONGOLIA,https://acukwik.com/Airport-Info/ZMKD
ZMMN,Muren/Khuvsgul,Muren,41 ,MONGOLIA,https://acukwik.com/Airport-Info/ZMMN
ZMGT,Umnugobi/Ovoot,Ovoot,53 ,MONGOLIA,https://acukwik.com/Airport-Info/ZMGT
ZMCK,New Ulaanbaatar/Chinggis Khan Intl,Ulaanbaatar,47 ,MONGOLIA,https://acukwik.com/Airport-Info/ZMCK
ZMUB,Ulaanbaatar/Buyant-Ukhaa Intl,Ulaanbaatar,1 ,MONGOLIA,https://acukwik.com/Airport-Info/ZMUB
ZMUG,Uvs/Deglii Tsagaan,Ulaangom,46 ,MONGOLIA,https://acukwik.com/Airport-Info/ZMUG
ZMUL,Ulgii/Bayan-Ulgii,Ulgii,71 ,MONGOLIA,https://acukwik.com/Airport-Info/ZMUL
