ICAO,Airport Name,City,State,Country,Airport Link
FQBR,Beira,Beira, ,MOZAMBIQUE,https://acukwik.com/Airport-Info/FQBR
FQCH,Chimoio (Vila Pery),Chimoio, ,MOZAMBIQUE,https://acukwik.com/Airport-Info/FQCH
FQCB,Cuamba AB,Cuamba, ,MOZAMBIQUE,https://acukwik.com/Airport-Info/FQCB
FQES,Estima,Estima, ,MOZAMBIQUE,https://acukwik.com/Airport-Info/FQES
FQIN,Inhambane,Inhambane, ,MOZAMBIQUE,https://acukwik.com/Airport-Info/FQIN
,Bazaruto Island,Inhassoro, ,MOZAMBIQUE,https://acukwik.com/Airport-Info/ACMRLKL
FQLC,Lichinga,Lichinga, ,MOZAMBIQUE,https://acukwik.com/Airport-Info/FQLC
FQLU,Lumbo,Lumbo, ,MOZAMBIQUE,https://acukwik.com/Airport-Info/FQLU
FQMA,Maputo,Maputo, ,MOZAMBIQUE,https://acukwik.com/Airport-Info/FQMA
FQMR,Marrupa,Marrupa, ,MOZAMBIQUE,https://acukwik.com/Airport-Info/FQMR
FQMP,Mocimboa Da Praia,Mocimboa Da Praia, ,MOZAMBIQUE,https://acukwik.com/Airport-Info/FQMP
FQMD,Mueda,Mueda, ,MOZAMBIQUE,https://acukwik.com/Airport-Info/FQMD
FQNC,Nacala,Nacala, ,MOZAMBIQUE,https://acukwik.com/Airport-Info/FQNC
FQNP,Nampula,Nampula, ,MOZAMBIQUE,https://acukwik.com/Airport-Info/FQNP
,Palma,Palma, ,MOZAMBIQUE,https://acukwik.com/Airport-Info/ACMPQLM
FQPB,Porto Amelia/Pemba,Pemba, ,MOZAMBIQUE,https://acukwik.com/Airport-Info/FQPB
FQQL,Quelimane,Quelimane, ,MOZAMBIQUE,https://acukwik.com/Airport-Info/FQQL
FQTT,Tete Chingozi,Tete, ,MOZAMBIQUE,https://acukwik.com/Airport-Info/FQTT
FQUG,Ulongwe,Ulongue, ,MOZAMBIQUE,https://acukwik.com/Airport-Info/FQUG
FQVL,Vilanculos,Vilanculos, ,MOZAMBIQUE,https://acukwik.com/Airport-Info/FQVL
,Bazaruto Island Resort,Vilankulos, ,MOZAMBIQUE,https://acukwik.com/Airport-Info/ACMRLKK
FQXA,Xai-Xai/Chongoene/Filipe Jacinto Nyasi,Xai-Xai, ,MOZAMBIQUE,https://acukwik.com/Airport-Info/FQXA
