ICAO,Airport Name,City,State,Country,Airport Link
VYAN,Ann,Ann, ,MYANMAR,https://acukwik.com/Airport-Info/VYAN
VYBG,Bagan - Nyaung U,Bagan, ,MYANMAR,https://acukwik.com/Airport-Info/VYBG
VYBM,Banmaw,Banmaw, ,MYANMAR,https://acukwik.com/Airport-Info/VYBM
VYBP,Bokpyinn,Bokpyinn, ,MYANMAR,https://acukwik.com/Airport-Info/VYBP
VYCI,Coco Island,Coco Island, ,MYANMAR,https://acukwik.com/Airport-Info/VYCI
VYDW,Dawei,Dawei, ,MYANMAR,https://acukwik.com/Airport-Info/VYDW
VYFS,Falam/Surbung,Falam, ,MYANMAR,https://acukwik.com/Airport-Info/VYFS
VYHH,Heho,Heho, ,MYANMAR,https://acukwik.com/Airport-Info/VYHH
VYHL,Hommalinn,Hommalinn, ,MYANMAR,https://acukwik.com/Airport-Info/VYHL
VYPA,Hpa-An,Hpa-An, ,MYANMAR,https://acukwik.com/Airport-Info/VYPA
VYKL,Kalewa/Kalay,Kalewa, ,MYANMAR,https://acukwik.com/Airport-Info/VYKL
VYKI,Kanti,Kanti, ,MYANMAR,https://acukwik.com/Airport-Info/VYKI
VYKT,Kawthoung,Kawthoung, ,MYANMAR,https://acukwik.com/Airport-Info/VYKT
VYKG,Kengtung,Kengtung, ,MYANMAR,https://acukwik.com/Airport-Info/VYKG
VYKP,Kyaukpyu,Kyaukpyu, ,MYANMAR,https://acukwik.com/Airport-Info/VYKP
VYLS,Lashio,Lashio, ,MYANMAR,https://acukwik.com/Airport-Info/VYLS
VYLK,Loikaw,Loikaw, ,MYANMAR,https://acukwik.com/Airport-Info/VYLK
VYMW,Magway,Magway, ,MYANMAR,https://acukwik.com/Airport-Info/VYMW
VYMN,Manaung,Manaung, ,MYANMAR,https://acukwik.com/Airport-Info/VYMN
VYMD,Mandalay International,Mandalay, ,MYANMAR,https://acukwik.com/Airport-Info/VYMD
VYMM,Mawlamyine,Mawlamyine, ,MYANMAR,https://acukwik.com/Airport-Info/VYMM
VYST,Shante,Meiktila, ,MYANMAR,https://acukwik.com/Airport-Info/VYST
VYMO,Momeik,Momeik, ,MYANMAR,https://acukwik.com/Airport-Info/VYMO
VYMS,Monghsat,Monghsat, ,MYANMAR,https://acukwik.com/Airport-Info/VYMS
VYMY,Monywar,Monywar, ,MYANMAR,https://acukwik.com/Airport-Info/VYMY
VYME,Myeik,Myeik, ,MYANMAR,https://acukwik.com/Airport-Info/VYME
VYNS,Namsang,Namsang, ,MYANMAR,https://acukwik.com/Airport-Info/VYNS
VYNT,Naypyitaw International,Naypyitaw, ,MYANMAR,https://acukwik.com/Airport-Info/VYNT
VYPU,Pakhokku,Pakhokku, ,MYANMAR,https://acukwik.com/Airport-Info/VYPU
VYMK,Myitkyina,Pamti, ,MYANMAR,https://acukwik.com/Airport-Info/VYMK
VYPN,Pathein,Pathein, ,MYANMAR,https://acukwik.com/Airport-Info/VYPN
VYPY,Pyay,Prome, ,MYANMAR,https://acukwik.com/Airport-Info/VYPY
VYPT,Putao,Putao, ,MYANMAR,https://acukwik.com/Airport-Info/VYPT
VYYY,Rangon/Yangon International,Rangon, ,MYANMAR,https://acukwik.com/Airport-Info/VYYY
VYSW,Sittwe,Sittwe, ,MYANMAR,https://acukwik.com/Airport-Info/VYSW
VYTL,Tachilek,Tachilek, ,MYANMAR,https://acukwik.com/Airport-Info/VYTL
VYTO,Taungoo,Taungoo, ,MYANMAR,https://acukwik.com/Airport-Info/VYTO
VYTD,Thandwe,Thandwe, ,MYANMAR,https://acukwik.com/Airport-Info/VYTD
