ICAO,Airport Name,City,State,Country,Airport Link
VNBG,Bajhang,Bajhang, ,NEPAL,https://acukwik.com/Airport-Info/VNBG
VNBL,Balewa/Baglung,Balewa, ,NEPAL,https://acukwik.com/Airport-Info/VNBL
VNBW,Bhairahawa/Gautam Buddha International,Bhairahawa, ,NEPAL,https://acukwik.com/Airport-Info/VNBW
VNBP,Bharatpur,Bharatpur, ,NEPAL,https://acukwik.com/Airport-Info/VNBP
VNBJ,Bhojpur,Bhojpur, ,NEPAL,https://acukwik.com/Airport-Info/VNBJ
VNVT,Biratnagar,Biratnagar, ,NEPAL,https://acukwik.com/Airport-Info/VNVT
VNSK,Surkhet/Birendranagar,Birendranagar, ,NEPAL,https://acukwik.com/Airport-Info/VNSK
VNCG,Chandragadhi (Bhadrapur),Chandragadhi, ,NEPAL,https://acukwik.com/Airport-Info/VNCG
VNCJ,Rukum Chaurjahari,Chaurjahari, ,NEPAL,https://acukwik.com/Airport-Info/VNCJ
VNDH,Dhangadhi,Dhangadhi, ,NEPAL,https://acukwik.com/Airport-Info/VNDH
VNJP,Janakpur,Janakpur, ,NEPAL,https://acukwik.com/Airport-Info/VNJP
VNJS,Jomsom,Jomsom, ,NEPAL,https://acukwik.com/Airport-Info/VNJS
VNJL,Jumla,Jumla, ,NEPAL,https://acukwik.com/Airport-Info/VNJL
VNDP,Dolpa/Juphal,Juphal, ,NEPAL,https://acukwik.com/Airport-Info/VNDP
VNKT,Kathmandu/Tribhuvan International,Kathmandu, ,NEPAL,https://acukwik.com/Airport-Info/VNKT
VNLK,Lukla Tenzing-Hillary,Lukla, ,NEPAL,https://acukwik.com/Airport-Info/VNLK
VNRC,Ramechhap,Manthali, ,NEPAL,https://acukwik.com/Airport-Info/VNRC
VNNG,Nepalgunj,Nepalganj, ,NEPAL,https://acukwik.com/Airport-Info/VNNG
VNPL,Phaplu,Phaplu, ,NEPAL,https://acukwik.com/Airport-Info/VNPL
VNTJ,Taplejung/Suketar,Phungling, ,NEPAL,https://acukwik.com/Airport-Info/VNTJ
VNPK,Pokhara (Domestic),Pokhara, ,NEPAL,https://acukwik.com/Airport-Info/VNPK
VNPR,Pokhara International,Pokhara, ,NEPAL,https://acukwik.com/Airport-Info/VNPR
VNRB,Rajbiraj,Rajbiraj, ,NEPAL,https://acukwik.com/Airport-Info/VNRB
VNRT,Rumjatar,Rumjatar, ,NEPAL,https://acukwik.com/Airport-Info/VNRT
VNSI,Simara,Simara, ,NEPAL,https://acukwik.com/Airport-Info/VNSI
VNDG,Dang/Targaun/Ghorahi,Tulsipur, ,NEPAL,https://acukwik.com/Airport-Info/VNDG
