ICAO,Airport Name,City,State,Country,Airport Link
NWWV,Ouvea Island/Ouloup (Loyalty Islands),Fayaoue, ,NEW CALEDONIA,https://acukwik.com/Airport-Info/NWWV
NWWH,Houailou/Nesson,Houailou, ,NEW CALEDONIA,https://acukwik.com/Airport-Info/NWWH
NWWD,Kone,Kone, ,NEW CALEDONIA,https://acukwik.com/Airport-Info/NWWD
NWWK,Koumac,Koumac, ,NEW CALEDONIA,https://acukwik.com/Airport-Info/NWWK
NWWL,Lifou Island/Ouanaham (Loyalty Islands),Lifou Isl, ,NEW CALEDONIA,https://acukwik.com/Airport-Info/NWWL
NWWR,Mare Island/La Roche (Loyalty Islands),Mare Isl, ,NEW CALEDONIA,https://acukwik.com/Airport-Info/NWWR
NWWE,Moue/Ile Des Pins,Moue, ,NEW CALEDONIA,https://acukwik.com/Airport-Info/NWWE
NWWW,Noumea/La Tontouta Intl,Noumea, ,NEW CALEDONIA,https://acukwik.com/Airport-Info/NWWW
NWWM,Noumea/Magenta Domestic,Noumea, ,NEW CALEDONIA,https://acukwik.com/Airport-Info/NWWM
NWWA,Tiga,Tiga, ,NEW CALEDONIA,https://acukwik.com/Airport-Info/NWWA
NWWU,Touho,Touho, ,NEW CALEDONIA,https://acukwik.com/Airport-Info/NWWU
NWWC,Art Island/Waala/Île d'Art,Waala, ,NEW CALEDONIA,https://acukwik.com/Airport-Info/NWWC
