ICAO,Airport Name,City,State,Country,Airport Link
DNAA,Nnamdi Azikiwe Abuja International,Abuja, ,NIGERIA,https://acukwik.com/Airport-Info/DNAA
DNAK,Akure,Akure, ,NIGERIA,https://acukwik.com/Airport-Info/DNAK
DNAS,Asaba,Asaba, ,NIGERIA,https://acukwik.com/Airport-Info/DNAS
DNBC,Sir Abubakar Tafawa Balewa International,Bauchi, ,NIGERIA,https://acukwik.com/Airport-Info/DNBC
DNBE,Benin,Benin, ,NIGERIA,https://acukwik.com/Airport-Info/DNBE
DNBK,Sir Ahmadu Bello International,Birnin Kebbi, ,NIGERIA,https://acukwik.com/Airport-Info/DNBK
DNCA,Calabar/Margaret Ekpo International,Calabar, ,NIGERIA,https://acukwik.com/Airport-Info/DNCA
DNDS,Dutse International,Dutse, ,NIGERIA,https://acukwik.com/Airport-Info/DNDS
DNEK,Eket,Eket, ,NIGERIA,https://acukwik.com/Airport-Info/DNEK
DNEN,Enugu/Akanu Ibiam,Enugu, ,NIGERIA,https://acukwik.com/Airport-Info/DNEN
DNES,Escravos,Escravos, ,NIGERIA,https://acukwik.com/Airport-Info/DNES
DNGO,Gombe - Lawanti,Gombe, ,NIGERIA,https://acukwik.com/Airport-Info/DNGO
DNIB,Ibadan/New Ibadan,Ibadan, ,NIGERIA,https://acukwik.com/Airport-Info/DNIB
DNIL,Ilorin,Ilorin, ,NIGERIA,https://acukwik.com/Airport-Info/DNIL
DNJO,Jos/Yakubu Gowon,Jos, ,NIGERIA,https://acukwik.com/Airport-Info/DNJO
DNKA,Kaduna/New Kaduna,Kaduna, ,NIGERIA,https://acukwik.com/Airport-Info/DNKA
DNKN,Mallam Aminu Kano International,Kano, ,NIGERIA,https://acukwik.com/Airport-Info/DNKN
DNKT,Katsina/Umaru Musa Yar'adua,Katsina, ,NIGERIA,https://acukwik.com/Airport-Info/DNKT
DNMM,Lagos/Murtala Muhammed International,Lagos, ,NIGERIA,https://acukwik.com/Airport-Info/DNMM
DNMA,Maiduguri,Maiduguri, ,NIGERIA,https://acukwik.com/Airport-Info/DNMA
DNMK,Makurdi,Makurdi, ,NIGERIA,https://acukwik.com/Airport-Info/DNMK
DNMN,Minna,Minna, ,NIGERIA,https://acukwik.com/Airport-Info/DNMN
DNSU,Osubi Warri,Osubi, ,NIGERIA,https://acukwik.com/Airport-Info/DNSU
DNIM,Owerri/Imo City-Sam Mbakwe,Owerri, ,NIGERIA,https://acukwik.com/Airport-Info/DNIM
DNPM,Port Harcourt City/Domestic/Air Base,Port Harcourt, ,NIGERIA,https://acukwik.com/Airport-Info/DNPM
DNPO,Port Harcourt International,Port Harcourt, ,NIGERIA,https://acukwik.com/Airport-Info/DNPO
DNSO,Sokoto/Saddiq Abubakar III International,Sokoto, ,NIGERIA,https://acukwik.com/Airport-Info/DNSO
DNAN,Anambra/Chinua Achebe Intl,Umueri, ,NIGERIA,https://acukwik.com/Airport-Info/DNAN
DNAI,Uyo/Victor Attah,Uyo, ,NIGERIA,https://acukwik.com/Airport-Info/DNAI
DNBY,Bayelsa International,Yenogoa, ,NIGERIA,https://acukwik.com/Airport-Info/DNBY
DNYO,Yola,Yola, ,NIGERIA,https://acukwik.com/Airport-Info/DNYO
DNZA,Zaria,Zaria, ,NIGERIA,https://acukwik.com/Airport-Info/DNZA
