ICAO,Airport Name,City,State,Country,Airport Link
ENAT,Alta,Alta, ,NORWAY,https://acukwik.com/Airport-Info/ENAT
ENAN,Andenes/Andoya AB,Andenes, ,NORWAY,https://acukwik.com/Airport-Info/ENAN
ENGK,Arendal/Gullknapp,Arendal, ,NORWAY,https://acukwik.com/Airport-Info/ENGK
ENDU,Bardufoss,Bardufoss, ,NORWAY,https://acukwik.com/Airport-Info/ENDU
ENBS,Batsfjord,Batsfjord, ,NORWAY,https://acukwik.com/Airport-Info/ENBS
ENBR,Bergen/Flesland,Bergen, ,NORWAY,https://acukwik.com/Airport-Info/ENBR
ENBV,Berlevag,Berlevag, ,NORWAY,https://acukwik.com/Airport-Info/ENBV
ENBO,Bodo,Bodo, ,NORWAY,https://acukwik.com/Airport-Info/ENBO
ENBM,Boemoen AB,Boemoen, ,NORWAY,https://acukwik.com/Airport-Info/ENBM
ENBN,Broennoeysund/Broennoey,Broennoeysund, ,NORWAY,https://acukwik.com/Airport-Info/ENBN
ENFG,Fagernes Leirin,Fagernes, ,NORWAY,https://acukwik.com/Airport-Info/ENFG
ENLI,Farsund Lista,Farsund, ,NORWAY,https://acukwik.com/Airport-Info/ENLI
ENFL,Florø,Floro, ,NORWAY,https://acukwik.com/Airport-Info/ENFL
ENBL,Førde/Bringeland,Forde, ,NORWAY,https://acukwik.com/Airport-Info/ENBL
ENHA,Hamar Stafsberg,Hamar, ,NORWAY,https://acukwik.com/Airport-Info/ENHA
ENHF,Hammerfest,Hammerfest, ,NORWAY,https://acukwik.com/Airport-Info/ENHF
ENEV,Harstad/Narvik Evenes,Harstad/Narvik, ,NORWAY,https://acukwik.com/Airport-Info/ENEV
ENHK,Hasvik,Hasvik, ,NORWAY,https://acukwik.com/Airport-Info/ENHK
ENHD,Haugesund Karmøy,Haugesund, ,NORWAY,https://acukwik.com/Airport-Info/ENHD
ENEG,Honefoss/Eggemoen,Honefoss, ,NORWAY,https://acukwik.com/Airport-Info/ENEG
ENHV,Honningsvag Valan,Honningsvag, ,NORWAY,https://acukwik.com/Airport-Info/ENHV
ENKR,Kirkenes Hoybuktmoen,Kirkenes, ,NORWAY,https://acukwik.com/Airport-Info/ENKR
ENCN,Kristiansand/Kjevik,Kristiansand, ,NORWAY,https://acukwik.com/Airport-Info/ENCN
ENKB,Kristiansund Kvernberget,Kristiansund, ,NORWAY,https://acukwik.com/Airport-Info/ENKB
ENNA,Lakselv/Banak,Lakselv, ,NORWAY,https://acukwik.com/Airport-Info/ENNA
ENLK,Leknes,Leknes, ,NORWAY,https://acukwik.com/Airport-Info/ENLK
ENMH,Mehamn,Mehamn, ,NORWAY,https://acukwik.com/Airport-Info/ENMH
ENRA,Mo I Rana (Røssvoll),Mo I Rana, ,NORWAY,https://acukwik.com/Airport-Info/ENRA
ENML,Molde Aro,Molde, ,NORWAY,https://acukwik.com/Airport-Info/ENML
ENMS,Mosjoen/Kjaerstad,Mosjoen, ,NORWAY,https://acukwik.com/Airport-Info/ENMS
ENNM,Namsos,Namsos, ,NORWAY,https://acukwik.com/Airport-Info/ENNM
ENNO,Notodden,Notodden, ,NORWAY,https://acukwik.com/Airport-Info/ENNO
ENAS,Ny-Alesund/Hamnerabben,Ny-Alesund, ,NORWAY,https://acukwik.com/Airport-Info/ENAS
ENOL,Orland AB,Orland, ,NORWAY,https://acukwik.com/Airport-Info/ENOL
ENOV,Hovden/Orsta-Volda,Orsta, ,NORWAY,https://acukwik.com/Airport-Info/ENOV
ENGM,Oslo/Gardermoen,Oslo, ,NORWAY,https://acukwik.com/Airport-Info/ENGM
ENKJ,Oslo/Kjeller,Oslo, ,NORWAY,https://acukwik.com/Airport-Info/ENKJ
ENRK,Rakkestad,Rakkestad, ,NORWAY,https://acukwik.com/Airport-Info/ENRK
ENRO,Roros (Roeros),Roros, ,NORWAY,https://acukwik.com/Airport-Info/ENRO
ENRM,Rorvik Ryum,Rorvik, ,NORWAY,https://acukwik.com/Airport-Info/ENRM
ENRS,Rost,Rostlandet, ,NORWAY,https://acukwik.com/Airport-Info/ENRS
ENRY,Rygge AB,Rygge, ,NORWAY,https://acukwik.com/Airport-Info/ENRY
ENSD,Sandane/Anda,Sandane, ,NORWAY,https://acukwik.com/Airport-Info/ENSD
ENTO,Sandefjord Torp,Sandefjord, ,NORWAY,https://acukwik.com/Airport-Info/ENTO
ENST,Sandnessjøen/Stokka,Sandnessjoen, ,NORWAY,https://acukwik.com/Airport-Info/ENST
ENSN,Skien Geiteryggen,Skien, ,NORWAY,https://acukwik.com/Airport-Info/ENSN
ENSG,Sogndal/Haukasen,Sogndal, ,NORWAY,https://acukwik.com/Airport-Info/ENSG
ENSR,Sorkjosen,Sorkjosen, ,NORWAY,https://acukwik.com/Airport-Info/ENSR
ENZV,Stavanger/Sola,Stavanger, ,NORWAY,https://acukwik.com/Airport-Info/ENZV
ENSK,Stokmarknes/Skagen ,Stokmarknes, ,NORWAY,https://acukwik.com/Airport-Info/ENSK
ENSO,Stord/Sorstokken,Stord, ,NORWAY,https://acukwik.com/Airport-Info/ENSO
ENSB,Svalbard/Longyear,Svalbard, ,NORWAY,https://acukwik.com/Airport-Info/ENSB
ENSH,Svolvaer Helle,Svolvaer, ,NORWAY,https://acukwik.com/Airport-Info/ENSH
ENJB,Jarlsberg/Tonsberg,Tonsberg, ,NORWAY,https://acukwik.com/Airport-Info/ENJB
ENTC,Tromsø/Langnes,Tromso, ,NORWAY,https://acukwik.com/Airport-Info/ENTC
ENVA,Trondheim Vaernes AB,Trondheim, ,NORWAY,https://acukwik.com/Airport-Info/ENVA
ENVD,Vadso,Vadso, ,NORWAY,https://acukwik.com/Airport-Info/ENVD
ENSS,Vardø/Svartnes,Vardo, ,NORWAY,https://acukwik.com/Airport-Info/ENSS
ENAL,Vigra/Alesund,Vigra, ,NORWAY,https://acukwik.com/Airport-Info/ENAL
