ICAO,Airport Name,City,State,Country,Airport Link
OPMS,Minhas AB,Attock, ,PAKISTAN,https://acukwik.com/Airport-Info/OPMS
OPBW,Bahawalpur Intl,Bahawalpur, ,PAKISTAN,https://acukwik.com/Airport-Info/OPBW
OPBN,Bannu,Bannu, ,PAKISTAN,https://acukwik.com/Airport-Info/OPBN
OPCH,Chitral,Chitral, ,PAKISTAN,https://acukwik.com/Airport-Info/OPCH
OPDB,Dalbandin,Dalbandin, ,PAKISTAN,https://acukwik.com/Airport-Info/OPDB
OPDG,Dera Ghazi Khan/Farooq Ahmad Khan Leghari Intl,Dera Ghazi Khan, ,PAKISTAN,https://acukwik.com/Airport-Info/OPDG
OPDI,Dera Ismail Khan,Dera Ismail Khan, ,PAKISTAN,https://acukwik.com/Airport-Info/OPDI
OPFA,Faisalabad International,Faisalabad, ,PAKISTAN,https://acukwik.com/Airport-Info/OPFA
OPGT,Gilgit,Gilgit, ,PAKISTAN,https://acukwik.com/Airport-Info/OPGT
OPGD,Gwadar International,Gwadar, ,PAKISTAN,https://acukwik.com/Airport-Info/OPGD
OPGW,New Gwadar International,Gwadar, ,PAKISTAN,https://acukwik.com/Airport-Info/OPGW
OPKD,Hyderabad,Hyderabad, ,PAKISTAN,https://acukwik.com/Airport-Info/OPKD
OPIS,Islamabad International (Liaquat Ali Khan),Islamabad, ,PAKISTAN,https://acukwik.com/Airport-Info/OPIS
OPRN,Nur Khan AB (ex-Benazir Bhutto Intl),Islamabad, ,PAKISTAN,https://acukwik.com/Airport-Info/OPRN
OPJA,Jacobabad/Shahbaz AB,Jacobabad, ,PAKISTAN,https://acukwik.com/Airport-Info/OPJA
OPKW,Kadanwari,Kadanwari, ,PAKISTAN,https://acukwik.com/Airport-Info/OPKW
OPKC,Karachi Jinnah International,Karachi, ,PAKISTAN,https://acukwik.com/Airport-Info/OPKC
OPMR,Karachi/Masroor AB,Karachi, ,PAKISTAN,https://acukwik.com/Airport-Info/OPMR
OPSF,Karachi/Sharea Faisal AB,Karachi, ,PAKISTAN,https://acukwik.com/Airport-Info/OPSF
OPSW,Sawan,Khaipur, ,PAKISTAN,https://acukwik.com/Airport-Info/OPSW
OPKH,Khuzdar,Khuzdar, ,PAKISTAN,https://acukwik.com/Airport-Info/OPKH
OPLA,Lahore Allama Iqbal International,Lahore, ,PAKISTAN,https://acukwik.com/Airport-Info/OPLA
OPLH,Lahore/Walton,Lahore, ,PAKISTAN,https://acukwik.com/Airport-Info/OPLH
OPLL,Loralai,Loralai, ,PAKISTAN,https://acukwik.com/Airport-Info/OPLL
OPMA,Mangla,Mangla, ,PAKISTAN,https://acukwik.com/Airport-Info/OPMA
OPMI,M M Alam AB,Mianwali, ,PAKISTAN,https://acukwik.com/Airport-Info/OPMI
OPSS,Mingora/Saidu Sharif,Mingora, ,PAKISTAN,https://acukwik.com/Airport-Info/OPSS
OPMK,Mipur Khas North,Mirpur Khas, ,PAKISTAN,https://acukwik.com/Airport-Info/OPMK
OPMJ,Moenjodaro,Mohenjo-daro, ,PAKISTAN,https://acukwik.com/Airport-Info/OPMJ
OPMT,Multan International/Muhammad Bin Qasim,Multan, ,PAKISTAN,https://acukwik.com/Airport-Info/OPMT
OPNH,Nawabshah,Nawabshah, ,PAKISTAN,https://acukwik.com/Airport-Info/OPNH
,Reko Diq,Nokundi, ,PAKISTAN,https://acukwik.com/Airport-Info/ACMRLKP
OPOR,Ormara,Ormara, ,PAKISTAN,https://acukwik.com/Airport-Info/OPOR
OPPG,Panjgur,Panjgur, ,PAKISTAN,https://acukwik.com/Airport-Info/OPPG
OPPI,Pasni,Pasni, ,PAKISTAN,https://acukwik.com/Airport-Info/OPPI
OPPS,Bacha Khan International/Peshawar International,Peshawar, ,PAKISTAN,https://acukwik.com/Airport-Info/OPPS
OPQT,Quetta/Samungli International,Quetta, ,PAKISTAN,https://acukwik.com/Airport-Info/OPQT
OPRK,Rahim Yar Khan/Sheikh Zayed International,Rahim Yar Khan, ,PAKISTAN,https://acukwik.com/Airport-Info/OPRK
OPRT,Rawalakot/Kawala Kot,Rawalakot, ,PAKISTAN,https://acukwik.com/Airport-Info/OPRT
OPRS,Risalpur AB,Risalpur, ,PAKISTAN,https://acukwik.com/Airport-Info/OPRS
OPSR,Sargodha / Mushaf AB,Sargodha, ,PAKISTAN,https://acukwik.com/Airport-Info/OPSR
OPSN,Sehwan Sharif,Sehwan Sharif, ,PAKISTAN,https://acukwik.com/Airport-Info/OPSN
OPST,Sialkot International,Sialkot, ,PAKISTAN,https://acukwik.com/Airport-Info/OPST
OPSD,Skardu International,Skardu, ,PAKISTAN,https://acukwik.com/Airport-Info/OPSD
OPSU,Sui,Sui, ,PAKISTAN,https://acukwik.com/Airport-Info/OPSU
OPSK,Sukkur/Begum Nusrat Bhutto ,Sukkur, ,PAKISTAN,https://acukwik.com/Airport-Info/OPSK
OPTH,Talhar,Talhar, ,PAKISTAN,https://acukwik.com/Airport-Info/OPTH
OPTA,Tarbela Dam,Tarbela Dam, ,PAKISTAN,https://acukwik.com/Airport-Info/OPTA
OPTU,Turbat Intl,Turbat, ,PAKISTAN,https://acukwik.com/Airport-Info/OPTU
OPWN,Wana,Wana, ,PAKISTAN,https://acukwik.com/Airport-Info/OPWN
OPZB,Zhob,Zhob, ,PAKISTAN,https://acukwik.com/Airport-Info/OPZB
