ICAO,Airport Name,City,State,Country,Airport Link
AYGN,Alotau/Gurney,Alotau, ,PAPUA NEW GUINEA,https://acukwik.com/Airport-Info/AYGN
AYIQ,Kieta Aropa,Bougainville Is, ,PAPUA NEW GUINEA,https://acukwik.com/Airport-Info/AYIQ
AYBK,Bugainville/Buka,Buka, ,PAPUA NEW GUINEA,https://acukwik.com/Airport-Info/AYBK
AYBU,Bulolo,Bulolo, ,PAPUA NEW GUINEA,https://acukwik.com/Airport-Info/AYBU
AYDU,Daru ,Daru, ,PAPUA NEW GUINEA,https://acukwik.com/Airport-Info/AYDU
AYGA,Goroka,Goroka, ,PAPUA NEW GUINEA,https://acukwik.com/Airport-Info/AYGA
AYHK,Hoskins (New Britain),Hoskins/Kimbe, ,PAPUA NEW GUINEA,https://acukwik.com/Airport-Info/AYHK
AYKV,Kavieng (New Ireland),Kavieng, ,PAPUA NEW GUINEA,https://acukwik.com/Airport-Info/AYKV
AYKM,Kerema,Kerema, ,PAPUA NEW GUINEA,https://acukwik.com/Airport-Info/AYKM
AYKI,Kiunga,Kiunga, ,PAPUA NEW GUINEA,https://acukwik.com/Airport-Info/AYKI
AYXM,Komo,Komo, ,PAPUA NEW GUINEA,https://acukwik.com/Airport-Info/AYXM
AYCH,Kundiawa/Chimbu,Kundiawa, ,PAPUA NEW GUINEA,https://acukwik.com/Airport-Info/AYCH
AYNZ,Lae/Nadzab,Lae, ,PAPUA NEW GUINEA,https://acukwik.com/Airport-Info/AYNZ
AYMD,Madang,Madang, ,PAPUA NEW GUINEA,https://acukwik.com/Airport-Info/AYMD
AYMO,Manus Island/Momote,Manus Island, ,PAPUA NEW GUINEA,https://acukwik.com/Airport-Info/AYMO
AYMN,Mendi,Mendi, ,PAPUA NEW GUINEA,https://acukwik.com/Airport-Info/AYMN
AYMH,Mount Hagen/Kagamuga,Mount Hagen, ,PAPUA NEW GUINEA,https://acukwik.com/Airport-Info/AYMH
AYGR,Popondetta/Girua,Popondetta, ,PAPUA NEW GUINEA,https://acukwik.com/Airport-Info/AYGR
,Porgera Mine/Kairik,Porgera, ,PAPUA NEW GUINEA,https://acukwik.com/Airport-Info/ACMQTSS
AYPY,Jackson's/Port Moresby International,Port Moresby, ,PAPUA NEW GUINEA,https://acukwik.com/Airport-Info/AYPY
AYTK,Rabaul/Tokua,Rabaul, ,PAPUA NEW GUINEA,https://acukwik.com/Airport-Info/AYTK
AYTB,Tabubil,Tabubil, ,PAPUA NEW GUINEA,https://acukwik.com/Airport-Info/AYTB
AYTA,Tari,Tari, ,PAPUA NEW GUINEA,https://acukwik.com/Airport-Info/AYTA
AYVN,Vanimo,Vanimo, ,PAPUA NEW GUINEA,https://acukwik.com/Airport-Info/AYVN
AYWD,Wapenamanda,Wapenamanda, ,PAPUA NEW GUINEA,https://acukwik.com/Airport-Info/AYWD
AYWK,Wewak/Boram,Wewak, ,PAPUA NEW GUINEA,https://acukwik.com/Airport-Info/AYWK
